Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-13,Anne Arundel,Maryland,1,0,99840999999,2020-03-06,38.983,-76.48,0.0,AnneArundel_MD.csv,42.4,23,0.0,0.0,I
2020-03-14,Anne Arundel,Maryland,1,0,99840999999,2020-03-07,38.983,-76.48,0.0,AnneArundel_MD.csv,42.2,23,0.0,0.0,I
2020-03-15,Anne Arundel,Maryland,2,0,99840999999,2020-03-08,38.983,-76.48,0.0,AnneArundel_MD.csv,42.7,23,0.0,0.0,I
2020-03-16,Anne Arundel,Maryland,2,0,99840999999,2020-03-09,38.983,-76.48,0.0,AnneArundel_MD.csv,50.0,23,0.0,0.0,I
2020-03-17,Anne Arundel,Maryland,3,0,99840999999,2020-03-10,38.983,-76.48,0.0,AnneArundel_MD.csv,59.4,23,0.0,0.0,I
2020-03-18,Anne Arundel,Maryland,4,0,99840999999,2020-03-11,38.983,-76.48,0.0,AnneArundel_MD.csv,54.8,19,0.0,0.0,I
2020-03-19,Anne Arundel,Maryland,5,0,99840999999,2020-03-12,38.983,-76.48,0.0,AnneArundel_MD.csv,49.3,24,0.0,0.0,I
2020-03-20,Anne Arundel,Maryland,10,0,99840999999,2020-03-13,38.983,-76.48,0.0,AnneArundel_MD.csv,57.5,19,0.0,0.0,I
2020-03-21,Anne Arundel,Maryland,16,0,99840999999,2020-03-14,38.983,-76.48,0.0,AnneArundel_MD.csv,52.1,14,0.0,0.0,I
2020-03-22,Anne Arundel,Maryland,19,0,99840999999,2020-03-15,38.983,-76.48,0.0,AnneArundel_MD.csv,45.8,21,0.0,0.0,I
2020-03-23,Anne Arundel,Maryland,20,0,99840999999,2020-03-16,38.983,-76.48,0.0,AnneArundel_MD.csv,45.2,23,0.0,0.0,I
2020-03-24,Anne Arundel,Maryland,24,0,99840999999,2020-03-17,38.983,-76.48,0.0,AnneArundel_MD.csv,46.9,21,0.0,0.0,I
2020-03-25,Anne Arundel,Maryland,31,0,99840999999,2020-03-18,38.983,-76.48,0.0,AnneArundel_MD.csv,51.1,20,0.0,0.0,I
2020-03-26,Anne Arundel,Maryland,42,0,99840999999,2020-03-19,38.983,-76.48,0.0,AnneArundel_MD.csv,52.5,21,0.0,0.0,I
2020-03-27,Anne Arundel,Maryland,63,1,99840999999,2020-03-20,38.983,-76.48,0.0,AnneArundel_MD.csv,64.0,22,0.0,0.0,I
2020-03-28,Anne Arundel,Maryland,88,1,99840999999,2020-03-21,38.983,-76.48,0.0,AnneArundel_MD.csv,57.3,23,0.0,0.0,I
2020-03-29,Anne Arundel,Maryland,99,1,99840999999,2020-03-22,38.983,-76.48,0.0,AnneArundel_MD.csv,45.3,23,0.0,0.0,I
2020-03-30,Anne Arundel,Maryland,110,1,99840999999,2020-03-23,38.983,-76.48,0.0,AnneArundel_MD.csv,43.7,22,0.0,0.0,I
2020-03-31,Anne Arundel,Maryland,127,1,99840999999,2020-03-24,38.983,-76.48,0.0,AnneArundel_MD.csv,46.4,24,0.0,0.0,I
2020-04-01,Anne Arundel,Maryland,158,1,99840999999,2020-03-25,38.983,-76.48,0.0,AnneArundel_MD.csv,47.2,24,0.0,0.0,I
2020-04-02,Anne Arundel,Maryland,206,1,99840999999,2020-03-26,38.983,-76.48,0.0,AnneArundel_MD.csv,47.7,23,0.0,0.0,I
2020-04-03,Anne Arundel,Maryland,249,4,99840999999,2020-03-27,38.983,-76.48,0.0,AnneArundel_MD.csv,55.2,24,0.0,0.0,I
2020-04-04,Anne Arundel,Maryland,289,6,99840999999,2020-03-28,38.983,-76.48,0.0,AnneArundel_MD.csv,54.0,23,0.0,0.0,I
2020-04-05,Anne Arundel,Maryland,319,6,99840999999,2020-03-29,38.983,-76.48,0.0,AnneArundel_MD.csv,51.3,24,0.0,0.0,I
2020-04-06,Anne Arundel,Maryland,343,8,99840999999,2020-03-30,38.983,-76.48,0.0,AnneArundel_MD.csv,56.7,24,0.0,0.0,I
2020-04-07,Anne Arundel,Maryland,370,8,99840999999,2020-03-31,38.983,-76.48,0.0,AnneArundel_MD.csv,51.1,22,0.0,0.0,I
2020-04-08,Anne Arundel,Maryland,466,11,99840999999,2020-04-01,38.983,-76.48,0.0,AnneArundel_MD.csv,46.4,24,0.0,0.0,I
2020-04-09,Anne Arundel,Maryland,505,12,99840999999,2020-04-02,38.983,-76.48,0.0,AnneArundel_MD.csv,50.5,20,0.0,0.0,I
2020-04-10,Anne Arundel,Maryland,554,16,99840999999,2020-04-03,38.983,-76.48,0.0,AnneArundel_MD.csv,54.5,24,0.0,0.0,I
2020-04-11,Anne Arundel,Maryland,615,19,99840999999,2020-04-04,38.983,-76.48,0.0,AnneArundel_MD.csv,52.6,23,0.0,0.0,I
2020-04-12,Anne Arundel,Maryland,659,27,99840999999,2020-04-05,38.983,-76.48,0.0,AnneArundel_MD.csv,55.6,24,0.0,0.0,I
2020-04-13,Anne Arundel,Maryland,724,29,99840999999,2020-04-06,38.983,-76.48,0.0,AnneArundel_MD.csv,56.7,22,0.0,0.0,I
2020-04-14,Anne Arundel,Maryland,783,32,99840999999,2020-04-07,38.983,-76.48,0.0,AnneArundel_MD.csv,56.6,22,0.0,0.0,I
2020-04-15,Anne Arundel,Maryland,850,30,99840999999,2020-04-08,38.983,-76.48,0.0,AnneArundel_MD.csv,63.1,22,0.0,0.0,I
2020-04-16,Anne Arundel,Maryland,902,35,99840999999,2020-04-09,38.983,-76.48,0.0,AnneArundel_MD.csv,59.6,24,0.0,0.0,I
2020-04-17,Anne Arundel,Maryland,972,40,99840999999,2020-04-10,38.983,-76.48,0.0,AnneArundel_MD.csv,48.1,21,0.0,0.0,I
2020-04-18,Anne Arundel,Maryland,1012,41,99840999999,2020-04-11,38.983,-76.48,0.0,AnneArundel_MD.csv,49.3,23,0.0,0.0,I
2020-04-19,Anne Arundel,Maryland,1053,46,99840999999,2020-04-12,38.983,-76.48,0.0,AnneArundel_MD.csv,55.5,24,0.0,0.0,I
2020-04-20,Anne Arundel,Maryland,1104,48,99840999999,2020-04-13,38.983,-76.48,0.0,AnneArundel_MD.csv,62.8,24,0.0,0.0,I
