Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-01-24,Cook,Illinois,1,0,99733899999,2020-01-17,42.0,-87.5,202.0,Cook_IL.csv,23.6,24,13.1,0.0,I
2020-01-25,Cook,Illinois,1,0,99733899999,2020-01-18,42.0,-87.5,202.0,Cook_IL.csv,31.3,24,22.6,0.0,I
2020-01-26,Cook,Illinois,1,0,99733899999,2020-01-19,42.0,-87.5,202.0,Cook_IL.csv,10.8,24,24.6,0.0,I
2020-01-27,Cook,Illinois,1,0,99733899999,2020-01-20,42.0,-87.5,202.0,Cook_IL.csv,24.8,24,13.4,0.0,I
2020-01-28,Cook,Illinois,1,0,99733899999,2020-01-21,42.0,-87.5,202.0,Cook_IL.csv,25.5,24,10.1,0.0,I
2020-01-29,Cook,Illinois,1,0,99733899999,2020-01-22,42.0,-87.5,202.0,Cook_IL.csv,28.7,24,19.7,0.0,I
2020-01-30,Cook,Illinois,2,0,99733899999,2020-01-23,42.0,-87.5,202.0,Cook_IL.csv,32.2,24,14.9,0.0,I
2020-01-31,Cook,Illinois,2,0,99733899999,2020-01-24,42.0,-87.5,202.0,Cook_IL.csv,35.2,24,7.9,0.0,I
2020-02-01,Cook,Illinois,2,0,99733899999,2020-01-25,42.0,-87.5,202.0,Cook_IL.csv,34.7,24,11.0,0.0,I
2020-02-02,Cook,Illinois,2,0,99733899999,2020-01-26,42.0,-87.5,202.0,Cook_IL.csv,33.3,24,12.9,0.0,I
2020-02-03,Cook,Illinois,2,0,99733899999,2020-01-27,42.0,-87.5,202.0,Cook_IL.csv,30.8,24,9.0,0.0,I
2020-02-04,Cook,Illinois,2,0,99733899999,2020-01-28,42.0,-87.5,202.0,Cook_IL.csv,32.7,24,7.6,0.0,I
2020-02-05,Cook,Illinois,2,0,99733899999,2020-01-29,42.0,-87.5,202.0,Cook_IL.csv,31.3,24,6.8,0.0,I
2020-02-06,Cook,Illinois,2,0,99733899999,2020-01-30,42.0,-87.5,202.0,Cook_IL.csv,31.9,24,5.3,0.0,I
2020-02-07,Cook,Illinois,2,0,99733899999,2020-01-31,42.0,-87.5,202.0,Cook_IL.csv,32.8,24,8.3,0.0,I
2020-02-08,Cook,Illinois,2,0,99733899999,2020-02-01,42.0,-87.5,202.0,Cook_IL.csv,35.0,24,13.7,0.0,I
2020-02-09,Cook,Illinois,2,0,99733899999,2020-02-02,42.0,-87.5,202.0,Cook_IL.csv,42.0,24,23.7,0.0,I
2020-02-10,Cook,Illinois,2,0,99733899999,2020-02-03,42.0,-87.5,202.0,Cook_IL.csv,39.8,24,10.1,0.0,I
2020-02-11,Cook,Illinois,2,0,99733899999,2020-02-04,42.0,-87.5,202.0,Cook_IL.csv,35.4,23,22.4,0.0,I
2020-02-12,Cook,Illinois,2,0,99733899999,2020-02-05,42.0,-87.5,202.0,Cook_IL.csv,29.7,24,17.3,0.0,I
2020-02-13,Cook,Illinois,2,0,99733899999,2020-02-06,42.0,-87.5,202.0,Cook_IL.csv,28.4,24,17.8,0.0,I
2020-02-14,Cook,Illinois,2,0,99733899999,2020-02-07,42.0,-87.5,202.0,Cook_IL.csv,31.1,24,13.2,0.0,I
2020-02-15,Cook,Illinois,2,0,99733899999,2020-02-08,42.0,-87.5,202.0,Cook_IL.csv,32.1,24,9.0,0.0,I
2020-02-16,Cook,Illinois,2,0,99733899999,2020-02-09,42.0,-87.5,202.0,Cook_IL.csv,30.8,24,16.6,0.0,I
2020-02-17,Cook,Illinois,2,0,99733899999,2020-02-10,42.0,-87.5,202.0,Cook_IL.csv,30.9,24,13.1,0.0,I
2020-02-18,Cook,Illinois,2,0,99733899999,2020-02-11,42.0,-87.5,202.0,Cook_IL.csv,31.4,24,12.6,0.0,I
2020-02-19,Cook,Illinois,2,0,99733899999,2020-02-12,42.0,-87.5,202.0,Cook_IL.csv,30.3,24,12.5,0.0,I
2020-02-20,Cook,Illinois,2,0,99733899999,2020-02-13,42.0,-87.5,202.0,Cook_IL.csv,24.4,24,16.3,0.0,I
2020-02-21,Cook,Illinois,2,0,99733899999,2020-02-14,42.0,-87.5,202.0,Cook_IL.csv,8.5,24,12.2,0.0,I
2020-02-22,Cook,Illinois,2,0,99733899999,2020-02-15,42.0,-87.5,202.0,Cook_IL.csv,19.4,24,23.9,0.0,I
2020-02-23,Cook,Illinois,2,0,99733899999,2020-02-16,42.0,-87.5,202.0,Cook_IL.csv,30.6,24,11.1,0.0,I
2020-02-24,Cook,Illinois,2,0,99733899999,2020-02-17,42.0,-87.5,202.0,Cook_IL.csv,33.2,24,11.2,0.0,I
2020-02-25,Cook,Illinois,2,0,99733899999,2020-02-18,42.0,-87.5,202.0,Cook_IL.csv,36.0,24,18.1,0.0,I
2020-02-26,Cook,Illinois,2,0,99733899999,2020-02-19,42.0,-87.5,202.0,Cook_IL.csv,24.2,24,12.6,0.0,I
2020-02-27,Cook,Illinois,2,0,99733899999,2020-02-20,42.0,-87.5,202.0,Cook_IL.csv,18.3,24,13.2,0.0,I
2020-02-28,Cook,Illinois,2,0,99733899999,2020-02-21,42.0,-87.5,202.0,Cook_IL.csv,22.1,24,13.9,0.0,I
2020-02-29,Cook,Illinois,3,0,99733899999,2020-02-22,42.0,-87.5,202.0,Cook_IL.csv,35.6,24,18.1,0.0,I
2020-03-01,Cook,Illinois,3,0,99733899999,2020-02-23,42.0,-87.5,202.0,Cook_IL.csv,42.5,24,16.9,0.0,I
2020-03-02,Cook,Illinois,4,0,99733899999,2020-02-24,42.0,-87.5,202.0,Cook_IL.csv,41.4,24,11.0,0.0,I
2020-03-03,Cook,Illinois,4,0,99733899999,2020-02-25,42.0,-87.5,202.0,Cook_IL.csv,35.7,24,18.9,0.0,I
2020-03-04,Cook,Illinois,4,0,99733899999,2020-02-26,42.0,-87.5,202.0,Cook_IL.csv,30.8,24,25.2,0.0,I
2020-03-05,Cook,Illinois,5,0,99733899999,2020-02-27,42.0,-87.5,202.0,Cook_IL.csv,27.1,23,17.1,0.0,I
2020-03-06,Cook,Illinois,6,0,99733899999,2020-02-28,42.0,-87.5,202.0,Cook_IL.csv,24.1,24,13.5,0.0,I
2020-03-07,Cook,Illinois,6,0,99733899999,2020-02-29,42.0,-87.5,202.0,Cook_IL.csv,25.9,24,13.5,0.0,I
2020-03-08,Cook,Illinois,7,0,99733899999,2020-03-01,42.0,-87.5,202.0,Cook_IL.csv,38.8,24,20.5,0.0,I
2020-03-09,Cook,Illinois,11,0,99733899999,2020-03-02,42.0,-87.5,202.0,Cook_IL.csv,43.8,24,12.7,0.0,I
2020-03-10,Cook,Illinois,17,0,99733899999,2020-03-03,42.0,-87.5,202.0,Cook_IL.csv,38.4,24,12.5,0.0,I
