Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-06,Denver,Colorado,2,0,72565003017,2020-02-28,39.8328,-104.6575,1650.2,Denver_CO.csv,42.7,24,6.8,0.0,G
2020-03-07,Denver,Colorado,2,0,72565003017,2020-02-29,39.8328,-104.6575,1650.2,Denver_CO.csv,42.7,24,8.2,0.0,G
2020-03-08,Denver,Colorado,2,0,72565003017,2020-03-01,39.8328,-104.6575,1650.2,Denver_CO.csv,40.1,24,9.0,0.0,G
2020-03-09,Denver,Colorado,3,0,72565003017,2020-03-02,39.8328,-104.6575,1650.2,Denver_CO.csv,29.5,24,5.7,0.04,G
2020-03-10,Denver,Colorado,4,0,72565003017,2020-03-03,39.8328,-104.6575,1650.2,Denver_CO.csv,40.8,24,8.4,0.01,G
2020-03-11,Denver,Colorado,6,0,72565003017,2020-03-04,39.8328,-104.6575,1650.2,Denver_CO.csv,44.5,24,13.0,0.0,G
2020-03-12,Denver,Colorado,9,0,72565003017,2020-03-05,39.8328,-104.6575,1650.2,Denver_CO.csv,41.0,24,10.2,0.0,G
2020-03-13,Denver,Colorado,17,0,72565003017,2020-03-06,39.8328,-104.6575,1650.2,Denver_CO.csv,45.4,24,7.7,0.0,G
2020-03-14,Denver,Colorado,23,0,72565003017,2020-03-07,39.8328,-104.6575,1650.2,Denver_CO.csv,52.4,24,8.9,0.0,G
2020-03-15,Denver,Colorado,28,0,72565003017,2020-03-08,39.8328,-104.6575,1650.2,Denver_CO.csv,55.7,24,11.4,0.0,G
2020-03-16,Denver,Colorado,28,0,72565003017,2020-03-09,39.8328,-104.6575,1650.2,Denver_CO.csv,45.0,24,8.1,0.3,G
2020-03-17,Denver,Colorado,41,0,72565003017,2020-03-10,39.8328,-104.6575,1650.2,Denver_CO.csv,47.6,24,8.2,0.0,G
2020-03-18,Denver,Colorado,45,0,72565003017,2020-03-11,39.8328,-104.6575,1650.2,Denver_CO.csv,49.0,24,10.3,0.0,G
2020-03-19,Denver,Colorado,61,0,72565003017,2020-03-12,39.8328,-104.6575,1650.2,Denver_CO.csv,47.4,24,10.2,0.0,G
2020-03-20,Denver,Colorado,79,0,72565003017,2020-03-13,39.8328,-104.6575,1650.2,Denver_CO.csv,36.1,24,14.4,0.0,G
2020-03-21,Denver,Colorado,98,0,72565003017,2020-03-14,39.8328,-104.6575,1650.2,Denver_CO.csv,34.3,24,9.0,0.02,G
2020-03-22,Denver,Colorado,125,0,72565003017,2020-03-15,39.8328,-104.6575,1650.2,Denver_CO.csv,39.6,24,6.4,0.0,G
2020-03-23,Denver,Colorado,148,0,72565003017,2020-03-16,39.8328,-104.6575,1650.2,Denver_CO.csv,45.3,24,9.2,0.0,G
2020-03-24,Denver,Colorado,176,0,72565003017,2020-03-17,39.8328,-104.6575,1650.2,Denver_CO.csv,42.0,24,9.3,0.0,G
2020-03-25,Denver,Colorado,214,3,72565003017,2020-03-18,39.8328,-104.6575,1650.2,Denver_CO.csv,49.2,24,7.5,0.0,G
2020-03-26,Denver,Colorado,262,3,72565003017,2020-03-19,39.8328,-104.6575,1650.2,Denver_CO.csv,40.2,24,15.8,0.06,G
2020-03-27,Denver,Colorado,312,3,72565003017,2020-03-20,39.8328,-104.6575,1650.2,Denver_CO.csv,22.4,24,12.9,0.68,G
2020-03-28,Denver,Colorado,367,5,72565003017,2020-03-21,39.8328,-104.6575,1650.2,Denver_CO.csv,26.6,24,6.5,0.0,G
2020-03-29,Denver,Colorado,408,5,72565003017,2020-03-22,39.8328,-104.6575,1650.2,Denver_CO.csv,38.2,24,7.1,0.0,G
2020-03-30,Denver,Colorado,465,6,72565003017,2020-03-23,39.8328,-104.6575,1650.2,Denver_CO.csv,43.9,24,7.8,0.0,G
2020-03-31,Denver,Colorado,539,7,72565003017,2020-03-24,39.8328,-104.6575,1650.2,Denver_CO.csv,45.9,24,5.9,0.0,G
2020-04-01,Denver,Colorado,586,8,72565003017,2020-03-25,39.8328,-104.6575,1650.2,Denver_CO.csv,51.5,24,6.3,0.0,G
2020-04-02,Denver,Colorado,643,11,72565003017,2020-03-26,39.8328,-104.6575,1650.2,Denver_CO.csv,42.0,24,7.4,0.0,G
2020-04-03,Denver,Colorado,716,14,72565003017,2020-03-27,39.8328,-104.6575,1650.2,Denver_CO.csv,37.9,24,6.9,0.0,G
2020-04-04,Denver,Colorado,769,14,72565003017,2020-03-28,39.8328,-104.6575,1650.2,Denver_CO.csv,36.2,24,11.5,0.16,G
2020-04-05,Denver,Colorado,825,16,72565003017,2020-03-29,39.8328,-104.6575,1650.2,Denver_CO.csv,40.6,24,8.9,0.0,G
2020-04-06,Denver,Colorado,847,15,72565003017,2020-03-30,39.8328,-104.6575,1650.2,Denver_CO.csv,43.2,24,9.2,0.0,G
2020-04-07,Denver,Colorado,884,31,72565003017,2020-03-31,39.8328,-104.6575,1650.2,Denver_CO.csv,49.4,24,7.6,0.0,G
2020-04-08,Denver,Colorado,927,33,72565003017,2020-04-01,39.8328,-104.6575,1650.2,Denver_CO.csv,53.0,24,7.3,0.0,G
2020-04-09,Denver,Colorado,1031,38,72565003017,2020-04-02,39.8328,-104.6575,1650.2,Denver_CO.csv,34.5,24,11.8,0.01,G
2020-04-10,Denver,Colorado,1113,42,72565003017,2020-04-03,39.8328,-104.6575,1650.2,Denver_CO.csv,24.2,24,7.7,0.05,G
2020-04-11,Denver,Colorado,1182,46,72565003017,2020-04-04,39.8328,-104.6575,1650.2,Denver_CO.csv,38.9,24,9.4,0.0,G
2020-04-12,Denver,Colorado,1247,46,72565003017,2020-04-05,39.8328,-104.6575,1650.2,Denver_CO.csv,50.9,24,10.3,0.0,G
2020-04-13,Denver,Colorado,1346,51,72565003017,2020-04-06,39.8328,-104.6575,1650.2,Denver_CO.csv,56.7,24,7.5,0.0,G
2020-04-14,Denver,Colorado,1402,56,72565003017,2020-04-07,39.8328,-104.6575,1650.2,Denver_CO.csv,58.6,24,5.6,0.0,G
2020-04-15,Denver,Colorado,1468,61,72565003017,2020-04-08,39.8328,-104.6575,1650.2,Denver_CO.csv,56.4,24,6.2,0.0,G
2020-04-16,Denver,Colorado,1549,63,72565003017,2020-04-09,39.8328,-104.6575,1650.2,Denver_CO.csv,45.3,24,7.6,0.0,G
2020-04-17,Denver,Colorado,1636,66,72565003017,2020-04-10,39.8328,-104.6575,1650.2,Denver_CO.csv,53.5,24,8.1,0.0,G
2020-04-18,Denver,Colorado,1723,74,72565003017,2020-04-11,39.8328,-104.6575,1650.2,Denver_CO.csv,57.5,24,8.7,0.0,G
2020-04-19,Denver,Colorado,1784,75,72565003017,2020-04-12,39.8328,-104.6575,1650.2,Denver_CO.csv,32.7,24,14.6,0.02,G
2020-04-20,Denver,Colorado,1880,83,72565003017,2020-04-13,39.8328,-104.6575,1650.2,Denver_CO.csv,20.3,24,8.4,0.01,G
2020-04-21,Denver,Colorado,2004,91,72565003017,2020-04-14,39.8328,-104.6575,1650.2,Denver_CO.csv,26.0,24,7.4,0.08,G
2020-04-22,Denver,Colorado,2071,96,72565003017,2020-04-15,39.8328,-104.6575,1650.2,Denver_CO.csv,39.1,24,8.7,0.0,G
2020-04-23,Denver,Colorado,2172,98,72565003017,2020-04-16,39.8328,-104.6575,1650.2,Denver_CO.csv,31.2,24,13.2,0.09,G
2020-04-24,Denver,Colorado,2385,128,72565003017,2020-04-17,39.8328,-104.6575,1650.2,Denver_CO.csv,27.8,24,5.4,0.18,G
2020-04-25,Denver,Colorado,2487,132,72565003017,2020-04-18,39.8328,-104.6575,1650.2,Denver_CO.csv,44.4,24,7.2,0.0,G
2020-04-26,Denver,Colorado,2583,132,72565003017,2020-04-19,39.8328,-104.6575,1650.2,Denver_CO.csv,46.0,24,7.3,0.0,G
2020-04-27,Denver,Colorado,2682,135,72565003017,2020-04-20,39.8328,-104.6575,1650.2,Denver_CO.csv,50.1,24,5.8,0.0,G
2020-04-28,Denver,Colorado,2791,145,72565003017,2020-04-21,39.8328,-104.6575,1650.2,Denver_CO.csv,52.7,24,6.9,0.0,G
2020-04-29,Denver,Colorado,2890,150,72565003017,2020-04-22,39.8328,-104.6575,1650.2,Denver_CO.csv,53.4,24,10.8,0.0,G
2020-04-30,Denver,Colorado,3001,154,72565003017,2020-04-23,39.8328,-104.6575,1650.2,Denver_CO.csv,55.5,24,9.4,0.0,G
2020-05-01,Denver,Colorado,3092,163,72565003017,2020-04-24,39.8328,-104.6575,1650.2,Denver_CO.csv,50.0,24,11.1,0.09,G
2020-05-02,Denver,Colorado,3222,164,72565003017,2020-04-25,39.8328,-104.6575,1650.2,Denver_CO.csv,48.2,24,5.6,0.01,G
2020-05-03,Denver,Colorado,3345,166,72565003017,2020-04-26,39.8328,-104.6575,1650.2,Denver_CO.csv,57.8,24,11.0,0.0,G
2020-05-04,Denver,Colorado,3428,166,72565003017,2020-04-27,39.8328,-104.6575,1650.2,Denver_CO.csv,60.5,24,7.6,0.0,G
2020-05-05,Denver,Colorado,3546,188,72565003017,2020-04-28,39.8328,-104.6575,1650.2,Denver_CO.csv,62.4,24,8.7,0.0,G
2020-05-06,Denver,Colorado,3674,195,72565003017,2020-04-29,39.8328,-104.6575,1650.2,Denver_CO.csv,53.7,24,5.4,0.0,G
2020-05-07,Denver,Colorado,3799,199,72565003017,2020-04-30,39.8328,-104.6575,1650.2,Denver_CO.csv,61.5,24,7.5,0.0,G
2020-05-08,Denver,Colorado,3892,202,72565003017,2020-05-01,39.8328,-104.6575,1650.2,Denver_CO.csv,69.8,24,10.1,0.0,G
2020-05-09,Denver,Colorado,4001,205,72565003017,2020-05-02,39.8328,-104.6575,1650.2,Denver_CO.csv,60.1,24,11.8,0.0,G
2020-05-10,Denver,Colorado,4070,206,72565003017,2020-05-03,39.8328,-104.6575,1650.2,Denver_CO.csv,56.7,24,8.9,0.35,G
2020-05-11,Denver,Colorado,4118,212,72565003017,2020-05-04,39.8328,-104.6575,1650.2,Denver_CO.csv,57.2,24,10.6,0.0,G
2020-05-12,Denver,Colorado,4187,214,72565003017,2020-05-05,39.8328,-104.6575,1650.2,Denver_CO.csv,50.5,24,9.0,0.0,G
2020-05-13,Denver,Colorado,4254,233,72565003017,2020-05-06,39.8328,-104.6575,1650.2,Denver_CO.csv,54.6,24,9.0,0.0,G
2020-05-14,Denver,Colorado,4359,237,72565003017,2020-05-07,39.8328,-104.6575,1650.2,Denver_CO.csv,58.3,24,10.8,0.0,G
2020-05-15,Denver,Colorado,4452,248,72565003017,2020-05-08,39.8328,-104.6575,1650.2,Denver_CO.csv,47.3,24,13.5,0.0,G
2020-05-16,Denver,Colorado,4548,261,72565003017,2020-05-09,39.8328,-104.6575,1650.2,Denver_CO.csv,51.2,24,14.5,0.0,G
2020-05-17,Denver,Colorado,4656,265,72565003017,2020-05-10,39.8328,-104.6575,1650.2,Denver_CO.csv,48.3,24,7.9,0.0,G
2020-05-18,Denver,Colorado,4720,272,72565003017,2020-05-11,39.8328,-104.6575,1650.2,Denver_CO.csv,42.7,24,9.0,0.0,G
2020-05-19,Denver,Colorado,4790,285,72565003017,2020-05-12,39.8328,-104.6575,1650.2,Denver_CO.csv,50.5,24,7.6,0.11,G
2020-05-20,Denver,Colorado,4858,294,72565003017,2020-05-13,39.8328,-104.6575,1650.2,Denver_CO.csv,59.9,24,7.7,0.0,G
2020-05-21,Denver,Colorado,4948,296,72565003017,2020-05-14,39.8328,-104.6575,1650.2,Denver_CO.csv,59.6,24,8.8,0.0,G
2020-05-22,Denver,Colorado,5056,299,72565003017,2020-05-15,39.8328,-104.6575,1650.2,Denver_CO.csv,56.1,24,8.1,0.02,G
2020-05-23,Denver,Colorado,5151,299,72565003017,2020-05-16,39.8328,-104.6575,1650.2,Denver_CO.csv,56.7,24,9.0,0.14,G
2020-05-24,Denver,Colorado,5173,299,72565003017,2020-05-17,39.8328,-104.6575,1650.2,Denver_CO.csv,56.8,24,7.2,0.0,G
2020-05-25,Denver,Colorado,5216,298,72565003017,2020-05-18,39.8328,-104.6575,1650.2,Denver_CO.csv,65.3,24,8.0,0.0,G
