Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-12,Dutchess,New York,1,0,99999964756,2020-03-05,41.7857,-73.7422,125.9,Dutchess_NY.csv,40.4,24,999.9,0.0,G
2020-03-13,Dutchess,New York,3,0,99999964756,2020-03-06,41.7857,-73.7422,125.9,Dutchess_NY.csv,34.7,24,999.9,0.0,G
2020-03-14,Dutchess,New York,4,0,99999964756,2020-03-07,41.7857,-73.7422,125.9,Dutchess_NY.csv,35.6,24,999.9,0.04,G
2020-03-15,Dutchess,New York,7,0,99999964756,2020-03-08,41.7857,-73.7422,125.9,Dutchess_NY.csv,35.1,24,999.9,0.0,G
2020-03-16,Dutchess,New York,10,0,99999964756,2020-03-09,41.7857,-73.7422,125.9,Dutchess_NY.csv,54.8,24,999.9,0.0,G
2020-03-17,Dutchess,New York,16,0,99999964756,2020-03-10,41.7857,-73.7422,125.9,Dutchess_NY.csv,59.2,24,999.9,0.0,G
2020-03-18,Dutchess,New York,20,0,99999964756,2020-03-11,41.7857,-73.7422,125.9,Dutchess_NY.csv,46.4,24,999.9,0.0,G
2020-03-19,Dutchess,New York,31,0,99999964756,2020-03-12,41.7857,-73.7422,125.9,Dutchess_NY.csv,39.8,24,999.9,0.0,G
2020-03-20,Dutchess,New York,36,0,99999964756,2020-03-13,41.7857,-73.7422,125.9,Dutchess_NY.csv,49.4,24,999.9,0.02,G
2020-03-21,Dutchess,New York,49,0,99999964756,2020-03-14,41.7857,-73.7422,125.9,Dutchess_NY.csv,43.6,24,999.9,0.26,G
2020-03-22,Dutchess,New York,82,0,99999964756,2020-03-15,41.7857,-73.7422,125.9,Dutchess_NY.csv,40.9,24,999.9,0.0,G
2020-03-23,Dutchess,New York,100,0,99999964756,2020-03-16,41.7857,-73.7422,125.9,Dutchess_NY.csv,33.2,24,999.9,0.0,G
2020-03-24,Dutchess,New York,124,0,99999964756,2020-03-17,41.7857,-73.7422,125.9,Dutchess_NY.csv,38.4,24,999.9,0.0,G
2020-03-25,Dutchess,New York,153,0,99999964756,2020-03-18,41.7857,-73.7422,125.9,Dutchess_NY.csv,41.9,24,999.9,0.05,G
2020-03-26,Dutchess,New York,190,2,99999964756,2020-03-19,41.7857,-73.7422,125.9,Dutchess_NY.csv,42.9,24,999.9,0.0,G
2020-03-27,Dutchess,New York,225,2,99999964756,2020-03-20,41.7857,-73.7422,125.9,Dutchess_NY.csv,49.7,24,999.9,0.62,G
2020-03-28,Dutchess,New York,262,2,99999964756,2020-03-21,41.7857,-73.7422,125.9,Dutchess_NY.csv,45.6,24,999.9,0.14,G
2020-03-29,Dutchess,New York,320,2,99999964756,2020-03-22,41.7857,-73.7422,125.9,Dutchess_NY.csv,32.9,24,999.9,0.0,G
2020-03-30,Dutchess,New York,392,3,99999964756,2020-03-23,41.7857,-73.7422,125.9,Dutchess_NY.csv,32.9,24,999.9,0.0,G
2020-03-31,Dutchess,New York,484,4,99999964756,2020-03-24,41.7857,-73.7422,125.9,Dutchess_NY.csv,36.1,24,999.9,0.72,G
2020-04-01,Dutchess,New York,547,5,99999964756,2020-03-25,41.7857,-73.7422,125.9,Dutchess_NY.csv,35.2,24,999.9,0.0,G
2020-04-02,Dutchess,New York,667,9,99999964756,2020-03-26,41.7857,-73.7422,125.9,Dutchess_NY.csv,38.9,24,999.9,0.0,G
