Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-15,Erie,New York,3,0,99725499999,2020-03-08,42.88,-78.89,178.3,Erie_NY.csv,36.4,24,9.8,0.0,I
2020-03-16,Erie,New York,6,0,99725499999,2020-03-09,42.88,-78.89,178.3,Erie_NY.csv,43.3,24,10.6,0.0,I
2020-03-17,Erie,New York,7,0,99725499999,2020-03-10,42.88,-78.89,178.3,Erie_NY.csv,44.9,24,11.9,0.0,I
2020-03-18,Erie,New York,7,0,99725499999,2020-03-11,42.88,-78.89,178.3,Erie_NY.csv,37.3,19,5.9,0.0,I
2020-03-19,Erie,New York,28,0,99725499999,2020-03-12,42.88,-78.89,178.3,Erie_NY.csv,41.0,24,2.8,0.0,I
2020-03-20,Erie,New York,31,0,99725499999,2020-03-13,42.88,-78.89,178.3,Erie_NY.csv,44.7,18,15.7,0.0,I
2020-03-21,Erie,New York,38,0,99725499999,2020-03-14,42.88,-78.89,178.3,Erie_NY.csv,33.6,13,9.9,0.0,I
2020-03-22,Erie,New York,54,0,99725499999,2020-03-15,42.88,-78.89,178.3,Erie_NY.csv,33.8,24,8.6,0.0,I
2020-03-23,Erie,New York,87,0,99725499999,2020-03-16,42.88,-78.89,178.3,Erie_NY.csv,34.5,24,4.8,0.0,I
2020-03-24,Erie,New York,107,0,99725499999,2020-03-17,42.88,-78.89,178.3,Erie_NY.csv,37.6,24,11.1,0.0,I
2020-03-25,Erie,New York,122,0,99725499999,2020-03-18,42.88,-78.89,178.3,Erie_NY.csv,39.5,24,6.9,0.0,I
2020-03-26,Erie,New York,134,2,99725499999,2020-03-19,42.88,-78.89,178.3,Erie_NY.csv,40.9,24,5.8,0.0,I
2020-03-27,Erie,New York,219,6,99725499999,2020-03-20,42.88,-78.89,178.3,Erie_NY.csv,48.5,24,13.7,0.0,I
2020-03-28,Erie,New York,354,6,99725499999,2020-03-21,42.88,-78.89,178.3,Erie_NY.csv,28.9,24,12.4,0.0,I
2020-03-29,Erie,New York,380,6,99725499999,2020-03-22,42.88,-78.89,178.3,Erie_NY.csv,30.1,24,6.5,0.0,I
2020-03-30,Erie,New York,443,8,99725499999,2020-03-23,42.88,-78.89,178.3,Erie_NY.csv,37.5,24,5.9,0.0,I
2020-03-31,Erie,New York,438,8,99725499999,2020-03-24,42.88,-78.89,178.3,Erie_NY.csv,37.9,24,5.4,0.0,I
2020-04-01,Erie,New York,553,12,99725499999,2020-03-25,42.88,-78.89,178.3,Erie_NY.csv,39.7,24,5.0,0.0,I
2020-04-02,Erie,New York,734,19,99725499999,2020-03-26,42.88,-78.89,178.3,Erie_NY.csv,43.0,24,7.6,0.0,I
2020-04-03,Erie,New York,802,22,99725499999,2020-03-27,42.88,-78.89,178.3,Erie_NY.csv,41.5,24,5.9,0.0,I
2020-04-04,Erie,New York,945,26,99725499999,2020-03-28,42.88,-78.89,178.3,Erie_NY.csv,46.4,24,6.6,0.0,I
2020-04-05,Erie,New York,1059,27,99725499999,2020-03-29,42.88,-78.89,178.3,Erie_NY.csv,49.9,24,10.9,0.0,I
2020-04-06,Erie,New York,1163,30,99725499999,2020-03-30,42.88,-78.89,178.3,Erie_NY.csv,41.8,24,17.8,0.0,I
2020-04-07,Erie,New York,1163,36,99725499999,2020-03-31,42.88,-78.89,178.3,Erie_NY.csv,40.5,24,7.3,0.0,I
2020-04-08,Erie,New York,1205,38,99725499999,2020-04-01,42.88,-78.89,178.3,Erie_NY.csv,41.4,24,8.2,0.0,I
2020-04-09,Erie,New York,1362,46,99725499999,2020-04-02,42.88,-78.89,178.3,Erie_NY.csv,40.8,21,9.3,0.0,I
2020-04-10,Erie,New York,1409,58,99725499999,2020-04-03,42.88,-78.89,178.3,Erie_NY.csv,40.9,24,8.4,0.0,I
2020-04-11,Erie,New York,1472,62,99725499999,2020-04-04,42.88,-78.89,178.3,Erie_NY.csv,41.5,24,4.2,0.0,I
2020-04-12,Erie,New York,1571,75,99725499999,2020-04-05,42.88,-78.89,178.3,Erie_NY.csv,42.9,24,5.3,0.0,I
2020-04-13,Erie,New York,1624,86,99725499999,2020-04-06,42.88,-78.89,178.3,Erie_NY.csv,38.8,23,4.6,0.0,I
2020-04-14,Erie,New York,1668,99,99725499999,2020-04-07,42.88,-78.89,178.3,Erie_NY.csv,48.0,24,3.1,0.0,I
2020-04-15,Erie,New York,1751,110,99725499999,2020-04-08,42.88,-78.89,178.3,Erie_NY.csv,43.5,24,7.2,0.0,I
2020-04-16,Erie,New York,1850,115,99725499999,2020-04-09,42.88,-78.89,178.3,Erie_NY.csv,41.5,24,13.3,0.0,I
2020-04-17,Erie,New York,1929,115,99725499999,2020-04-10,42.88,-78.89,178.3,Erie_NY.csv,37.4,24,20.0,0.0,I
2020-04-18,Erie,New York,1997,115,99725499999,2020-04-11,42.88,-78.89,178.3,Erie_NY.csv,36.8,24,14.5,0.0,I
2020-04-19,Erie,New York,2070,146,99725499999,2020-04-12,42.88,-78.89,178.3,Erie_NY.csv,48.1,24,5.6,0.0,I
2020-04-20,Erie,New York,2109,153,99725499999,2020-04-13,42.88,-78.89,178.3,Erie_NY.csv,52.8,24,14.4,0.0,I
2020-04-21,Erie,New York,2147,161,99725499999,2020-04-14,42.88,-78.89,178.3,Erie_NY.csv,38.7,24,17.5,0.0,I
2020-04-22,Erie,New York,2233,174,99725499999,2020-04-15,42.88,-78.89,178.3,Erie_NY.csv,35.1,24,14.9,0.0,I
2020-04-23,Erie,New York,2450,179,99725499999,2020-04-16,42.88,-78.89,178.3,Erie_NY.csv,32.4,24,14.2,0.0,I
2020-04-24,Erie,New York,2603,184,99725499999,2020-04-17,42.88,-78.89,178.3,Erie_NY.csv,35.7,24,10.3,0.0,I
2020-04-25,Erie,New York,2773,199,99725499999,2020-04-18,42.88,-78.89,178.3,Erie_NY.csv,36.0,24,9.3,0.0,I
2020-04-26,Erie,New York,2954,205,99725499999,2020-04-19,42.88,-78.89,178.3,Erie_NY.csv,44.5,24,16.4,0.0,I
2020-04-27,Erie,New York,3021,208,99725499999,2020-04-20,42.88,-78.89,178.3,Erie_NY.csv,38.6,24,7.0,0.0,I
2020-04-28,Erie,New York,3089,216,99725499999,2020-04-21,42.88,-78.89,178.3,Erie_NY.csv,40.6,24,18.2,0.0,I
2020-04-29,Erie,New York,3196,220,99725499999,2020-04-22,42.88,-78.89,178.3,Erie_NY.csv,32.8,24,18.6,0.0,I
2020-04-30,Erie,New York,3319,227,99725499999,2020-04-23,42.88,-78.89,178.3,Erie_NY.csv,36.4,24,8.7,0.0,I
2020-05-01,Erie,New York,3481,233,99725499999,2020-04-24,42.88,-78.89,178.3,Erie_NY.csv,42.2,23,8.1,0.0,I
