Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-08,Fairfield,Connecticut,1,0,99729099999,2020-03-01,41.17,-73.18,10.0,Fairfield_CT.csv,29.0,23,6.4,0.0,I
2020-03-09,Fairfield,Connecticut,2,0,99729099999,2020-03-02,41.17,-73.18,10.0,Fairfield_CT.csv,38.6,24,4.0,0.0,I
2020-03-10,Fairfield,Connecticut,2,0,99729099999,2020-03-03,41.17,-73.18,10.0,Fairfield_CT.csv,47.7,24,4.3,0.0,I
2020-03-11,Fairfield,Connecticut,3,0,99729099999,2020-03-04,41.17,-73.18,10.0,Fairfield_CT.csv,48.6,24,6.8,0.0,I
2020-03-12,Fairfield,Connecticut,5,0,99729099999,2020-03-05,41.17,-73.18,10.0,Fairfield_CT.csv,43.8,24,5.9,0.0,I
2020-03-13,Fairfield,Connecticut,8,0,99729099999,2020-03-06,41.17,-73.18,10.0,Fairfield_CT.csv,40.6,24,6.8,0.0,I
2020-03-14,Fairfield,Connecticut,15,0,99729099999,2020-03-07,41.17,-73.18,10.0,Fairfield_CT.csv,37.7,24,9.8,0.0,I
2020-03-15,Fairfield,Connecticut,16,0,99729099999,2020-03-08,41.17,-73.18,10.0,Fairfield_CT.csv,39.8,24,5.5,0.0,I
2020-03-16,Fairfield,Connecticut,29,0,99729099999,2020-03-09,41.17,-73.18,10.0,Fairfield_CT.csv,51.9,24,5.9,0.0,I
2020-03-17,Fairfield,Connecticut,48,0,99729099999,2020-03-10,41.17,-73.18,10.0,Fairfield_CT.csv,51.6,24,4.8,0.0,I
2020-03-18,Fairfield,Connecticut,69,1,99729099999,2020-03-11,41.17,-73.18,10.0,Fairfield_CT.csv,50.5,19,5.8,0.0,I
2020-03-19,Fairfield,Connecticut,102,4,99729099999,2020-03-12,41.17,-73.18,10.0,Fairfield_CT.csv,42.4,24,6.0,0.0,I
2020-03-20,Fairfield,Connecticut,122,4,99729099999,2020-03-13,41.17,-73.18,10.0,Fairfield_CT.csv,48.9,19,9.3,0.0,I
2020-03-21,Fairfield,Connecticut,140,4,99729099999,2020-03-14,41.17,-73.18,10.0,Fairfield_CT.csv,48.3,13,6.9,0.0,I
2020-03-22,Fairfield,Connecticut,208,5,99729099999,2020-03-15,41.17,-73.18,10.0,Fairfield_CT.csv,44.3,24,6.1,0.0,I
2020-03-23,Fairfield,Connecticut,270,6,99729099999,2020-03-16,41.17,-73.18,10.0,Fairfield_CT.csv,36.0,24,8.0,0.0,I
2020-03-24,Fairfield,Connecticut,384,7,99729099999,2020-03-17,41.17,-73.18,10.0,Fairfield_CT.csv,40.9,24,6.1,0.0,I
2020-03-25,Fairfield,Connecticut,546,12,99729099999,2020-03-18,41.17,-73.18,10.0,Fairfield_CT.csv,43.3,24,4.0,0.0,I
2020-03-26,Fairfield,Connecticut,607,13,99729099999,2020-03-19,41.17,-73.18,10.0,Fairfield_CT.csv,43.8,24,7.1,0.0,I
2020-03-27,Fairfield,Connecticut,752,15,99729099999,2020-03-20,41.17,-73.18,10.0,Fairfield_CT.csv,47.9,24,4.1,0.0,I
2020-03-28,Fairfield,Connecticut,908,20,99729099999,2020-03-21,41.17,-73.18,10.0,Fairfield_CT.csv,49.7,24,6.6,0.0,I
2020-03-29,Fairfield,Connecticut,1245,21,99729099999,2020-03-22,41.17,-73.18,10.0,Fairfield_CT.csv,36.2,24,8.0,0.0,I
2020-03-30,Fairfield,Connecticut,1445,21,99729099999,2020-03-23,41.17,-73.18,10.0,Fairfield_CT.csv,36.3,24,12.5,0.0,I
2020-03-31,Fairfield,Connecticut,1870,38,99729099999,2020-03-24,41.17,-73.18,10.0,Fairfield_CT.csv,40.6,24,7.1,0.0,I
2020-04-01,Fairfield,Connecticut,1986,46,99729099999,2020-03-25,41.17,-73.18,10.0,Fairfield_CT.csv,40.3,24,7.6,0.0,I
2020-04-02,Fairfield,Connecticut,2132,65,99729099999,2020-03-26,41.17,-73.18,10.0,Fairfield_CT.csv,41.9,24,5.9,0.0,I
2020-04-03,Fairfield,Connecticut,2717,76,99729099999,2020-03-27,41.17,-73.18,10.0,Fairfield_CT.csv,52.3,24,6.0,0.0,I
2020-04-04,Fairfield,Connecticut,2824,86,99729099999,2020-03-28,41.17,-73.18,10.0,Fairfield_CT.csv,47.1,24,5.9,0.0,I
2020-04-05,Fairfield,Connecticut,3050,96,99729099999,2020-03-29,41.17,-73.18,10.0,Fairfield_CT.csv,45.2,24,13.3,0.0,I
2020-04-06,Fairfield,Connecticut,3719,101,99729099999,2020-03-30,41.17,-73.18,10.0,Fairfield_CT.csv,43.3,24,5.9,0.0,I
2020-04-07,Fairfield,Connecticut,4136,132,99729099999,2020-03-31,41.17,-73.18,10.0,Fairfield_CT.csv,41.8,24,6.0,0.0,I
2020-04-08,Fairfield,Connecticut,4417,155,99729099999,2020-04-01,41.17,-73.18,10.0,Fairfield_CT.csv,43.2,24,6.3,0.0,I
2020-04-09,Fairfield,Connecticut,4882,178,99729099999,2020-04-02,41.17,-73.18,10.0,Fairfield_CT.csv,46.3,21,9.4,0.0,I
2020-04-10,Fairfield,Connecticut,5180,203,99729099999,2020-04-03,41.17,-73.18,10.0,Fairfield_CT.csv,46.8,24,10.5,0.0,I
2020-04-11,Fairfield,Connecticut,5407,220,99729099999,2020-04-04,41.17,-73.18,10.0,Fairfield_CT.csv,49.4,24,8.3,0.0,I
2020-04-12,Fairfield,Connecticut,5534,248,99729099999,2020-04-05,41.17,-73.18,10.0,Fairfield_CT.csv,47.5,24,4.3,0.0,I
2020-04-13,Fairfield,Connecticut,6004,262,99729099999,2020-04-06,41.17,-73.18,10.0,Fairfield_CT.csv,50.6,22,4.8,0.0,I
2020-04-14,Fairfield,Connecticut,6213,287,99729099999,2020-04-07,41.17,-73.18,10.0,Fairfield_CT.csv,53.2,24,5.1,0.0,I
2020-04-15,Fairfield,Connecticut,6480,365,99729099999,2020-04-08,41.17,-73.18,10.0,Fairfield_CT.csv,50.1,24,4.8,0.0,I
2020-04-16,Fairfield,Connecticut,6816,406,99729099999,2020-04-09,41.17,-73.18,10.0,Fairfield_CT.csv,48.1,24,5.2,0.0,I
2020-04-17,Fairfield,Connecticut,7146,425,99729099999,2020-04-10,41.17,-73.18,10.0,Fairfield_CT.csv,44.0,24,8.8,0.0,I
2020-04-18,Fairfield,Connecticut,7363,432,99729099999,2020-04-11,41.17,-73.18,10.0,Fairfield_CT.csv,45.0,24,6.7,0.0,I
2020-04-19,Fairfield,Connecticut,7434,447,99729099999,2020-04-12,41.17,-73.18,10.0,Fairfield_CT.csv,46.4,24,4.2,0.0,I
2020-04-20,Fairfield,Connecticut,8320,512,99729099999,2020-04-13,41.17,-73.18,10.0,Fairfield_CT.csv,54.6,24,11.4,0.0,I
2020-04-21,Fairfield,Connecticut,8472,544,99729099999,2020-04-14,41.17,-73.18,10.0,Fairfield_CT.csv,52.6,24,6.2,0.0,I
2020-04-22,Fairfield,Connecticut,9883,584,99729099999,2020-04-15,41.17,-73.18,10.0,Fairfield_CT.csv,46.9,24,6.0,0.0,I
2020-04-23,Fairfield,Connecticut,10008,615,99729099999,2020-04-16,41.17,-73.18,10.0,Fairfield_CT.csv,44.4,24,5.7,0.0,I
2020-04-24,Fairfield,Connecticut,10227,662,99729099999,2020-04-17,41.17,-73.18,10.0,Fairfield_CT.csv,41.2,24,7.1,0.0,I
2020-04-25,Fairfield,Connecticut,10373,689,99729099999,2020-04-18,41.17,-73.18,10.0,Fairfield_CT.csv,40.4,24,6.1,0.0,I
2020-04-26,Fairfield,Connecticut,10529,707,99729099999,2020-04-19,41.17,-73.18,10.0,Fairfield_CT.csv,44.6,24,6.9,0.0,I
2020-04-27,Fairfield,Connecticut,10763,727,99729099999,2020-04-20,41.17,-73.18,10.0,Fairfield_CT.csv,51.0,24,6.2,0.0,I
2020-04-28,Fairfield,Connecticut,10874,747,99729099999,2020-04-21,41.17,-73.18,10.0,Fairfield_CT.csv,47.2,24,6.5,0.0,I
2020-04-29,Fairfield,Connecticut,10985,774,99729099999,2020-04-22,41.17,-73.18,10.0,Fairfield_CT.csv,40.9,24,8.2,0.0,I
2020-04-30,Fairfield,Connecticut,11294,810,99729099999,2020-04-23,41.17,-73.18,10.0,Fairfield_CT.csv,40.8,24,3.7,0.0,I
2020-05-01,Fairfield,Connecticut,11612,839,99729099999,2020-04-24,41.17,-73.18,10.0,Fairfield_CT.csv,43.8,23,6.9,0.0,I
2020-05-02,Fairfield,Connecticut,11801,865,99729099999,2020-04-25,41.17,-73.18,10.0,Fairfield_CT.csv,48.3,24,4.5,0.0,I
2020-05-03,Fairfield,Connecticut,11801,865,99729099999,2020-04-26,41.17,-73.18,10.0,Fairfield_CT.csv,47.1,24,8.9,0.0,I
2020-05-04,Fairfield,Connecticut,12245,910,99729099999,2020-04-27,41.17,-73.18,10.0,Fairfield_CT.csv,43.4,24,8.7,0.0,I
2020-05-05,Fairfield,Connecticut,12360,935,99729099999,2020-04-28,41.17,-73.18,10.0,Fairfield_CT.csv,48.2,24,5.8,0.0,I
2020-05-06,Fairfield,Connecticut,12455,952,99729099999,2020-04-29,41.17,-73.18,10.0,Fairfield_CT.csv,47.7,24,7.4,0.0,I
2020-05-07,Fairfield,Connecticut,12679,977,99729099999,2020-04-30,41.17,-73.18,10.0,Fairfield_CT.csv,49.1,24,11.0,0.0,I
2020-05-08,Fairfield,Connecticut,12879,1006,99729099999,2020-05-01,41.17,-73.18,10.0,Fairfield_CT.csv,54.4,24,6.9,0.0,I
2020-05-09,Fairfield,Connecticut,13030,1017,99729099999,2020-05-02,41.17,-73.18,10.0,Fairfield_CT.csv,59.2,24,7.9,0.0,I
2020-05-10,Fairfield,Connecticut,13236,1024,99729099999,2020-05-03,41.17,-73.18,10.0,Fairfield_CT.csv,59.9,24,5.8,0.0,I
2020-05-11,Fairfield,Connecticut,13312,1034,99729099999,2020-05-04,41.17,-73.18,10.0,Fairfield_CT.csv,62.9,24,6.8,0.0,I
2020-05-12,Fairfield,Connecticut,13488,1046,99729099999,2020-05-05,41.17,-73.18,10.0,Fairfield_CT.csv,51.8,24,7.1,0.0,I
2020-05-13,Fairfield,Connecticut,13636,1068,99729099999,2020-05-06,41.17,-73.18,10.0,Fairfield_CT.csv,48.4,24,6.2,0.0,I
2020-05-14,Fairfield,Connecticut,13836,1093,99729099999,2020-05-07,41.17,-73.18,10.0,Fairfield_CT.csv,51.2,24,4.4,0.0,I
2020-05-15,Fairfield,Connecticut,14009,1109,99729099999,2020-05-08,41.17,-73.18,10.0,Fairfield_CT.csv,50.1,24,4.7,0.0,I
2020-05-16,Fairfield,Connecticut,14140,1125,99729099999,2020-05-09,41.17,-73.18,10.0,Fairfield_CT.csv,40.1,24,9.1,0.0,I
2020-05-17,Fairfield,Connecticut,14248,1146,99729099999,2020-05-10,41.17,-73.18,10.0,Fairfield_CT.csv,45.4,24,8.2,0.0,I
2020-05-18,Fairfield,Connecticut,14439,1153,99729099999,2020-05-11,41.17,-73.18,10.0,Fairfield_CT.csv,52.3,24,6.4,0.0,I
2020-05-19,Fairfield,Connecticut,14522,1160,99729099999,2020-05-12,41.17,-73.18,10.0,Fairfield_CT.csv,49.6,24,6.8,0.0,I
2020-05-20,Fairfield,Connecticut,14719,1167,99729099999,2020-05-13,41.17,-73.18,10.0,Fairfield_CT.csv,48.2,22,5.9,0.0,I
