Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-05,Harris,Texas,4,0,99737099999,2020-02-27,29.68,-94.98,10.0,Harris_TX.csv,47.8,24,7.1,0.0,I
2020-03-06,Harris,Texas,5,0,99737099999,2020-02-28,29.68,-94.98,10.0,Harris_TX.csv,53.8,24,6.8,0.0,I
2020-03-07,Harris,Texas,5,0,99737099999,2020-02-29,29.68,-94.98,10.0,Harris_TX.csv,59.9,24,4.3,0.0,I
2020-03-08,Harris,Texas,6,0,99737099999,2020-03-01,29.68,-94.98,10.0,Harris_TX.csv,62.5,24,8.0,0.0,I
2020-03-09,Harris,Texas,6,0,99737099999,2020-03-02,29.68,-94.98,10.0,Harris_TX.csv,65.4,23,6.3,0.0,I
2020-03-10,Harris,Texas,7,0,99737099999,2020-03-03,29.68,-94.98,10.0,Harris_TX.csv,67.9,24,3.9,0.0,I
2020-03-11,Harris,Texas,7,0,99737099999,2020-03-04,29.68,-94.98,10.0,Harris_TX.csv,67.8,24,8.1,0.0,I
2020-03-12,Harris,Texas,9,0,99737099999,2020-03-05,29.68,-94.98,10.0,Harris_TX.csv,59.9,24,12.4,0.0,I
2020-03-13,Harris,Texas,10,0,99737099999,2020-03-06,29.68,-94.98,10.0,Harris_TX.csv,63.0,24,8.7,0.0,I
2020-03-14,Harris,Texas,11,0,99737099999,2020-03-07,29.68,-94.98,10.0,Harris_TX.csv,58.6,24,8.3,0.0,I
2020-03-15,Harris,Texas,13,0,99737099999,2020-03-08,29.68,-94.98,10.0,Harris_TX.csv,59.7,24,11.0,0.0,I
2020-03-16,Harris,Texas,13,0,99737099999,2020-03-09,29.68,-94.98,10.0,Harris_TX.csv,64.6,24,9.9,0.0,I
2020-03-17,Harris,Texas,16,0,99737099999,2020-03-10,29.68,-94.98,10.0,Harris_TX.csv,68.3,23,5.1,0.0,I
2020-03-18,Harris,Texas,28,0,99737099999,2020-03-11,29.68,-94.98,10.0,Harris_TX.csv,69.6,19,5.0,0.0,I
2020-03-19,Harris,Texas,35,1,99737099999,2020-03-12,29.68,-94.98,10.0,Harris_TX.csv,70.5,24,7.1,0.0,I
2020-03-20,Harris,Texas,55,1,99737099999,2020-03-13,29.68,-94.98,10.0,Harris_TX.csv,70.4,18,9.0,0.0,I
2020-03-21,Harris,Texas,68,1,99737099999,2020-03-14,29.68,-94.98,10.0,Harris_TX.csv,72.6,13,8.7,0.0,I
2020-03-22,Harris,Texas,74,1,99737099999,2020-03-15,29.68,-94.98,10.0,Harris_TX.csv,71.6,24,8.1,0.0,I
2020-03-23,Harris,Texas,78,1,99737099999,2020-03-16,29.68,-94.98,10.0,Harris_TX.csv,68.9,24,6.7,0.0,I
2020-03-24,Harris,Texas,134,1,99737099999,2020-03-17,29.68,-94.98,10.0,Harris_TX.csv,71.1,24,7.8,0.0,I
2020-03-25,Harris,Texas,185,1,99737099999,2020-03-18,29.68,-94.98,10.0,Harris_TX.csv,73.1,23,9.8,0.0,I
2020-03-26,Harris,Texas,203,2,99737099999,2020-03-19,29.68,-94.98,10.0,Harris_TX.csv,74.5,21,11.1,0.0,I
2020-03-27,Harris,Texas,229,2,99737099999,2020-03-20,29.68,-94.98,10.0,Harris_TX.csv,73.6,24,8.2,0.0,I
2020-03-28,Harris,Texas,445,3,99737099999,2020-03-21,29.68,-94.98,10.0,Harris_TX.csv,60.8,24,10.7,0.0,I
2020-03-29,Harris,Texas,526,4,99737099999,2020-03-22,29.68,-94.98,10.0,Harris_TX.csv,65.2,24,9.4,0.0,I
2020-03-30,Harris,Texas,563,7,99737099999,2020-03-23,29.68,-94.98,10.0,Harris_TX.csv,74.1,24,6.2,0.0,I
2020-03-31,Harris,Texas,680,6,99737099999,2020-03-24,29.68,-94.98,10.0,Harris_TX.csv,76.2,24,8.4,0.0,I
2020-04-01,Harris,Texas,847,6,99737099999,2020-03-25,29.68,-94.98,10.0,Harris_TX.csv,73.9,24,6.2,0.0,I
2020-04-02,Harris,Texas,895,10,99737099999,2020-03-26,29.68,-94.98,10.0,Harris_TX.csv,74.8,24,7.4,0.0,I
2020-04-03,Harris,Texas,1036,12,99737099999,2020-03-27,29.68,-94.98,10.0,Harris_TX.csv,76.9,24,10.6,0.0,I
2020-04-04,Harris,Texas,1284,17,99737099999,2020-03-28,29.68,-94.98,10.0,Harris_TX.csv,76.1,24,9.5,0.0,I
2020-04-05,Harris,Texas,1395,20,99737099999,2020-03-29,29.68,-94.98,10.0,Harris_TX.csv,68.8,24,7.7,0.0,I
2020-04-06,Harris,Texas,1809,22,99737099999,2020-03-30,29.68,-94.98,10.0,Harris_TX.csv,73.5,24,9.4,0.0,I
2020-04-07,Harris,Texas,2146,23,99737099999,2020-03-31,29.68,-94.98,10.0,Harris_TX.csv,72.6,24,10.8,0.0,I
2020-04-08,Harris,Texas,2341,31,99737099999,2020-04-01,29.68,-94.98,10.0,Harris_TX.csv,64.3,24,10.3,0.0,I
2020-04-09,Harris,Texas,3047,34,99737099999,2020-04-02,29.68,-94.98,10.0,Harris_TX.csv,69.2,21,12.2,0.0,I
2020-04-10,Harris,Texas,3261,40,99737099999,2020-04-03,29.68,-94.98,10.0,Harris_TX.csv,71.4,24,10.9,0.0,I
2020-04-11,Harris,Texas,3561,41,99737099999,2020-04-04,29.68,-94.98,10.0,Harris_TX.csv,65.7,24,9.5,0.0,I
2020-04-12,Harris,Texas,3629,44,99737099999,2020-04-05,29.68,-94.98,10.0,Harris_TX.csv,65.1,24,8.4,0.0,I
2020-04-13,Harris,Texas,3747,46,99737099999,2020-04-06,29.68,-94.98,10.0,Harris_TX.csv,69.7,23,7.2,0.0,I
2020-04-14,Harris,Texas,3907,52,99737099999,2020-04-07,29.68,-94.98,10.0,Harris_TX.csv,74.7,24,5.3,0.0,I
2020-04-15,Harris,Texas,4097,58,99737099999,2020-04-08,29.68,-94.98,10.0,Harris_TX.csv,76.6,23,4.7,0.0,I
2020-04-16,Harris,Texas,4306,63,99737099999,2020-04-09,29.68,-94.98,10.0,Harris_TX.csv,77.2,24,5.3,0.0,I
2020-04-17,Harris,Texas,4460,67,99737099999,2020-04-10,29.68,-94.98,10.0,Harris_TX.csv,69.5,24,10.0,0.0,I
2020-04-18,Harris,Texas,4653,71,99737099999,2020-04-11,29.68,-94.98,10.0,Harris_TX.csv,69.1,24,10.8,0.0,I
2020-04-19,Harris,Texas,4823,75,99737099999,2020-04-12,29.68,-94.98,10.0,Harris_TX.csv,78.3,24,14.3,0.0,I
2020-04-20,Harris,Texas,4977,78,99737099999,2020-04-13,29.68,-94.98,10.0,Harris_TX.csv,66.9,24,12.0,0.0,I
2020-04-21,Harris,Texas,5143,79,99737099999,2020-04-14,29.68,-94.98,10.0,Harris_TX.csv,57.6,24,10.8,0.0,I
2020-04-22,Harris,Texas,5211,80,99737099999,2020-04-15,29.68,-94.98,10.0,Harris_TX.csv,58.3,24,10.7,0.0,I
2020-04-23,Harris,Texas,5330,82,99737099999,2020-04-16,29.68,-94.98,10.0,Harris_TX.csv,63.0,24,10.2,0.0,I
2020-04-24,Harris,Texas,5482,84,99737099999,2020-04-17,29.68,-94.98,10.0,Harris_TX.csv,70.2,24,9.0,0.0,I
2020-04-25,Harris,Texas,5628,89,99737099999,2020-04-18,29.68,-94.98,10.0,Harris_TX.csv,68.8,24,7.0,0.0,I
2020-04-26,Harris,Texas,5729,93,99737099999,2020-04-19,29.68,-94.98,10.0,Harris_TX.csv,72.7,24,7.6,0.0,I
2020-04-27,Harris,Texas,5827,98,99737099999,2020-04-20,29.68,-94.98,10.0,Harris_TX.csv,71.5,24,5.3,0.0,I
2020-04-28,Harris,Texas,5986,103,99737099999,2020-04-21,29.68,-94.98,10.0,Harris_TX.csv,72.8,24,6.5,0.0,I
2020-04-29,Harris,Texas,6161,109,99737099999,2020-04-22,29.68,-94.98,10.0,Harris_TX.csv,74.5,24,11.7,0.0,I
2020-04-30,Harris,Texas,6356,114,99737099999,2020-04-23,29.68,-94.98,10.0,Harris_TX.csv,79.0,24,10.1,0.0,I
2020-05-01,Harris,Texas,6551,122,99737099999,2020-04-24,29.68,-94.98,10.0,Harris_TX.csv,75.5,23,7.5,0.0,I
2020-05-02,Harris,Texas,6708,129,99737099999,2020-04-25,29.68,-94.98,10.0,Harris_TX.csv,74.5,24,9.5,0.0,I
2020-05-03,Harris,Texas,6838,133,99737099999,2020-04-26,29.68,-94.98,10.0,Harris_TX.csv,71.1,24,7.4,0.0,I
2020-05-04,Harris,Texas,6967,140,99737099999,2020-04-27,29.68,-94.98,10.0,Harris_TX.csv,74.3,24,10.5,0.0,I
2020-05-05,Harris,Texas,7128,144,99737099999,2020-04-28,29.68,-94.98,10.0,Harris_TX.csv,75.7,24,10.7,0.0,I
2020-05-06,Harris,Texas,7244,150,99737099999,2020-04-29,29.68,-94.98,10.0,Harris_TX.csv,74.0,22,9.7,0.0,I
