Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-02-28,King,Washington,1,0,72793524234,2020-02-21,47.53028,-122.30083,6.1,King_WA.csv,43.3,24,2.3,0.0,G
2020-02-29,King,Washington,4,1,72793524234,2020-02-22,47.53028,-122.30083,6.1,King_WA.csv,45.4,24,4.3,0.0,G
2020-03-01,King,Washington,11,3,72793524234,2020-02-23,47.53028,-122.30083,6.1,King_WA.csv,45.0,24,6.8,0.0,G
2020-03-02,King,Washington,15,6,72793524234,2020-02-24,47.53028,-122.30083,6.1,King_WA.csv,44.1,24,7.4,0.13,G
2020-03-03,King,Washington,22,10,72793524234,2020-02-25,47.53028,-122.30083,6.1,King_WA.csv,43.1,24,1.7,0.0,G
2020-03-04,King,Washington,33,11,72793524234,2020-02-26,47.53028,-122.30083,6.1,King_WA.csv,48.0,24,1.8,0.0,G
2020-03-05,King,Washington,52,11,72793524234,2020-02-27,47.53028,-122.30083,6.1,King_WA.csv,47.1,24,3.9,0.0,G
2020-03-06,King,Washington,59,12,72793524234,2020-02-28,47.53028,-122.30083,6.1,King_WA.csv,44.4,24,4.1,0.0,G
2020-03-07,King,Washington,72,16,72793524234,2020-02-29,47.53028,-122.30083,6.1,King_WA.csv,44.9,24,9.1,0.07,G
2020-03-08,King,Washington,91,18,72793524234,2020-03-01,47.53028,-122.30083,6.1,King_WA.csv,39.2,24,3.9,0.09,G
2020-03-09,King,Washington,117,21,72793524234,2020-03-02,47.53028,-122.30083,6.1,King_WA.csv,44.2,24,7.6,0.0,G
2020-03-10,King,Washington,191,23,72793524234,2020-03-03,47.53028,-122.30083,6.1,King_WA.csv,49.0,24,8.5,0.0,G
2020-03-11,King,Washington,235,27,72793524234,2020-03-04,47.53028,-122.30083,6.1,King_WA.csv,46.4,24,7.3,0.0,G
2020-03-12,King,Washington,271,28,72793524234,2020-03-05,47.53028,-122.30083,6.1,King_WA.csv,45.8,24,5.1,0.0,G
2020-03-13,King,Washington,329,33,72793524234,2020-03-06,47.53028,-122.30083,6.1,King_WA.csv,43.6,24,3.9,0.18,G
2020-03-14,King,Washington,389,36,72793524234,2020-03-07,47.53028,-122.30083,6.1,King_WA.csv,41.8,24,4.2,0.11,G
2020-03-15,King,Washington,421,38,72793524234,2020-03-08,47.53028,-122.30083,6.1,King_WA.csv,40.9,24,3.4,0.01,G
2020-03-16,King,Washington,489,44,72793524234,2020-03-09,47.53028,-122.30083,6.1,King_WA.csv,39.3,24,2.0,0.0,G
2020-03-17,King,Washington,518,47,72793524234,2020-03-10,47.53028,-122.30083,6.1,King_WA.csv,42.5,24,6.0,0.0,G
2020-03-18,King,Washington,563,57,72793524234,2020-03-11,47.53028,-122.30083,6.1,King_WA.csv,47.3,24,6.2,0.0,G
2020-03-19,King,Washington,693,61,72793524234,2020-03-12,47.53028,-122.30083,6.1,King_WA.csv,44.0,24,2.4,0.01,G
2020-03-20,King,Washington,794,68,72793524234,2020-03-13,47.53028,-122.30083,6.1,King_WA.csv,41.3,24,3.3,0.0,G
2020-03-21,King,Washington,935,76,72793524234,2020-03-14,47.53028,-122.30083,6.1,King_WA.csv,38.8,24,7.3,0.05,G
2020-03-22,King,Washington,1036,77,72793524234,2020-03-15,47.53028,-122.30083,6.1,King_WA.csv,38.2,24,6.4,0.0,G
2020-03-23,King,Washington,1166,88,72793524234,2020-03-16,47.53028,-122.30083,6.1,King_WA.csv,43.2,24,4.0,0.0,G
2020-03-24,King,Washington,1278,95,72793524234,2020-03-17,47.53028,-122.30083,6.1,King_WA.csv,42.5,24,3.0,0.0,G
2020-03-25,King,Washington,1360,101,72793524234,2020-03-18,47.53028,-122.30083,6.1,King_WA.csv,43.9,24,3.4,0.0,G
2020-03-26,King,Washington,1579,111,72793524234,2020-03-19,47.53028,-122.30083,6.1,King_WA.csv,46.3,24,1.6,0.0,G
2020-03-27,King,Washington,1830,127,72793524234,2020-03-20,47.53028,-122.30083,6.1,King_WA.csv,49.5,24,2.3,0.0,G
2020-03-28,King,Washington,2079,138,72793524234,2020-03-21,47.53028,-122.30083,6.1,King_WA.csv,48.4,24,3.1,0.0,G
2020-03-29,King,Washington,2163,146,72793524234,2020-03-22,47.53028,-122.30083,6.1,King_WA.csv,46.5,24,4.3,0.0,G
2020-03-30,King,Washington,2332,152,72793524234,2020-03-23,47.53028,-122.30083,6.1,King_WA.csv,46.6,24,8.9,0.0,G
2020-03-31,King,Washington,2332,152,72793524234,2020-03-24,47.53028,-122.30083,6.1,King_WA.csv,44.4,24,6.6,0.03,G
2020-04-01,King,Washington,2498,166,72793524234,2020-03-25,47.53028,-122.30083,6.1,King_WA.csv,43.0,24,4.1,0.01,G
2020-04-02,King,Washington,2658,177,72793524234,2020-03-26,47.53028,-122.30083,6.1,King_WA.csv,43.5,24,6.5,0.07,G
2020-04-03,King,Washington,2789,188,72793524234,2020-03-27,47.53028,-122.30083,6.1,King_WA.csv,45.9,24,7.1,0.0,G
2020-04-04,King,Washington,2900,204,72793524234,2020-03-28,47.53028,-122.30083,6.1,King_WA.csv,49.6,24,8.4,0.0,G
2020-04-05,King,Washington,3169,210,72793524234,2020-03-29,47.53028,-122.30083,6.1,King_WA.csv,50.0,24,8.2,0.34,G
2020-04-06,King,Washington,3333,224,72793524234,2020-03-30,47.53028,-122.30083,6.1,King_WA.csv,47.1,24,9.3,0.21,G
2020-04-07,King,Washington,3488,232,72793524234,2020-03-31,47.53028,-122.30083,6.1,King_WA.csv,43.4,24,6.9,0.19,G
2020-04-08,King,Washington,3690,246,72793524234,2020-04-01,47.53028,-122.30083,6.1,King_WA.csv,43.6,24,5.2,0.02,G
2020-04-09,King,Washington,3888,260,72793524234,2020-04-02,47.53028,-122.30083,6.1,King_WA.csv,43.7,24,5.4,0.0,G
2020-04-10,King,Washington,4119,279,72793524234,2020-04-03,47.53028,-122.30083,6.1,King_WA.csv,43.9,24,9.0,0.0,G
2020-04-11,King,Washington,4264,286,72793524234,2020-04-04,47.53028,-122.30083,6.1,King_WA.csv,42.4,24,3.7,0.0,G
2020-04-12,King,Washington,4428,294,72793524234,2020-04-05,47.53028,-122.30083,6.1,King_WA.csv,48.8,24,4.2,0.0,G
2020-04-13,King,Washington,4551,298,72793524234,2020-04-06,47.53028,-122.30083,6.1,King_WA.csv,48.9,24,2.2,0.0,G
2020-04-14,King,Washington,4622,305,72793524234,2020-04-07,47.53028,-122.30083,6.1,King_WA.csv,49.1,24,3.7,0.0,G
2020-04-15,King,Washington,4699,314,72793524234,2020-04-08,47.53028,-122.30083,6.1,King_WA.csv,50.2,24,3.6,0.0,G
2020-04-16,King,Washington,4811,322,72793524234,2020-04-09,47.53028,-122.30083,6.1,King_WA.csv,53.5,24,3.6,0.0,G
2020-04-17,King,Washington,4904,333,72793524234,2020-04-10,47.53028,-122.30083,6.1,King_WA.csv,55.5,24,2.7,0.0,G
2020-04-18,King,Washington,5065,342,72793524234,2020-04-11,47.53028,-122.30083,6.1,King_WA.csv,51.9,24,5.4,0.0,G
2020-04-19,King,Washington,5174,348,72793524234,2020-04-12,47.53028,-122.30083,6.1,King_WA.csv,49.1,24,4.0,0.0,G
2020-04-20,King,Washington,5295,362,72793524234,2020-04-13,47.53028,-122.30083,6.1,King_WA.csv,49.7,24,3.6,0.0,G
2020-04-21,King,Washington,5381,374,72793524234,2020-04-14,47.53028,-122.30083,6.1,King_WA.csv,54.0,24,4.0,0.0,G
2020-04-22,King,Washington,5451,381,72793524234,2020-04-15,47.53028,-122.30083,6.1,King_WA.csv,54.8,24,5.8,0.0,G
2020-04-23,King,Washington,5571,386,72793524234,2020-04-16,47.53028,-122.30083,6.1,King_WA.csv,56.5,24,3.3,0.0,G
2020-04-24,King,Washington,5691,393,72793524234,2020-04-17,47.53028,-122.30083,6.1,King_WA.csv,56.9,23,2.4,0.0,G
