Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-13,Macomb,Michigan,1,0,99799699999,2020-03-06,42.4666666,-82.8666666,180.0,Macomb_MI.csv,34.7,24,9.0,0.0,I
2020-03-14,Macomb,Michigan,2,0,99799699999,2020-03-07,42.4666666,-82.8666666,180.0,Macomb_MI.csv,32.0,24,7.9,0.0,I
2020-03-15,Macomb,Michigan,5,0,99799699999,2020-03-08,42.4666666,-82.8666666,180.0,Macomb_MI.csv,43.3,24,8.1,0.0,I
2020-03-16,Macomb,Michigan,6,0,99799699999,2020-03-09,42.4666666,-82.8666666,180.0,Macomb_MI.csv,54.1,24,10.1,0.0,I
2020-03-17,Macomb,Michigan,8,0,99799699999,2020-03-10,42.4666666,-82.8666666,180.0,Macomb_MI.csv,48.4,24,9.7,0.0,I
2020-03-18,Macomb,Michigan,10,0,99799699999,2020-03-11,42.4666666,-82.8666666,180.0,Macomb_MI.csv,36.1,19,6.2,0.0,I
2020-03-19,Macomb,Michigan,55,0,99799699999,2020-03-12,42.4666666,-82.8666666,180.0,Macomb_MI.csv,39.9,24,5.2,0.0,I
2020-03-20,Macomb,Michigan,86,0,99799699999,2020-03-13,42.4666666,-82.8666666,180.0,Macomb_MI.csv,42.7,18,12.3,0.0,I
2020-03-21,Macomb,Michigan,101,0,99799699999,2020-03-14,42.4666666,-82.8666666,180.0,Macomb_MI.csv,35.0,16,7.1,0.0,I
2020-03-22,Macomb,Michigan,140,1,99799699999,2020-03-15,42.4666666,-82.8666666,180.0,Macomb_MI.csv,33.7,24,10.8,0.0,I
2020-03-23,Macomb,Michigan,175,2,99799699999,2020-03-16,42.4666666,-82.8666666,180.0,Macomb_MI.csv,33.7,24,7.0,0.0,I
2020-03-24,Macomb,Michigan,225,3,99799699999,2020-03-17,42.4666666,-82.8666666,180.0,Macomb_MI.csv,41.8,24,7.3,0.0,I
2020-03-25,Macomb,Michigan,281,7,99799699999,2020-03-18,42.4666666,-82.8666666,180.0,Macomb_MI.csv,38.3,24,5.9,0.0,I
2020-03-26,Macomb,Michigan,347,11,99799699999,2020-03-19,42.4666666,-82.8666666,180.0,Macomb_MI.csv,39.4,24,5.6,0.0,I
2020-03-27,Macomb,Michigan,404,14,99799699999,2020-03-20,42.4666666,-82.8666666,180.0,Macomb_MI.csv,51.7,24,11.9,0.0,I
2020-03-28,Macomb,Michigan,534,17,99799699999,2020-03-21,42.4666666,-82.8666666,180.0,Macomb_MI.csv,29.2,24,12.8,0.0,I
2020-03-29,Macomb,Michigan,620,20,99799699999,2020-03-22,42.4666666,-82.8666666,180.0,Macomb_MI.csv,29.1,24,9.8,0.0,I
2020-03-30,Macomb,Michigan,728,27,99799699999,2020-03-23,42.4666666,-82.8666666,180.0,Macomb_MI.csv,35.3,24,8.8,0.0,I
2020-03-31,Macomb,Michigan,853,38,99799699999,2020-03-24,42.4666666,-82.8666666,180.0,Macomb_MI.csv,38.0,24,3.2,0.0,I
2020-04-01,Macomb,Michigan,1088,51,99799699999,2020-03-25,42.4666666,-82.8666666,180.0,Macomb_MI.csv,37.5,24,6.8,0.0,I
2020-04-02,Macomb,Michigan,1332,58,99799699999,2020-03-26,42.4666666,-82.8666666,180.0,Macomb_MI.csv,49.1,21,6.2,0.0,I
2020-04-03,Macomb,Michigan,1560,65,99799699999,2020-03-27,42.4666666,-82.8666666,180.0,Macomb_MI.csv,37.5,24,7.7,0.0,I
2020-04-04,Macomb,Michigan,1838,78,99799699999,2020-03-28,42.4666666,-82.8666666,180.0,Macomb_MI.csv,41.9,24,5.9,0.0,I
2020-04-05,Macomb,Michigan,2003,83,99799699999,2020-03-29,42.4666666,-82.8666666,180.0,Macomb_MI.csv,49.7,24,11.9,0.0,I
2020-04-06,Macomb,Michigan,2159,100,99799699999,2020-03-30,42.4666666,-82.8666666,180.0,Macomb_MI.csv,45.6,24,13.2,0.0,I
2020-04-07,Macomb,Michigan,2414,121,99799699999,2020-03-31,42.4666666,-82.8666666,180.0,Macomb_MI.csv,40.5,24,6.4,0.0,I
2020-04-08,Macomb,Michigan,2626,141,99799699999,2020-04-01,42.4666666,-82.8666666,180.0,Macomb_MI.csv,43.0,24,8.0,0.0,I
2020-04-09,Macomb,Michigan,2783,165,99799699999,2020-04-02,42.4666666,-82.8666666,180.0,Macomb_MI.csv,45.0,20,5.5,0.0,I
2020-04-10,Macomb,Michigan,2973,197,99799699999,2020-04-03,42.4666666,-82.8666666,180.0,Macomb_MI.csv,44.0,24,4.6,0.0,I
2020-04-11,Macomb,Michigan,3164,209,99799699999,2020-04-04,42.4666666,-82.8666666,180.0,Macomb_MI.csv,43.2,24,4.1,0.0,I
2020-04-12,Macomb,Michigan,3254,217,99799699999,2020-04-05,42.4666666,-82.8666666,180.0,Macomb_MI.csv,42.8,24,8.4,0.0,I
2020-04-13,Macomb,Michigan,3418,240,99799699999,2020-04-06,42.4666666,-82.8666666,180.0,Macomb_MI.csv,40.0,21,2.6,0.0,I
2020-04-14,Macomb,Michigan,3620,293,99799699999,2020-04-07,42.4666666,-82.8666666,180.0,Macomb_MI.csv,45.9,24,3.9,0.0,I
2020-04-15,Macomb,Michigan,3792,330,99799699999,2020-04-08,42.4666666,-82.8666666,180.0,Macomb_MI.csv,51.3,21,5.3,0.0,I
2020-04-16,Macomb,Michigan,3992,354,99799699999,2020-04-09,42.4666666,-82.8666666,180.0,Macomb_MI.csv,45.4,24,10.4,0.0,I
2020-04-17,Macomb,Michigan,4145,373,99799699999,2020-04-10,42.4666666,-82.8666666,180.0,Macomb_MI.csv,38.0,24,11.9,0.0,I
2020-04-18,Macomb,Michigan,4251,384,99799699999,2020-04-11,42.4666666,-82.8666666,180.0,Macomb_MI.csv,43.0,24,7.2,0.0,I
2020-04-19,Macomb,Michigan,4360,391,99799699999,2020-04-12,42.4666666,-82.8666666,180.0,Macomb_MI.csv,48.3,24,5.6,0.0,I
2020-04-20,Macomb,Michigan,4425,403,99799699999,2020-04-13,42.4666666,-82.8666666,180.0,Macomb_MI.csv,47.4,24,11.5,0.0,I
2020-04-21,Macomb,Michigan,4544,445,99799699999,2020-04-14,42.4666666,-82.8666666,180.0,Macomb_MI.csv,37.5,24,10.3,0.0,I
2020-04-22,Macomb,Michigan,4628,473,99799699999,2020-04-15,42.4666666,-82.8666666,180.0,Macomb_MI.csv,32.6,24,5.3,0.0,I
2020-04-23,Macomb,Michigan,4862,493,99799699999,2020-04-16,42.4666666,-82.8666666,180.0,Macomb_MI.csv,33.5,24,8.3,0.0,I
2020-04-24,Macomb,Michigan,5022,504,99799699999,2020-04-17,42.4666666,-82.8666666,180.0,Macomb_MI.csv,35.1,24,5.6,0.0,I
2020-04-25,Macomb,Michigan,5139,517,99799699999,2020-04-18,42.4666666,-82.8666666,180.0,Macomb_MI.csv,39.6,24,7.1,0.0,I
2020-04-26,Macomb,Michigan,5203,520,99799699999,2020-04-19,42.4666666,-82.8666666,180.0,Macomb_MI.csv,49.0,22,11.3,0.0,I
