Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-14,Mercer,New Jersey,1,0,72409514792,2020-03-07,40.27679,-74.81594,57.9,Mercer_NJ.csv,39.2,24,9.8,0.17,G
2020-03-15,Mercer,New Jersey,1,0,72409514792,2020-03-08,40.27679,-74.81594,57.9,Mercer_NJ.csv,41.2,24,5.2,0.01,G
2020-03-16,Mercer,New Jersey,6,0,72409514792,2020-03-09,40.27679,-74.81594,57.9,Mercer_NJ.csv,52.3,24,5.9,0.0,G
2020-03-17,Mercer,New Jersey,9,0,72409514792,2020-03-10,40.27679,-74.81594,57.9,Mercer_NJ.csv,56.4,24,8.4,0.0,G
2020-03-18,Mercer,New Jersey,15,0,72409514792,2020-03-11,40.27679,-74.81594,57.9,Mercer_NJ.csv,51.9,24,5.8,0.0,G
2020-03-19,Mercer,New Jersey,20,0,72409514792,2020-03-12,40.27679,-74.81594,57.9,Mercer_NJ.csv,44.0,24,4.3,0.0,G
2020-03-20,Mercer,New Jersey,22,0,72409514792,2020-03-13,40.27679,-74.81594,57.9,Mercer_NJ.csv,55.4,24,8.6,0.31,G
2020-03-21,Mercer,New Jersey,30,0,72409514792,2020-03-14,40.27679,-74.81594,57.9,Mercer_NJ.csv,50.1,24,8.2,0.04,G
2020-03-22,Mercer,New Jersey,40,0,72409514792,2020-03-15,40.27679,-74.81594,57.9,Mercer_NJ.csv,46.0,24,5.8,0.0,G
2020-03-23,Mercer,New Jersey,50,0,72409514792,2020-03-16,40.27679,-74.81594,57.9,Mercer_NJ.csv,39.6,24,8.2,0.0,G
2020-03-24,Mercer,New Jersey,58,0,72409514792,2020-03-17,40.27679,-74.81594,57.9,Mercer_NJ.csv,43.5,24,4.3,0.1,G
2020-03-25,Mercer,New Jersey,82,0,72409514792,2020-03-18,40.27679,-74.81594,57.9,Mercer_NJ.csv,46.7,24,4.7,0.06,G
2020-03-26,Mercer,New Jersey,111,0,72409514792,2020-03-19,40.27679,-74.81594,57.9,Mercer_NJ.csv,45.4,24,6.3,0.88,G
2020-03-27,Mercer,New Jersey,131,0,72409514792,2020-03-20,40.27679,-74.81594,57.9,Mercer_NJ.csv,57.0,24,5.8,0.01,G
2020-03-28,Mercer,New Jersey,168,0,72409514792,2020-03-21,40.27679,-74.81594,57.9,Mercer_NJ.csv,52.7,24,9.2,0.0,I
2020-03-29,Mercer,New Jersey,202,0,72409514792,2020-03-22,40.27679,-74.81594,57.9,Mercer_NJ.csv,38.9,24,8.7,0.0,G
2020-03-30,Mercer,New Jersey,249,0,72409514792,2020-03-23,40.27679,-74.81594,57.9,Mercer_NJ.csv,38.2,24,9.7,0.04,G
2020-03-31,Mercer,New Jersey,268,1,72409514792,2020-03-24,40.27679,-74.81594,57.9,Mercer_NJ.csv,43.7,24,4.6,0.83,G
2020-04-01,Mercer,New Jersey,333,3,72409514792,2020-03-25,40.27679,-74.81594,57.9,Mercer_NJ.csv,43.0,24,9.1,0.0,G
2020-04-02,Mercer,New Jersey,386,4,72409514792,2020-03-26,40.27679,-74.81594,57.9,Mercer_NJ.csv,44.5,24,4.7,0.01,G
2020-04-03,Mercer,New Jersey,484,5,72409514792,2020-03-27,40.27679,-74.81594,57.9,Mercer_NJ.csv,55.8,24,5.8,0.0,G
2020-04-04,Mercer,New Jersey,586,13,72409514792,2020-03-28,40.27679,-74.81594,57.9,Mercer_NJ.csv,48.3,24,6.4,0.0,G
2020-04-05,Mercer,New Jersey,654,16,72409514792,2020-03-29,40.27679,-74.81594,57.9,Mercer_NJ.csv,47.1,24,7.5,0.7,G
2020-04-06,Mercer,New Jersey,740,19,72409514792,2020-03-30,40.27679,-74.81594,57.9,Mercer_NJ.csv,48.3,24,4.2,0.08,G
2020-04-07,Mercer,New Jersey,837,24,72409514792,2020-03-31,40.27679,-74.81594,57.9,Mercer_NJ.csv,44.0,24,5.3,0.02,G
2020-04-08,Mercer,New Jersey,992,28,72409514792,2020-04-01,40.27679,-74.81594,57.9,Mercer_NJ.csv,44.5,24,7.4,0.01,G
2020-04-09,Mercer,New Jersey,1161,36,72409514792,2020-04-02,40.27679,-74.81594,57.9,Mercer_NJ.csv,46.6,24,12.9,0.0,G
2020-04-10,Mercer,New Jersey,1282,39,72409514792,2020-04-03,40.27679,-74.81594,57.9,Mercer_NJ.csv,50.2,24,12.7,0.0,G
2020-04-11,Mercer,New Jersey,1434,49,72409514792,2020-04-04,40.27679,-74.81594,57.9,Mercer_NJ.csv,51.0,24,5.7,0.0,G
2020-04-12,Mercer,New Jersey,1567,50,72409514792,2020-04-05,40.27679,-74.81594,57.9,Mercer_NJ.csv,52.7,24,3.7,0.0,G
2020-04-13,Mercer,New Jersey,1646,53,72409514792,2020-04-06,40.27679,-74.81594,57.9,Mercer_NJ.csv,56.4,24,6.2,0.1,G
2020-04-14,Mercer,New Jersey,1731,71,72409514792,2020-04-07,40.27679,-74.81594,57.9,Mercer_NJ.csv,54.0,24,3.7,0.06,G
2020-04-15,Mercer,New Jersey,1856,76,72409514792,2020-04-08,40.27679,-74.81594,57.9,Mercer_NJ.csv,59.1,24,5.5,0.33,G
2020-04-16,Mercer,New Jersey,2037,87,72409514792,2020-04-09,40.27679,-74.81594,57.9,Mercer_NJ.csv,51.2,24,7.6,0.01,G
2020-04-17,Mercer,New Jersey,2123,101,72409514792,2020-04-10,40.27679,-74.81594,57.9,Mercer_NJ.csv,43.9,24,13.6,0.16,G
2020-04-18,Mercer,New Jersey,2215,110,72409514792,2020-04-11,40.27679,-74.81594,57.9,Mercer_NJ.csv,44.5,24,10.7,0.0,G
2020-04-19,Mercer,New Jersey,2395,113,72409514792,2020-04-12,40.27679,-74.81594,57.9,Mercer_NJ.csv,50.6,24,5.2,0.0,G
2020-04-20,Mercer,New Jersey,2591,122,72409514792,2020-04-13,40.27679,-74.81594,57.9,Mercer_NJ.csv,61.0,24,13.9,0.96,G
2020-04-21,Mercer,New Jersey,2753,133,72409514792,2020-04-14,40.27679,-74.81594,57.9,Mercer_NJ.csv,51.9,24,8.0,0.67,G
