Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-11,Miami-Dade,Florida,1,0,99735599999,2020-03-04,25.73,-80.15,10.0,Miami-Dade_FL.csv,75.6,24,7.6,0.0,I
2020-03-12,Miami-Dade,Florida,2,0,99735599999,2020-03-05,25.73,-80.15,10.0,Miami-Dade_FL.csv,77.8,24,8.3,0.0,I
2020-03-13,Miami-Dade,Florida,8,0,99735599999,2020-03-06,25.73,-80.15,10.0,Miami-Dade_FL.csv,77.1,24,6.8,0.0,I
2020-03-14,Miami-Dade,Florida,8,0,99735599999,2020-03-07,25.73,-80.15,10.0,Miami-Dade_FL.csv,68.6,24,7.7,0.0,I
2020-03-15,Miami-Dade,Florida,13,0,99735599999,2020-03-08,25.73,-80.15,10.0,Miami-Dade_FL.csv,69.0,23,15.9,0.0,I
2020-03-16,Miami-Dade,Florida,23,0,99735599999,2020-03-09,25.73,-80.15,10.0,Miami-Dade_FL.csv,71.6,24,18.2,0.0,I
2020-03-17,Miami-Dade,Florida,43,0,99735599999,2020-03-10,25.73,-80.15,10.0,Miami-Dade_FL.csv,73.2,23,14.0,0.0,I
2020-03-18,Miami-Dade,Florida,77,0,99735599999,2020-03-11,25.73,-80.15,10.0,Miami-Dade_FL.csv,73.7,19,10.2,0.0,I
2020-03-19,Miami-Dade,Florida,101,0,99735599999,2020-03-12,25.73,-80.15,10.0,Miami-Dade_FL.csv,74.0,23,6.6,0.0,I
2020-03-20,Miami-Dade,Florida,124,0,99735599999,2020-03-13,25.73,-80.15,10.0,Miami-Dade_FL.csv,75.4,18,8.0,0.0,I
2020-03-21,Miami-Dade,Florida,170,0,99735599999,2020-03-14,25.73,-80.15,10.0,Miami-Dade_FL.csv,76.6,13,8.7,0.0,I
2020-03-22,Miami-Dade,Florida,228,0,99735599999,2020-03-15,25.73,-80.15,10.0,Miami-Dade_FL.csv,76.4,24,7.8,0.0,I
2020-03-23,Miami-Dade,Florida,277,0,99735599999,2020-03-16,25.73,-80.15,10.0,Miami-Dade_FL.csv,76.1,24,8.4,0.0,I
2020-03-24,Miami-Dade,Florida,365,0,99735599999,2020-03-17,25.73,-80.15,10.0,Miami-Dade_FL.csv,76.3,24,9.1,0.0,I
2020-03-25,Miami-Dade,Florida,489,0,99735599999,2020-03-18,25.73,-80.15,10.0,Miami-Dade_FL.csv,75.8,24,9.7,0.0,I
2020-03-26,Miami-Dade,Florida,653,0,99735599999,2020-03-19,25.73,-80.15,10.0,Miami-Dade_FL.csv,76.5,24,11.8,0.0,I
2020-03-27,Miami-Dade,Florida,869,2,99735599999,2020-03-20,25.73,-80.15,10.0,Miami-Dade_FL.csv,76.5,24,11.7,0.0,I
2020-03-28,Miami-Dade,Florida,1121,3,99735599999,2020-03-21,25.73,-80.15,10.0,Miami-Dade_FL.csv,76.7,24,8.9,0.0,I
2020-03-29,Miami-Dade,Florida,1471,3,99735599999,2020-03-22,25.73,-80.15,10.0,Miami-Dade_FL.csv,76.6,24,8.2,0.0,I
2020-03-30,Miami-Dade,Florida,1700,4,99735599999,2020-03-23,25.73,-80.15,10.0,Miami-Dade_FL.csv,76.8,24,7.9,0.0,I
2020-03-31,Miami-Dade,Florida,2123,7,99735599999,2020-03-24,25.73,-80.15,10.0,Miami-Dade_FL.csv,77.0,24,7.2,0.0,I
2020-04-01,Miami-Dade,Florida,2415,11,99735599999,2020-03-25,25.73,-80.15,10.0,Miami-Dade_FL.csv,77.8,24,7.8,0.0,I
2020-04-02,Miami-Dade,Florida,2885,20,99735599999,2020-03-26,25.73,-80.15,10.0,Miami-Dade_FL.csv,76.4,24,5.7,0.0,I
2020-04-03,Miami-Dade,Florida,3363,25,99735599999,2020-03-27,25.73,-80.15,10.0,Miami-Dade_FL.csv,77.4,24,3.4,0.0,I
2020-04-04,Miami-Dade,Florida,3889,31,99735599999,2020-03-28,25.73,-80.15,10.0,Miami-Dade_FL.csv,76.6,24,8.4,0.0,I
2020-04-05,Miami-Dade,Florida,4145,31,99735599999,2020-03-29,25.73,-80.15,10.0,Miami-Dade_FL.csv,77.8,24,8.1,0.0,I
2020-04-06,Miami-Dade,Florida,4670,41,99735599999,2020-03-30,25.73,-80.15,10.0,Miami-Dade_FL.csv,78.3,24,7.5,0.0,I
2020-04-07,Miami-Dade,Florida,5125,47,99735599999,2020-03-31,25.73,-80.15,10.0,Miami-Dade_FL.csv,78.6,24,8.5,0.0,I
2020-04-08,Miami-Dade,Florida,5460,50,99735599999,2020-04-01,25.73,-80.15,10.0,Miami-Dade_FL.csv,78.9,24,9.6,0.0,I
2020-04-09,Miami-Dade,Florida,5897,66,99735599999,2020-04-02,25.73,-80.15,10.0,Miami-Dade_FL.csv,73.2,21,4.9,0.0,I
2020-04-10,Miami-Dade,Florida,6299,84,99735599999,2020-04-03,25.73,-80.15,10.0,Miami-Dade_FL.csv,74.9,24,5.4,0.0,I
2020-04-11,Miami-Dade,Florida,6757,93,99735599999,2020-04-04,25.73,-80.15,10.0,Miami-Dade_FL.csv,75.9,24,5.2,0.0,I
2020-04-12,Miami-Dade,Florida,7057,97,99735599999,2020-04-05,25.73,-80.15,10.0,Miami-Dade_FL.csv,77.3,24,6.2,0.0,I
2020-04-13,Miami-Dade,Florida,7458,109,99735599999,2020-04-06,25.73,-80.15,10.0,Miami-Dade_FL.csv,77.2,23,6.0,0.0,I
2020-04-14,Miami-Dade,Florida,7711,143,99735599999,2020-04-07,25.73,-80.15,10.0,Miami-Dade_FL.csv,78.0,24,10.4,0.0,I
2020-04-15,Miami-Dade,Florida,8066,155,99735599999,2020-04-08,25.73,-80.15,10.0,Miami-Dade_FL.csv,79.4,23,6.6,0.0,I
2020-04-16,Miami-Dade,Florida,8325,183,99735599999,2020-04-09,25.73,-80.15,10.0,Miami-Dade_FL.csv,80.2,24,8.7,0.0,I
2020-04-17,Miami-Dade,Florida,8823,195,99735599999,2020-04-10,25.73,-80.15,10.0,Miami-Dade_FL.csv,82.2,24,8.4,0.0,I
2020-04-18,Miami-Dade,Florida,9044,198,99735599999,2020-04-11,25.73,-80.15,10.0,Miami-Dade_FL.csv,79.5,24,8.4,0.0,I
2020-04-19,Miami-Dade,Florida,9353,207,99735599999,2020-04-12,25.73,-80.15,10.0,Miami-Dade_FL.csv,80.2,24,11.1,0.0,I
2020-04-20,Miami-Dade,Florida,9656,223,99735599999,2020-04-13,25.73,-80.15,10.0,Miami-Dade_FL.csv,81.5,24,12.7,0.0,I
2020-04-21,Miami-Dade,Florida,10055,233,99735599999,2020-04-14,25.73,-80.15,10.0,Miami-Dade_FL.csv,81.6,24,9.5,0.0,I
2020-04-22,Miami-Dade,Florida,10152,240,99735599999,2020-04-15,25.73,-80.15,10.0,Miami-Dade_FL.csv,81.9,24,11.3,0.0,I
2020-04-23,Miami-Dade,Florida,10587,270,99735599999,2020-04-16,25.73,-80.15,10.0,Miami-Dade_FL.csv,82.0,24,6.3,0.0,I
2020-04-24,Miami-Dade,Florida,10925,287,99735599999,2020-04-17,25.73,-80.15,10.0,Miami-Dade_FL.csv,80.1,24,9.7,0.0,I
2020-04-25,Miami-Dade,Florida,11004,295,99735599999,2020-04-18,25.73,-80.15,10.0,Miami-Dade_FL.csv,81.2,24,7.2,0.0,I
2020-04-26,Miami-Dade,Florida,11350,301,99735599999,2020-04-19,25.73,-80.15,10.0,Miami-Dade_FL.csv,80.8,24,6.7,0.0,I
2020-04-27,Miami-Dade,Florida,11569,302,99735599999,2020-04-20,25.73,-80.15,10.0,Miami-Dade_FL.csv,84.1,24,15.4,0.0,I
2020-04-28,Miami-Dade,Florida,11830,324,99735599999,2020-04-21,25.73,-80.15,10.0,Miami-Dade_FL.csv,83.4,24,8.7,0.0,I
2020-04-29,Miami-Dade,Florida,11926,338,99735599999,2020-04-22,25.73,-80.15,10.0,Miami-Dade_FL.csv,78.6,24,6.0,0.0,I
2020-04-30,Miami-Dade,Florida,12063,352,99735599999,2020-04-23,25.73,-80.15,10.0,Miami-Dade_FL.csv,81.1,24,11.2,0.0,I
2020-05-01,Miami-Dade,Florida,12388,358,99735599999,2020-04-24,25.73,-80.15,10.0,Miami-Dade_FL.csv,82.8,23,13.2,0.0,I
2020-05-02,Miami-Dade,Florida,12631,367,99735599999,2020-04-25,25.73,-80.15,10.0,Miami-Dade_FL.csv,81.1,24,10.4,0.0,I
2020-05-03,Miami-Dade,Florida,12774,369,99735599999,2020-04-26,25.73,-80.15,10.0,Miami-Dade_FL.csv,80.0,24,7.4,0.0,I
2020-05-04,Miami-Dade,Florida,13091,378,99735599999,2020-04-27,25.73,-80.15,10.0,Miami-Dade_FL.csv,76.7,24,5.9,0.0,I
2020-05-05,Miami-Dade,Florida,13223,407,99735599999,2020-04-28,25.73,-80.15,10.0,Miami-Dade_FL.csv,76.0,24,8.5,0.0,I
2020-05-06,Miami-Dade,Florida,13370,432,99735599999,2020-04-29,25.73,-80.15,10.0,Miami-Dade_FL.csv,78.8,24,10.8,0.0,I
2020-05-07,Miami-Dade,Florida,13584,454,99735599999,2020-04-30,25.73,-80.15,10.0,Miami-Dade_FL.csv,78.9,24,9.3,0.0,I
2020-05-08,Miami-Dade,Florida,13663,468,99735599999,2020-05-01,25.73,-80.15,10.0,Miami-Dade_FL.csv,73.9,24,6.7,0.0,I
2020-05-09,Miami-Dade,Florida,13840,482,99735599999,2020-05-02,25.73,-80.15,10.0,Miami-Dade_FL.csv,76.0,24,5.7,0.0,I
2020-05-10,Miami-Dade,Florida,14006,487,99735599999,2020-05-03,25.73,-80.15,10.0,Miami-Dade_FL.csv,77.3,24,6.5,0.0,I
2020-05-11,Miami-Dade,Florida,14166,490,99735599999,2020-05-04,25.73,-80.15,10.0,Miami-Dade_FL.csv,78.0,24,4.9,0.0,I
2020-05-12,Miami-Dade,Florida,14384,505,99735599999,2020-05-05,25.73,-80.15,10.0,Miami-Dade_FL.csv,78.9,24,5.0,0.0,I
2020-05-13,Miami-Dade,Florida,14467,518,99735599999,2020-05-06,25.73,-80.15,10.0,Miami-Dade_FL.csv,80.3,24,7.0,0.0,I
2020-05-14,Miami-Dade,Florida,14741,535,99735599999,2020-05-07,25.73,-80.15,10.0,Miami-Dade_FL.csv,77.4,24,7.8,0.0,I
2020-05-15,Miami-Dade,Florida,15010,548,99735599999,2020-05-08,25.73,-80.15,10.0,Miami-Dade_FL.csv,75.7,24,8.1,0.0,I
2020-05-16,Miami-Dade,Florida,15365,559,99735599999,2020-05-09,25.73,-80.15,10.0,Miami-Dade_FL.csv,77.8,24,5.9,0.0,I
2020-05-17,Miami-Dade,Florida,15657,561,99735599999,2020-05-10,25.73,-80.15,10.0,Miami-Dade_FL.csv,77.2,24,8.5,0.0,I
2020-05-18,Miami-Dade,Florida,15863,566,99735599999,2020-05-11,25.73,-80.15,10.0,Miami-Dade_FL.csv,75.4,24,6.2,0.0,I
2020-05-19,Miami-Dade,Florida,15941,578,99735599999,2020-05-12,25.73,-80.15,10.0,Miami-Dade_FL.csv,78.2,24,11.5,0.0,I
2020-05-20,Miami-Dade,Florida,16033,578,99735599999,2020-05-13,25.73,-80.15,10.0,Miami-Dade_FL.csv,77.8,22,14.5,0.0,I
