Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-10,Minnehaha,South Dakota,1,0,99999904990,2020-03-03,43.7346,-96.6222,485.9,Minnehaha_SD.csv,36.9,24,999.9,0.0,G
2020-03-11,Minnehaha,South Dakota,3,0,99999904990,2020-03-04,43.7346,-96.6222,485.9,Minnehaha_SD.csv,36.9,24,999.9,0.02,G
2020-03-12,Minnehaha,South Dakota,3,0,99999904990,2020-03-05,43.7346,-96.6222,485.9,Minnehaha_SD.csv,39.2,24,999.9,0.0,G
2020-03-13,Minnehaha,South Dakota,3,0,99999904990,2020-03-06,43.7346,-96.6222,485.9,Minnehaha_SD.csv,31.4,24,999.9,0.0,G
2020-03-14,Minnehaha,South Dakota,3,0,99999904990,2020-03-07,43.7346,-96.6222,485.9,Minnehaha_SD.csv,40.9,24,999.9,0.0,G
2020-03-15,Minnehaha,South Dakota,3,0,99999904990,2020-03-08,43.7346,-96.6222,485.9,Minnehaha_SD.csv,51.0,24,999.9,0.0,G
2020-03-16,Minnehaha,South Dakota,4,0,99999904990,2020-03-09,43.7346,-96.6222,485.9,Minnehaha_SD.csv,32.0,24,999.9,0.0,G
2020-03-17,Minnehaha,South Dakota,5,0,99999904990,2020-03-10,43.7346,-96.6222,485.9,Minnehaha_SD.csv,26.8,24,999.9,0.02,G
2020-03-18,Minnehaha,South Dakota,5,0,99999904990,2020-03-11,43.7346,-96.6222,485.9,Minnehaha_SD.csv,33.4,24,999.9,0.0,G
2020-03-19,Minnehaha,South Dakota,5,0,99999904990,2020-03-12,43.7346,-96.6222,485.9,Minnehaha_SD.csv,41.2,24,999.9,0.0,G
2020-03-20,Minnehaha,South Dakota,5,0,99999904990,2020-03-13,43.7346,-96.6222,485.9,Minnehaha_SD.csv,31.5,24,999.9,0.0,G
2020-03-21,Minnehaha,South Dakota,5,0,99999904990,2020-03-14,43.7346,-96.6222,485.9,Minnehaha_SD.csv,27.8,24,999.9,0.0,G
2020-03-22,Minnehaha,South Dakota,5,0,99999904990,2020-03-15,43.7346,-96.6222,485.9,Minnehaha_SD.csv,27.5,24,999.9,0.22,G
2020-03-23,Minnehaha,South Dakota,5,0,99999904990,2020-03-16,43.7346,-96.6222,485.9,Minnehaha_SD.csv,31.8,24,999.9,0.0,G
2020-03-24,Minnehaha,South Dakota,5,0,99999904990,2020-03-17,43.7346,-96.6222,485.9,Minnehaha_SD.csv,30.0,24,999.9,0.01,G
2020-03-25,Minnehaha,South Dakota,13,0,99999904990,2020-03-18,43.7346,-96.6222,485.9,Minnehaha_SD.csv,39.2,24,999.9,0.0,G
2020-03-26,Minnehaha,South Dakota,16,0,99999904990,2020-03-19,43.7346,-96.6222,485.9,Minnehaha_SD.csv,38.9,24,999.9,0.07,G
2020-03-27,Minnehaha,South Dakota,18,0,99999904990,2020-03-20,43.7346,-96.6222,485.9,Minnehaha_SD.csv,18.7,24,999.9,0.48,G
2020-03-28,Minnehaha,South Dakota,21,0,99999904990,2020-03-21,43.7346,-96.6222,485.9,Minnehaha_SD.csv,22.5,24,999.9,0.0,G
