Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-14,New Haven,Connecticut,1,0,99728499999,2020-03-07,41.28,-72.88,10.0,NewHaven_CT.csv,38.5,24,8.0,0.0,I
2020-03-15,New Haven,Connecticut,3,0,99728499999,2020-03-08,41.28,-72.88,10.0,NewHaven_CT.csv,39.6,24,6.1,0.0,I
2020-03-16,New Haven,Connecticut,4,0,99728499999,2020-03-09,41.28,-72.88,10.0,NewHaven_CT.csv,47.0,24,6.8,0.0,I
2020-03-17,New Haven,Connecticut,8,0,99728499999,2020-03-10,41.28,-72.88,10.0,NewHaven_CT.csv,48.5,24,6.4,0.0,I
2020-03-18,New Haven,Connecticut,10,0,99728499999,2020-03-11,41.28,-72.88,10.0,NewHaven_CT.csv,49.5,19,6.4,0.0,I
2020-03-19,New Haven,Connecticut,24,0,99728499999,2020-03-12,41.28,-72.88,10.0,NewHaven_CT.csv,43.5,24,4.2,0.0,I
2020-03-20,New Haven,Connecticut,24,0,99728499999,2020-03-13,41.28,-72.88,10.0,NewHaven_CT.csv,47.2,19,8.2,0.0,I
2020-03-21,New Haven,Connecticut,24,0,99728499999,2020-03-14,41.28,-72.88,10.0,NewHaven_CT.csv,47.8,13,10.0,0.0,I
2020-03-22,New Haven,Connecticut,29,0,99728499999,2020-03-15,41.28,-72.88,10.0,NewHaven_CT.csv,44.6,24,4.9,0.0,I
2020-03-23,New Haven,Connecticut,41,0,99728499999,2020-03-16,41.28,-72.88,10.0,NewHaven_CT.csv,36.5,24,5.3,0.0,I
2020-03-24,New Haven,Connecticut,89,0,99728499999,2020-03-17,41.28,-72.88,10.0,NewHaven_CT.csv,40.6,24,5.5,0.0,I
2020-03-25,New Haven,Connecticut,127,2,99728499999,2020-03-18,41.28,-72.88,10.0,NewHaven_CT.csv,43.3,24,3.8,0.0,I
2020-03-26,New Haven,Connecticut,156,2,99728499999,2020-03-19,41.28,-72.88,10.0,NewHaven_CT.csv,43.3,24,4.8,0.0,I
2020-03-27,New Haven,Connecticut,222,6,99728499999,2020-03-20,41.28,-72.88,10.0,NewHaven_CT.csv,46.4,24,3.9,0.0,I
2020-03-28,New Haven,Connecticut,236,6,99728499999,2020-03-21,41.28,-72.88,10.0,NewHaven_CT.csv,49.1,24,7.0,0.0,I
2020-03-29,New Haven,Connecticut,280,6,99728499999,2020-03-22,41.28,-72.88,10.0,NewHaven_CT.csv,36.6,24,4.8,0.0,I
2020-03-30,New Haven,Connecticut,373,6,99728499999,2020-03-23,41.28,-72.88,10.0,NewHaven_CT.csv,36.4,24,7.9,0.0,I
2020-03-31,New Haven,Connecticut,517,12,99728499999,2020-03-24,41.28,-72.88,10.0,NewHaven_CT.csv,41.4,24,5.5,0.0,I
2020-04-01,New Haven,Connecticut,611,15,99728499999,2020-03-25,41.28,-72.88,10.0,NewHaven_CT.csv,40.7,24,3.5,0.0,I
2020-04-02,New Haven,Connecticut,647,17,99728499999,2020-03-26,41.28,-72.88,10.0,NewHaven_CT.csv,41.5,24,4.5,0.0,I
2020-04-03,New Haven,Connecticut,891,18,99728499999,2020-03-27,41.28,-72.88,10.0,NewHaven_CT.csv,51.4,24,5.8,0.0,I
2020-04-04,New Haven,Connecticut,1024,29,99728499999,2020-03-28,41.28,-72.88,10.0,NewHaven_CT.csv,47.9,24,3.5,0.0,I
2020-04-05,New Haven,Connecticut,1162,36,99728499999,2020-03-29,41.28,-72.88,10.0,NewHaven_CT.csv,46.3,24,6.1,0.0,I
2020-04-06,New Haven,Connecticut,1468,41,99728499999,2020-03-30,41.28,-72.88,10.0,NewHaven_CT.csv,44.2,24,3.3,0.0,I
2020-04-07,New Haven,Connecticut,1664,60,99728499999,2020-03-31,41.28,-72.88,10.0,NewHaven_CT.csv,42.0,24,3.9,0.0,I
2020-04-08,New Haven,Connecticut,1945,70,99728499999,2020-04-01,41.28,-72.88,10.0,NewHaven_CT.csv,42.9,24,3.8,0.0,I
2020-04-09,New Haven,Connecticut,2183,78,99728499999,2020-04-02,41.28,-72.88,10.0,NewHaven_CT.csv,46.6,21,9.0,0.0,I
2020-04-10,New Haven,Connecticut,2383,98,99728499999,2020-04-03,41.28,-72.88,10.0,NewHaven_CT.csv,47.1,24,7.6,0.0,I
2020-04-11,New Haven,Connecticut,2715,107,99728499999,2020-04-04,41.28,-72.88,10.0,NewHaven_CT.csv,48.6,24,4.7,0.0,I
2020-04-12,New Haven,Connecticut,2946,119,99728499999,2020-04-05,41.28,-72.88,10.0,NewHaven_CT.csv,47.2,24,5.4,0.0,I
2020-04-13,New Haven,Connecticut,3358,135,99728499999,2020-04-06,41.28,-72.88,10.0,NewHaven_CT.csv,50.0,22,3.4,0.0,I
2020-04-14,New Haven,Connecticut,3543,151,99728499999,2020-04-07,41.28,-72.88,10.0,NewHaven_CT.csv,52.5,24,5.3,0.0,I
