Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-10,Oakland,Michigan,1,0,72637594817,2020-03-03,42.665,-83.41806,297.5,Oakland_MI.csv,38.5,24,5.6,0.0,G
2020-03-11,Oakland,Michigan,1,0,72637594817,2020-03-04,42.665,-83.41806,297.5,Oakland_MI.csv,37.6,24,10.7,0.0,G
2020-03-12,Oakland,Michigan,3,0,72637594817,2020-03-05,42.665,-83.41806,297.5,Oakland_MI.csv,34.6,24,6.8,0.0,G
2020-03-13,Oakland,Michigan,6,0,72637594817,2020-03-06,42.665,-83.41806,297.5,Oakland_MI.csv,34.0,24,10.3,0.02,G
2020-03-14,Oakland,Michigan,9,0,72637594817,2020-03-07,42.665,-83.41806,297.5,Oakland_MI.csv,30.2,24,6.1,0.02,G
2020-03-15,Oakland,Michigan,14,0,72637594817,2020-03-08,42.665,-83.41806,297.5,Oakland_MI.csv,44.4,24,8.5,0.0,G
2020-03-16,Oakland,Michigan,14,0,72637594817,2020-03-09,42.665,-83.41806,297.5,Oakland_MI.csv,53.3,24,9.6,0.0,G
2020-03-17,Oakland,Michigan,16,0,72637594817,2020-03-10,42.665,-83.41806,297.5,Oakland_MI.csv,46.9,24,10.3,0.34,G
2020-03-18,Oakland,Michigan,23,0,72637594817,2020-03-11,42.665,-83.41806,297.5,Oakland_MI.csv,37.3,24,4.4,0.14,G
2020-03-19,Oakland,Michigan,105,0,72637594817,2020-03-12,42.665,-83.41806,297.5,Oakland_MI.csv,42.0,24,6.1,0.0,G
2020-03-20,Oakland,Michigan,184,1,72637594817,2020-03-13,42.665,-83.41806,297.5,Oakland_MI.csv,42.0,24,16.0,0.0,G
2020-03-21,Oakland,Michigan,229,1,72637594817,2020-03-14,42.665,-83.41806,297.5,Oakland_MI.csv,33.4,24,6.6,0.0,G
2020-03-22,Oakland,Michigan,277,1,72637594817,2020-03-15,42.665,-83.41806,297.5,Oakland_MI.csv,33.7,24,7.1,0.0,G
2020-03-23,Oakland,Michigan,329,4,72637594817,2020-03-16,42.665,-83.41806,297.5,Oakland_MI.csv,31.8,24,5.0,0.0,G
2020-03-24,Oakland,Michigan,428,4,72637594817,2020-03-17,42.665,-83.41806,297.5,Oakland_MI.csv,40.6,24,10.2,0.02,G
2020-03-25,Oakland,Michigan,543,10,72637594817,2020-03-18,42.665,-83.41806,297.5,Oakland_MI.csv,37.2,24,5.2,0.0,G
2020-03-26,Oakland,Michigan,695,17,72637594817,2020-03-19,42.665,-83.41806,297.5,Oakland_MI.csv,40.5,24,5.9,0.11,G
2020-03-27,Oakland,Michigan,824,26,72637594817,2020-03-20,42.665,-83.41806,297.5,Oakland_MI.csv,48.8,24,13.5,0.32,G
2020-03-28,Oakland,Michigan,1018,31,72637594817,2020-03-21,42.665,-83.41806,297.5,Oakland_MI.csv,28.0,24,9.6,0.01,G
2020-03-29,Oakland,Michigan,1170,34,72637594817,2020-03-22,42.665,-83.41806,297.5,Oakland_MI.csv,27.3,24,6.1,0.0,G
2020-03-30,Oakland,Michigan,1391,59,72637594817,2020-03-23,42.665,-83.41806,297.5,Oakland_MI.csv,33.3,24,6.5,0.09,G
2020-03-31,Oakland,Michigan,1620,75,72637594817,2020-03-24,42.665,-83.41806,297.5,Oakland_MI.csv,36.4,24,4.3,0.04,G
2020-04-01,Oakland,Michigan,1910,99,72637594817,2020-03-25,42.665,-83.41806,297.5,Oakland_MI.csv,41.5,24,3.7,0.0,G
2020-04-02,Oakland,Michigan,2227,120,72637594817,2020-03-26,42.665,-83.41806,297.5,Oakland_MI.csv,48.8,24,6.6,0.0,G
2020-04-03,Oakland,Michigan,2540,136,72637594817,2020-03-27,42.665,-83.41806,297.5,Oakland_MI.csv,40.0,24,5.9,0.17,G
2020-04-04,Oakland,Michigan,2785,142,72637594817,2020-03-28,42.665,-83.41806,297.5,Oakland_MI.csv,44.2,24,6.3,0.79,G
2020-04-05,Oakland,Michigan,3074,165,72637594817,2020-03-29,42.665,-83.41806,297.5,Oakland_MI.csv,49.9,24,11.8,0.79,G
