Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-10,Philadelphia,Pennsylvania,1,0,99769899999,2020-03-03,40.8,-74.75,18.0,Philadelphia_PA.csv,52.2,24,6.2,0.0,I
2020-03-11,Philadelphia,Pennsylvania,1,0,99769899999,2020-03-04,40.8,-74.75,18.0,Philadelphia_PA.csv,49.6,24,10.5,0.0,I
2020-03-12,Philadelphia,Pennsylvania,1,0,99769899999,2020-03-05,40.8,-74.75,18.0,Philadelphia_PA.csv,47.4,23,4.8,0.0,I
2020-03-13,Philadelphia,Pennsylvania,3,0,99769899999,2020-03-06,40.8,-74.75,18.0,Philadelphia_PA.csv,40.1,24,4.2,0.0,I
2020-03-14,Philadelphia,Pennsylvania,4,0,99769899999,2020-03-07,40.8,-74.75,18.0,Philadelphia_PA.csv,40.0,24,8.1,0.0,I
2020-03-15,Philadelphia,Pennsylvania,8,0,99769899999,2020-03-08,40.8,-74.75,18.0,Philadelphia_PA.csv,42.7,24,5.8,0.0,I
2020-03-16,Philadelphia,Pennsylvania,8,0,99769899999,2020-03-09,40.8,-74.75,18.0,Philadelphia_PA.csv,52.6,24,6.3,0.0,I
2020-03-17,Philadelphia,Pennsylvania,10,0,99769899999,2020-03-10,40.8,-74.75,18.0,Philadelphia_PA.csv,57.7,24,7.5,0.0,I
2020-03-18,Philadelphia,Pennsylvania,17,0,99769899999,2020-03-11,40.8,-74.75,18.0,Philadelphia_PA.csv,55.8,19,5.8,0.0,I
2020-03-19,Philadelphia,Pennsylvania,33,0,99769899999,2020-03-12,40.8,-74.75,18.0,Philadelphia_PA.csv,45.5,24,3.5,0.0,I
2020-03-20,Philadelphia,Pennsylvania,42,0,99769899999,2020-03-13,40.8,-74.75,18.0,Philadelphia_PA.csv,55.3,19,7.6,0.0,I
2020-03-21,Philadelphia,Pennsylvania,69,0,99769899999,2020-03-14,40.8,-74.75,18.0,Philadelphia_PA.csv,51.5,13,6.6,0.0,I
2020-03-22,Philadelphia,Pennsylvania,91,0,99769899999,2020-03-15,40.8,-74.75,18.0,Philadelphia_PA.csv,47.7,24,3.8,0.0,I
2020-03-23,Philadelphia,Pennsylvania,128,0,99769899999,2020-03-16,40.8,-74.75,18.0,Philadelphia_PA.csv,41.5,24,6.8,0.0,I
2020-03-24,Philadelphia,Pennsylvania,177,0,99769899999,2020-03-17,40.8,-74.75,18.0,Philadelphia_PA.csv,44.8,23,4.6,0.0,I
2020-03-25,Philadelphia,Pennsylvania,257,1,99769899999,2020-03-18,40.8,-74.75,18.0,Philadelphia_PA.csv,48.8,24,4.8,0.0,I
2020-03-26,Philadelphia,Pennsylvania,402,1,99769899999,2020-03-19,40.8,-74.75,18.0,Philadelphia_PA.csv,46.5,24,4.5,0.0,I
2020-03-27,Philadelphia,Pennsylvania,530,2,99769899999,2020-03-20,40.8,-74.75,18.0,Philadelphia_PA.csv,56.4,24,6.7,0.0,I
2020-03-28,Philadelphia,Pennsylvania,709,5,99769899999,2020-03-21,40.8,-74.75,18.0,Philadelphia_PA.csv,55.1,24,6.7,0.0,I
2020-03-29,Philadelphia,Pennsylvania,865,5,99769899999,2020-03-22,40.8,-74.75,18.0,Philadelphia_PA.csv,41.2,24,6.8,0.0,I
2020-03-30,Philadelphia,Pennsylvania,1072,7,99769899999,2020-03-23,40.8,-74.75,18.0,Philadelphia_PA.csv,40.2,24,7.1,0.0,I
2020-03-31,Philadelphia,Pennsylvania,1315,14,99769899999,2020-03-24,40.8,-74.75,18.0,Philadelphia_PA.csv,44.8,24,5.0,0.0,I
2020-04-01,Philadelphia,Pennsylvania,1478,14,99769899999,2020-03-25,40.8,-74.75,18.0,Philadelphia_PA.csv,44.6,24,7.2,0.0,I
2020-04-02,Philadelphia,Pennsylvania,1852,14,99769899999,2020-03-26,40.8,-74.75,18.0,Philadelphia_PA.csv,45.6,24,4.4,0.0,I
2020-04-03,Philadelphia,Pennsylvania,2284,14,99769899999,2020-03-27,40.8,-74.75,18.0,Philadelphia_PA.csv,56.2,24,4.6,0.0,I
2020-04-04,Philadelphia,Pennsylvania,2610,24,99769899999,2020-03-28,40.8,-74.75,18.0,Philadelphia_PA.csv,50.2,24,3.8,0.0,I
2020-04-05,Philadelphia,Pennsylvania,3135,28,99769899999,2020-03-29,40.8,-74.75,18.0,Philadelphia_PA.csv,48.4,24,5.8,0.0,I
2020-04-06,Philadelphia,Pennsylvania,3611,28,99769899999,2020-03-30,40.8,-74.75,18.0,Philadelphia_PA.csv,48.9,24,3.4,0.0,I
2020-04-07,Philadelphia,Pennsylvania,4012,58,99769899999,2020-03-31,40.8,-74.75,18.0,Philadelphia_PA.csv,44.7,24,4.5,0.0,I
2020-04-08,Philadelphia,Pennsylvania,4456,86,99769899999,2020-04-01,40.8,-74.75,18.0,Philadelphia_PA.csv,45.2,24,5.8,0.0,I
2020-04-09,Philadelphia,Pennsylvania,5029,86,99769899999,2020-04-02,40.8,-74.75,18.0,Philadelphia_PA.csv,47.2,21,8.6,0.0,I
2020-04-10,Philadelphia,Pennsylvania,5521,110,99769899999,2020-04-03,40.8,-74.75,18.0,Philadelphia_PA.csv,51.7,24,9.3,0.0,I
2020-04-11,Philadelphia,Pennsylvania,6022,130,99769899999,2020-04-04,40.8,-74.75,18.0,Philadelphia_PA.csv,51.4,24,4.5,0.0,I
2020-04-12,Philadelphia,Pennsylvania,6352,128,99769899999,2020-04-05,40.8,-74.75,18.0,Philadelphia_PA.csv,52.3,24,4.1,0.0,I
2020-04-13,Philadelphia,Pennsylvania,6810,127,99769899999,2020-04-06,40.8,-74.75,18.0,Philadelphia_PA.csv,56.7,22,4.2,0.0,I
2020-04-14,Philadelphia,Pennsylvania,7130,206,99769899999,2020-04-07,40.8,-74.75,18.0,Philadelphia_PA.csv,54.8,24,3.3,0.0,I
2020-04-15,Philadelphia,Pennsylvania,7441,222,99769899999,2020-04-08,40.8,-74.75,18.0,Philadelphia_PA.csv,59.8,24,5.1,0.0,I
2020-04-16,Philadelphia,Pennsylvania,8045,264,99769899999,2020-04-09,40.8,-74.75,18.0,Philadelphia_PA.csv,52.4,24,8.4,0.0,I
2020-04-17,Philadelphia,Pennsylvania,8563,298,99769899999,2020-04-10,40.8,-74.75,18.0,Philadelphia_PA.csv,45.9,24,16.9,0.0,I
2020-04-18,Philadelphia,Pennsylvania,9014,342,99769899999,2020-04-11,40.8,-74.75,18.0,Philadelphia_PA.csv,45.6,24,12.5,0.0,I
