Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-12,Prince William,Virginia,1,0,99770899999,2020-03-05,37.25,-76.33,10.0,PrinceWilliam_VA.csv,49.4,24,12.5,0.0,I
2020-03-13,Prince William,Virginia,2,0,99770899999,2020-03-06,37.25,-76.33,10.0,PrinceWilliam_VA.csv,46.0,24,11.6,0.0,I
2020-03-14,Prince William,Virginia,2,0,99770899999,2020-03-07,37.25,-76.33,10.0,PrinceWilliam_VA.csv,44.9,24,20.7,0.0,I
2020-03-15,Prince William,Virginia,3,0,99770899999,2020-03-08,37.25,-76.33,10.0,PrinceWilliam_VA.csv,45.1,24,6.7,0.0,I
2020-03-16,Prince William,Virginia,3,0,99770899999,2020-03-09,37.25,-76.33,10.0,PrinceWilliam_VA.csv,54.0,24,13.6,0.0,I
2020-03-17,Prince William,Virginia,4,0,99770899999,2020-03-10,37.25,-76.33,10.0,PrinceWilliam_VA.csv,59.8,24,18.2,0.0,I
2020-03-18,Prince William,Virginia,4,0,99770899999,2020-03-11,37.25,-76.33,10.0,PrinceWilliam_VA.csv,55.4,19,11.1,0.0,I
2020-03-19,Prince William,Virginia,12,0,99770899999,2020-03-12,37.25,-76.33,10.0,PrinceWilliam_VA.csv,50.9,24,8.3,0.0,I
2020-03-20,Prince William,Virginia,12,0,99770899999,2020-03-13,37.25,-76.33,10.0,PrinceWilliam_VA.csv,59.5,19,14.4,0.0,I
2020-03-21,Prince William,Virginia,14,0,99770899999,2020-03-14,37.25,-76.33,10.0,PrinceWilliam_VA.csv,51.9,13,8.8,0.0,I
2020-03-22,Prince William,Virginia,18,0,99770899999,2020-03-15,37.25,-76.33,10.0,PrinceWilliam_VA.csv,48.7,24,12.6,0.0,I
2020-03-23,Prince William,Virginia,18,0,99770899999,2020-03-16,37.25,-76.33,10.0,PrinceWilliam_VA.csv,46.8,24,13.0,0.0,I
2020-03-24,Prince William,Virginia,23,0,99770899999,2020-03-17,37.25,-76.33,10.0,PrinceWilliam_VA.csv,48.6,24,7.1,0.0,I
2020-03-25,Prince William,Virginia,32,0,99770899999,2020-03-18,37.25,-76.33,10.0,PrinceWilliam_VA.csv,53.0,24,11.3,0.0,I
2020-03-26,Prince William,Virginia,44,0,99770899999,2020-03-19,37.25,-76.33,10.0,PrinceWilliam_VA.csv,56.9,24,7.4,0.0,I
2020-03-27,Prince William,Virginia,44,0,99770899999,2020-03-20,37.25,-76.33,10.0,PrinceWilliam_VA.csv,68.4,24,17.8,0.0,I
2020-03-28,Prince William,Virginia,56,0,99770899999,2020-03-21,37.25,-76.33,10.0,PrinceWilliam_VA.csv,58.8,24,14.9,0.0,I
2020-03-29,Prince William,Virginia,72,0,99770899999,2020-03-22,37.25,-76.33,10.0,PrinceWilliam_VA.csv,48.6,24,13.6,0.0,I
2020-03-30,Prince William,Virginia,79,0,99770899999,2020-03-23,37.25,-76.33,10.0,PrinceWilliam_VA.csv,48.0,24,18.1,0.0,I
2020-03-31,Prince William,Virginia,94,0,99770899999,2020-03-24,37.25,-76.33,10.0,PrinceWilliam_VA.csv,49.1,24,8.9,0.0,I
2020-04-01,Prince William,Virginia,106,1,99770899999,2020-03-25,37.25,-76.33,10.0,PrinceWilliam_VA.csv,49.3,24,18.1,0.0,I
2020-04-02,Prince William,Virginia,117,1,99770899999,2020-03-26,37.25,-76.33,10.0,PrinceWilliam_VA.csv,48.3,24,9.8,0.0,I
2020-04-03,Prince William,Virginia,131,1,99770899999,2020-03-27,37.25,-76.33,10.0,PrinceWilliam_VA.csv,56.3,24,11.5,0.0,I
2020-04-04,Prince William,Virginia,159,1,99770899999,2020-03-28,37.25,-76.33,10.0,PrinceWilliam_VA.csv,56.0,24,9.2,0.0,I
2020-04-05,Prince William,Virginia,175,1,99770899999,2020-03-29,37.25,-76.33,10.0,PrinceWilliam_VA.csv,54.9,24,7.7,0.0,I
2020-04-06,Prince William,Virginia,193,1,99770899999,2020-03-30,37.25,-76.33,10.0,PrinceWilliam_VA.csv,62.0,24,10.4,0.0,I
2020-04-07,Prince William,Virginia,236,1,99770899999,2020-03-31,37.25,-76.33,10.0,PrinceWilliam_VA.csv,52.9,24,13.3,0.0,I
2020-04-08,Prince William,Virginia,263,1,99770899999,2020-04-01,37.25,-76.33,10.0,PrinceWilliam_VA.csv,46.9,24,23.3,0.0,I
2020-04-09,Prince William,Virginia,299,1,99770899999,2020-04-02,37.25,-76.33,10.0,PrinceWilliam_VA.csv,52.2,21,16.0,0.0,I
2020-04-10,Prince William,Virginia,337,1,99770899999,2020-04-03,37.25,-76.33,10.0,PrinceWilliam_VA.csv,56.0,24,18.4,0.0,I
2020-04-11,Prince William,Virginia,390,1,99770899999,2020-04-04,37.25,-76.33,10.0,PrinceWilliam_VA.csv,52.6,24,12.7,0.0,I
2020-04-12,Prince William,Virginia,389,1,99770899999,2020-04-05,37.25,-76.33,10.0,PrinceWilliam_VA.csv,51.0,24,7.5,0.0,I
2020-04-13,Prince William,Virginia,434,1,99770899999,2020-04-06,37.25,-76.33,10.0,PrinceWilliam_VA.csv,56.7,22,10.5,0.0,I
2020-04-14,Prince William,Virginia,508,1,99770899999,2020-04-07,37.25,-76.33,10.0,PrinceWilliam_VA.csv,56.8,24,7.5,0.0,I
2020-04-15,Prince William,Virginia,536,1,99770899999,2020-04-08,37.25,-76.33,10.0,PrinceWilliam_VA.csv,63.9,24,12.3,0.0,I
2020-04-16,Prince William,Virginia,582,1,99770899999,2020-04-09,37.25,-76.33,10.0,PrinceWilliam_VA.csv,64.4,24,14.9,0.0,I
2020-04-17,Prince William,Virginia,644,1,99770899999,2020-04-10,37.25,-76.33,10.0,PrinceWilliam_VA.csv,53.6,18,21.6,0.0,I
2020-04-29,Prince William,Virginia,1527,22,99770899999,2020-04-22,37.25,-76.33,10.0,PrinceWilliam_VA.csv,58.8,9,9.6,0.0,I
2020-05-02,Prince William,Virginia,1900,29,99770899999,2020-04-25,37.25,-76.33,10.0,PrinceWilliam_VA.csv,55.1,12,11.8,0.0,I
2020-05-03,Prince William,Virginia,2026,30,99770899999,2020-04-26,37.25,-76.33,10.0,PrinceWilliam_VA.csv,61.9,10,10.8,0.0,I
2020-05-04,Prince William,Virginia,2146,32,99770899999,2020-04-27,37.25,-76.33,10.0,PrinceWilliam_VA.csv,58.4,8,13.5,0.0,I
2020-05-05,Prince William,Virginia,2223,33,99770899999,2020-04-28,37.25,-76.33,10.0,PrinceWilliam_VA.csv,56.5,8,15.6,0.0,I
2020-05-06,Prince William,Virginia,2223,33,99770899999,2020-04-29,37.25,-76.33,10.0,PrinceWilliam_VA.csv,64.4,10,15.1,0.0,I
2020-05-07,Prince William,Virginia,2398,39,99770899999,2020-04-30,37.25,-76.33,10.0,PrinceWilliam_VA.csv,66.6,8,21.0,0.0,I
2020-05-08,Prince William,Virginia,2474,46,99770899999,2020-05-01,37.25,-76.33,10.0,PrinceWilliam_VA.csv,60.7,8,10.5,0.0,I
2020-05-12,Prince William,Virginia,3078,58,99770899999,2020-05-05,37.25,-76.33,10.0,PrinceWilliam_VA.csv,59.4,24,9.7,0.0,I
2020-05-13,Prince William,Virginia,3181,65,99770899999,2020-05-06,37.25,-76.33,10.0,PrinceWilliam_VA.csv,55.6,7,10.4,0.0,I
