Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-07,Riverside,California,1,0,72286903171,2020-02-29,33.95194,-117.43861,245.2,Riverside_CA.csv,63.0,24,3.7,0.0,G
2020-03-08,Riverside,California,1,0,72286903171,2020-03-01,33.95194,-117.43861,245.2,Riverside_CA.csv,54.9,24,5.9,0.0,G
2020-03-09,Riverside,California,4,0,72286903171,2020-03-02,33.95194,-117.43861,245.2,Riverside_CA.csv,53.7,24,8.7,0.0,G
2020-03-10,Riverside,California,4,0,72286903171,2020-03-03,33.95194,-117.43861,245.2,Riverside_CA.csv,67.1,24,8.8,0.0,G
2020-03-11,Riverside,California,4,0,72286903171,2020-03-04,33.95194,-117.43861,245.2,Riverside_CA.csv,61.5,24,3.4,0.0,G
2020-03-12,Riverside,California,6,0,72286903171,2020-03-05,33.95194,-117.43861,245.2,Riverside_CA.csv,62.0,24,2.9,0.0,G
2020-03-13,Riverside,California,10,0,72286903171,2020-03-06,33.95194,-117.43861,245.2,Riverside_CA.csv,64.2,24,4.2,0.0,G
2020-03-14,Riverside,California,10,0,72286903171,2020-03-07,33.95194,-117.43861,245.2,Riverside_CA.csv,58.2,24,5.1,0.0,G
2020-03-15,Riverside,California,12,0,72286903171,2020-03-08,33.95194,-117.43861,245.2,Riverside_CA.csv,56.1,24,5.2,0.0,G
2020-03-16,Riverside,California,14,2,72286903171,2020-03-09,33.95194,-117.43861,245.2,Riverside_CA.csv,56.5,24,2.8,0.0,G
2020-03-17,Riverside,California,16,3,72286903171,2020-03-10,33.95194,-117.43861,245.2,Riverside_CA.csv,59.9,24,4.9,0.4,G
2020-03-18,Riverside,California,16,3,72286903171,2020-03-11,33.95194,-117.43861,245.2,Riverside_CA.csv,60.5,24,3.3,0.22,G
2020-03-19,Riverside,California,22,3,72286903171,2020-03-12,33.95194,-117.43861,245.2,Riverside_CA.csv,56.9,24,5.1,0.0,G
2020-03-20,Riverside,California,28,4,72286903171,2020-03-13,33.95194,-117.43861,245.2,Riverside_CA.csv,52.6,24,1.8,1.54,G
2020-03-21,Riverside,California,30,5,72286903171,2020-03-14,33.95194,-117.43861,245.2,Riverside_CA.csv,55.2,24,1.9,0.07,G
2020-03-22,Riverside,California,45,6,72286903171,2020-03-15,33.95194,-117.43861,245.2,Riverside_CA.csv,55.4,24,3.6,0.0,G
2020-03-23,Riverside,California,48,6,72286903171,2020-03-16,33.95194,-117.43861,245.2,Riverside_CA.csv,54.6,24,4.9,0.0,G
2020-03-24,Riverside,California,59,6,72286903171,2020-03-17,33.95194,-117.43861,245.2,Riverside_CA.csv,52.1,24,4.1,0.19,G
2020-03-25,Riverside,California,107,8,72286903171,2020-03-18,33.95194,-117.43861,245.2,Riverside_CA.csv,47.7,24,4.0,0.02,G
2020-03-26,Riverside,California,107,8,72286903171,2020-03-19,33.95194,-117.43861,245.2,Riverside_CA.csv,50.7,24,4.6,0.0,G
2020-03-27,Riverside,California,185,8,72286903171,2020-03-20,33.95194,-117.43861,245.2,Riverside_CA.csv,52.6,24,1.7,0.26,G
2020-03-28,Riverside,California,185,8,72286903171,2020-03-21,33.95194,-117.43861,245.2,Riverside_CA.csv,55.3,24,2.8,0.01,G
2020-03-29,Riverside,California,195,8,72286903171,2020-03-22,33.95194,-117.43861,245.2,Riverside_CA.csv,56.6,24,3.8,0.0,G
2020-03-30,Riverside,California,291,9,72286903171,2020-03-23,33.95194,-117.43861,245.2,Riverside_CA.csv,57.1,24,6.4,0.61,G
2020-03-31,Riverside,California,371,13,72286903171,2020-03-24,33.95194,-117.43861,245.2,Riverside_CA.csv,55.6,24,4.3,0.33,G
2020-04-01,Riverside,California,371,13,72286903171,2020-03-25,33.95194,-117.43861,245.2,Riverside_CA.csv,55.2,24,6.1,0.0,G
2020-04-02,Riverside,California,493,14,72286903171,2020-03-26,33.95194,-117.43861,245.2,Riverside_CA.csv,52.2,24,6.5,0.0,G
2020-04-03,Riverside,California,638,15,72286903171,2020-03-27,33.95194,-117.43861,245.2,Riverside_CA.csv,51.1,24,5.9,0.0,G
2020-04-04,Riverside,California,665,18,72286903171,2020-03-28,33.95194,-117.43861,245.2,Riverside_CA.csv,52.6,24,3.6,0.0,G
2020-04-05,Riverside,California,799,19,72286903171,2020-03-29,33.95194,-117.43861,245.2,Riverside_CA.csv,54.6,24,4.8,0.0,G
2020-04-06,Riverside,California,946,25,72286903171,2020-03-30,33.95194,-117.43861,245.2,Riverside_CA.csv,56.9,24,3.4,0.0,G
2020-04-07,Riverside,California,1016,28,72286903171,2020-03-31,33.95194,-117.43861,245.2,Riverside_CA.csv,61.9,24,3.3,0.0,G
2020-04-08,Riverside,California,1179,32,72286903171,2020-04-01,33.95194,-117.43861,245.2,Riverside_CA.csv,64.3,24,3.1,0.0,G
2020-04-09,Riverside,California,1280,33,72286903171,2020-04-02,33.95194,-117.43861,245.2,Riverside_CA.csv,60.8,24,3.3,0.0,G
2020-04-10,Riverside,California,1350,39,72286903171,2020-04-03,33.95194,-117.43861,245.2,Riverside_CA.csv,59.1,24,4.4,0.0,G
2020-04-11,Riverside,California,1431,41,72286903171,2020-04-04,33.95194,-117.43861,245.2,Riverside_CA.csv,58.5,24,4.1,0.0,G
2020-04-12,Riverside,California,1619,41,72286903171,2020-04-05,33.95194,-117.43861,245.2,Riverside_CA.csv,57.5,24,4.0,0.0,G
2020-04-13,Riverside,California,1751,50,72286903171,2020-04-06,33.95194,-117.43861,245.2,Riverside_CA.csv,54.0,24,4.3,0.02,G
2020-04-14,Riverside,California,1961,50,72286903171,2020-04-07,33.95194,-117.43861,245.2,Riverside_CA.csv,53.5,24,1.5,0.97,G
2020-04-15,Riverside,California,2105,54,72286903171,2020-04-08,33.95194,-117.43861,245.2,Riverside_CA.csv,52.8,24,6.9,0.35,G
2020-04-16,Riverside,California,2264,59,72286903171,2020-04-09,33.95194,-117.43861,245.2,Riverside_CA.csv,51.0,24,4.0,0.09,G
2020-04-17,Riverside,California,2457,69,72286903171,2020-04-10,33.95194,-117.43861,245.2,Riverside_CA.csv,50.7,24,5.7,0.98,G
2020-04-18,Riverside,California,2602,74,72286903171,2020-04-11,33.95194,-117.43861,245.2,Riverside_CA.csv,55.4,24,2.8,0.22,G
2020-04-19,Riverside,California,2638,75,72286903171,2020-04-12,33.95194,-117.43861,245.2,Riverside_CA.csv,57.3,24,3.4,0.0,G
2020-04-20,Riverside,California,2847,85,72286903171,2020-04-13,33.95194,-117.43861,245.2,Riverside_CA.csv,56.2,24,4.0,0.02,G
2020-04-21,Riverside,California,2960,93,72286903171,2020-04-14,33.95194,-117.43861,245.2,Riverside_CA.csv,61.6,24,4.4,0.0,G
2020-04-22,Riverside,California,3084,99,72286903171,2020-04-15,33.95194,-117.43861,245.2,Riverside_CA.csv,65.5,24,4.1,0.0,G
2020-04-23,Riverside,California,3218,109,72286903171,2020-04-16,33.95194,-117.43861,245.2,Riverside_CA.csv,63.8,24,4.0,0.0,G
2020-04-24,Riverside,California,3315,112,72286903171,2020-04-17,33.95194,-117.43861,245.2,Riverside_CA.csv,58.6,24,3.9,0.0,G
2020-04-25,Riverside,California,3409,117,72286903171,2020-04-18,33.95194,-117.43861,245.2,Riverside_CA.csv,58.1,24,5.3,0.0,G
2020-04-26,Riverside,California,3563,118,72286903171,2020-04-19,33.95194,-117.43861,245.2,Riverside_CA.csv,58.3,24,4.7,0.0,G
2020-04-27,Riverside,California,3643,141,72286903171,2020-04-20,33.95194,-117.43861,245.2,Riverside_CA.csv,58.9,24,4.8,0.0,G
2020-04-28,Riverside,California,3735,141,72286903171,2020-04-21,33.95194,-117.43861,245.2,Riverside_CA.csv,61.2,24,6.4,0.0,G
2020-04-29,Riverside,California,3942,143,72286903171,2020-04-22,33.95194,-117.43861,245.2,Riverside_CA.csv,65.4,24,4.5,0.0,G
2020-04-30,Riverside,California,4031,149,72286903171,2020-04-23,33.95194,-117.43861,245.2,Riverside_CA.csv,72.4,24,3.6,0.0,G
2020-05-01,Riverside,California,4079,156,72286903171,2020-04-24,33.95194,-117.43861,245.2,Riverside_CA.csv,77.3,24,3.6,0.0,G
2020-05-02,Riverside,California,4164,167,72286903171,2020-04-25,33.95194,-117.43861,245.2,Riverside_CA.csv,78.8,24,4.1,0.0,G
2020-05-03,Riverside,California,4180,167,72286903171,2020-04-26,33.95194,-117.43861,245.2,Riverside_CA.csv,76.2,24,4.7,0.0,G
2020-05-04,Riverside,California,4354,181,72286903171,2020-04-27,33.95194,-117.43861,245.2,Riverside_CA.csv,72.9,24,3.7,0.0,G
2020-05-05,Riverside,California,4454,184,72286903171,2020-04-28,33.95194,-117.43861,245.2,Riverside_CA.csv,73.0,24,3.5,0.0,G
2020-05-06,Riverside,California,4672,190,72286903171,2020-04-29,33.95194,-117.43861,245.2,Riverside_CA.csv,70.5,24,4.7,0.0,G
2020-05-07,Riverside,California,4756,194,72286903171,2020-04-30,33.95194,-117.43861,245.2,Riverside_CA.csv,69.0,24,4.6,0.0,G
2020-05-08,Riverside,California,4817,204,72286903171,2020-05-01,33.95194,-117.43861,245.2,Riverside_CA.csv,67.1,24,4.0,0.0,G
2020-05-09,Riverside,California,4992,210,72286903171,2020-05-02,33.95194,-117.43861,245.2,Riverside_CA.csv,68.1,24,4.2,0.0,G
2020-05-10,Riverside,California,5039,212,72286903171,2020-05-03,33.95194,-117.43861,245.2,Riverside_CA.csv,67.2,24,4.3,0.0,G
2020-05-11,Riverside,California,5189,217,72286903171,2020-05-04,33.95194,-117.43861,245.2,Riverside_CA.csv,69.5,24,4.5,0.0,G
2020-05-12,Riverside,California,5248,228,72286903171,2020-05-05,33.95194,-117.43861,245.2,Riverside_CA.csv,76.2,24,4.1,0.0,G
2020-05-13,Riverside,California,5343,238,72286903171,2020-05-06,33.95194,-117.43861,245.2,Riverside_CA.csv,78.3,24,3.9,0.0,G
2020-05-14,Riverside,California,5440,246,72286903171,2020-05-07,33.95194,-117.43861,245.2,Riverside_CA.csv,79.6,24,3.8,0.0,G
2020-05-15,Riverside,California,5618,249,72286903171,2020-05-08,33.95194,-117.43861,245.2,Riverside_CA.csv,76.6,24,5.0,0.0,G
2020-05-16,Riverside,California,5618,255,72286903171,2020-05-09,33.95194,-117.43861,245.2,Riverside_CA.csv,71.7,24,4.8,0.0,G
2020-05-17,Riverside,California,5633,259,72286903171,2020-05-10,33.95194,-117.43861,245.2,Riverside_CA.csv,68.5,24,5.1,0.0,G
