Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-08,Suffolk,New York,1,0,99728299999,2020-03-01,41.05,-71.97,10.0,Suffolk_NY.csv,28.7,24,0.0,0.0,I
2020-03-09,Suffolk,New York,1,0,99728299999,2020-03-02,41.05,-71.97,10.0,Suffolk_NY.csv,40.0,24,0.0,0.0,I
2020-03-10,Suffolk,New York,1,0,99728299999,2020-03-03,41.05,-71.97,10.0,Suffolk_NY.csv,48.0,24,0.0,0.0,I
2020-03-11,Suffolk,New York,6,0,99728299999,2020-03-04,41.05,-71.97,10.0,Suffolk_NY.csv,47.0,24,0.0,0.0,I
2020-03-12,Suffolk,New York,21,0,99728299999,2020-03-05,41.05,-71.97,10.0,Suffolk_NY.csv,43.2,24,0.0,0.0,I
2020-03-13,Suffolk,New York,29,0,99728299999,2020-03-06,41.05,-71.97,10.0,Suffolk_NY.csv,41.7,24,0.0,0.0,I
2020-03-14,Suffolk,New York,41,0,99728299999,2020-03-07,41.05,-71.97,10.0,Suffolk_NY.csv,37.5,24,0.0,0.0,I
2020-03-15,Suffolk,New York,47,0,99728299999,2020-03-08,41.05,-71.97,10.0,Suffolk_NY.csv,40.3,24,0.0,0.0,I
2020-03-16,Suffolk,New York,63,2,99728299999,2020-03-09,41.05,-71.97,10.0,Suffolk_NY.csv,47.4,24,0.0,0.0,I
2020-03-17,Suffolk,New York,84,3,99728299999,2020-03-10,41.05,-71.97,10.0,Suffolk_NY.csv,49.3,24,0.0,0.0,I
2020-03-18,Suffolk,New York,116,3,99728299999,2020-03-11,41.05,-71.97,10.0,Suffolk_NY.csv,48.0,19,0.0,0.0,I
2020-03-19,Suffolk,New York,178,3,99728299999,2020-03-12,41.05,-71.97,10.0,Suffolk_NY.csv,42.7,24,0.0,0.0,I
2020-03-20,Suffolk,New York,371,7,99728299999,2020-03-13,41.05,-71.97,10.0,Suffolk_NY.csv,47.4,19,0.0,0.0,I
2020-03-21,Suffolk,New York,662,9,99728299999,2020-03-14,41.05,-71.97,10.0,Suffolk_NY.csv,45.4,13,0.0,0.0,I
2020-03-22,Suffolk,New York,1034,12,99728299999,2020-03-15,41.05,-71.97,10.0,Suffolk_NY.csv,43.0,24,0.0,0.0,I
2020-03-23,Suffolk,New York,1458,13,99728299999,2020-03-16,41.05,-71.97,10.0,Suffolk_NY.csv,36.7,24,0.0,0.0,I
2020-03-24,Suffolk,New York,1880,13,99728299999,2020-03-17,41.05,-71.97,10.0,Suffolk_NY.csv,40.6,24,0.0,0.0,I
2020-03-25,Suffolk,New York,2260,20,99728299999,2020-03-18,41.05,-71.97,10.0,Suffolk_NY.csv,43.6,24,0.0,0.0,I
2020-03-26,Suffolk,New York,2735,22,99728299999,2020-03-19,41.05,-71.97,10.0,Suffolk_NY.csv,44.4,24,0.0,0.0,I
2020-03-27,Suffolk,New York,3385,22,99728299999,2020-03-20,41.05,-71.97,10.0,Suffolk_NY.csv,46.7,24,0.0,0.0,I
2020-03-28,Suffolk,New York,4138,37,99728299999,2020-03-21,41.05,-71.97,10.0,Suffolk_NY.csv,47.9,24,0.0,0.0,I
2020-03-29,Suffolk,New York,5023,40,99728299999,2020-03-22,41.05,-71.97,10.0,Suffolk_NY.csv,36.1,24,0.0,0.0,I
2020-03-30,Suffolk,New York,5791,44,99728299999,2020-03-23,41.05,-71.97,10.0,Suffolk_NY.csv,37.0,24,0.0,0.0,I
2020-03-31,Suffolk,New York,6713,53,99728299999,2020-03-24,41.05,-71.97,10.0,Suffolk_NY.csv,42.1,24,0.0,0.0,I
2020-04-01,Suffolk,New York,7605,69,99728299999,2020-03-25,41.05,-71.97,10.0,Suffolk_NY.csv,42.4,24,0.0,0.0,I
2020-04-02,Suffolk,New York,8746,84,99728299999,2020-03-26,41.05,-71.97,10.0,Suffolk_NY.csv,40.9,24,0.0,0.0,I
