Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-17,Sussex,Delaware,1,0,72409313764,2020-03-10,38.68974,-75.36253,14.0,Sussex_DW.csv,59.8,22,12.1,0.0,G
2020-03-18,Sussex,Delaware,3,0,72409313764,2020-03-11,38.68974,-75.36253,14.0,Sussex_DW.csv,55.1,24,5.4,0.0,G
2020-03-19,Sussex,Delaware,3,0,72409313764,2020-03-12,38.68974,-75.36253,14.0,Sussex_DW.csv,47.2,18,3.7,0.0,G
2020-03-20,Sussex,Delaware,7,0,72409313764,2020-03-13,38.68974,-75.36253,14.0,Sussex_DW.csv,60.9,18,7.1,0.4,G
2020-03-21,Sussex,Delaware,8,0,72409313764,2020-03-14,38.68974,-75.36253,14.0,Sussex_DW.csv,56.7,7,4.9,0.0,I
2020-03-22,Sussex,Delaware,12,0,72409313764,2020-03-15,38.68974,-75.36253,14.0,Sussex_DW.csv,46.3,13,7.4,0.0,G
2020-03-23,Sussex,Delaware,20,0,72409313764,2020-03-16,38.68974,-75.36253,14.0,Sussex_DW.csv,42.6,18,6.2,0.06,G
2020-03-24,Sussex,Delaware,23,0,72409313764,2020-03-17,38.68974,-75.36253,14.0,Sussex_DW.csv,48.8,20,6.0,0.0,G
2020-03-25,Sussex,Delaware,26,0,72409313764,2020-03-18,38.68974,-75.36253,14.0,Sussex_DW.csv,51.1,23,6.6,0.0,G
2020-03-26,Sussex,Delaware,33,1,72409313764,2020-03-19,38.68974,-75.36253,14.0,Sussex_DW.csv,56.6,24,7.3,0.35,G
2020-03-27,Sussex,Delaware,38,1,72409313764,2020-03-20,38.68974,-75.36253,14.0,Sussex_DW.csv,68.6,24,11.3,0.0,H
2020-03-28,Sussex,Delaware,59,1,72409313764,2020-03-21,38.68974,-75.36253,14.0,Sussex_DW.csv,59.2,24,6.1,0.31,G
2020-03-29,Sussex,Delaware,66,1,72409313764,2020-03-22,38.68974,-75.36253,14.0,Sussex_DW.csv,45.3,24,6.2,0.08,G
2020-03-30,Sussex,Delaware,81,2,72409313764,2020-03-23,38.68974,-75.36253,14.0,Sussex_DW.csv,46.6,24,9.2,0.25,G
2020-03-31,Sussex,Delaware,88,2,72409313764,2020-03-24,38.68974,-75.36253,14.0,Sussex_DW.csv,47.6,24,4.6,0.2,G
2020-04-01,Sussex,Delaware,101,3,72409313764,2020-03-25,38.68974,-75.36253,14.0,Sussex_DW.csv,46.4,24,10.9,0.01,G
2020-04-02,Sussex,Delaware,105,3,72409313764,2020-03-26,38.68974,-75.36253,14.0,Sussex_DW.csv,47.6,24,4.8,0.28,G
2020-04-03,Sussex,Delaware,117,3,72409313764,2020-03-27,38.68974,-75.36253,14.0,Sussex_DW.csv,55.9,24,5.2,0.02,G
2020-04-04,Sussex,Delaware,125,3,72409313764,2020-03-28,38.68974,-75.36253,14.0,Sussex_DW.csv,53.6,24,5.0,0.46,G
2020-04-05,Sussex,Delaware,151,3,72409313764,2020-03-29,38.68974,-75.36253,14.0,Sussex_DW.csv,54.2,24,4.3,0.41,G
2020-04-06,Sussex,Delaware,159,3,72409313764,2020-03-30,38.68974,-75.36253,14.0,Sussex_DW.csv,57.0,24,5.7,0.0,G
2020-04-07,Sussex,Delaware,210,4,72409313764,2020-03-31,38.68974,-75.36253,14.0,Sussex_DW.csv,47.1,24,5.8,0.0,G
2020-04-08,Sussex,Delaware,279,5,72409313764,2020-04-01,38.68974,-75.36253,14.0,Sussex_DW.csv,45.3,24,11.7,0.04,G
2020-04-09,Sussex,Delaware,294,7,72409313764,2020-04-02,38.68974,-75.36253,14.0,Sussex_DW.csv,49.5,23,8.0,0.0,G
2020-04-10,Sussex,Delaware,336,10,72409313764,2020-04-03,38.68974,-75.36253,14.0,Sussex_DW.csv,53.8,24,9.5,0.0,G
2020-04-11,Sussex,Delaware,404,10,72409313764,2020-04-04,38.68974,-75.36253,14.0,Sussex_DW.csv,50.8,24,6.7,0.01,G
2020-04-12,Sussex,Delaware,464,12,72409313764,2020-04-05,38.68974,-75.36253,14.0,Sussex_DW.csv,51.7,24,4.0,0.0,G
2020-04-13,Sussex,Delaware,551,15,72409313764,2020-04-06,38.68974,-75.36253,14.0,Sussex_DW.csv,57.1,24,5.8,0.0,G
2020-04-14,Sussex,Delaware,639,16,72409313764,2020-04-07,38.68974,-75.36253,14.0,Sussex_DW.csv,55.7,24,4.6,0.0,G
2020-04-15,Sussex,Delaware,678,17,72409313764,2020-04-08,38.68974,-75.36253,14.0,Sussex_DW.csv,64.3,24,6.6,0.09,G
2020-04-16,Sussex,Delaware,698,18,72409313764,2020-04-09,38.68974,-75.36253,14.0,Sussex_DW.csv,59.1,24,9.6,0.05,G
2020-04-17,Sussex,Delaware,811,22,72409313764,2020-04-10,38.68974,-75.36253,14.0,Sussex_DW.csv,48.9,24,13.0,0.1,G
2020-04-18,Sussex,Delaware,886,25,72409313764,2020-04-11,38.68974,-75.36253,14.0,Sussex_DW.csv,48.6,24,6.6,0.0,G
2020-04-19,Sussex,Delaware,886,25,72409313764,2020-04-12,38.68974,-75.36253,14.0,Sussex_DW.csv,55.6,24,7.4,0.0,G
2020-04-20,Sussex,Delaware,1055,26,72409313764,2020-04-13,38.68974,-75.36253,14.0,Sussex_DW.csv,65.4,24,15.4,0.63,G
2020-04-21,Sussex,Delaware,1139,32,72409313764,2020-04-14,38.68974,-75.36253,14.0,Sussex_DW.csv,56.0,24,5.1,0.6,G
2020-04-22,Sussex,Delaware,1317,36,72409313764,2020-04-15,38.68974,-75.36253,14.0,Sussex_DW.csv,46.0,24,5.8,0.21,G
2020-04-23,Sussex,Delaware,1377,37,72409313764,2020-04-16,38.68974,-75.36253,14.0,Sussex_DW.csv,45.9,24,6.8,0.2,G
2020-04-24,Sussex,Delaware,1394,40,72409313764,2020-04-17,38.68974,-75.36253,14.0,Sussex_DW.csv,45.6,24,4.7,0.0,G
2020-04-25,Sussex,Delaware,1490,42,72409313764,2020-04-18,38.68974,-75.36253,14.0,Sussex_DW.csv,52.8,24,7.3,0.02,G
2020-04-26,Sussex,Delaware,1801,43,72409313764,2020-04-19,38.68974,-75.36253,14.0,Sussex_DW.csv,47.4,24,5.7,0.08,G
2020-04-27,Sussex,Delaware,1870,45,72409313764,2020-04-20,38.68974,-75.36253,14.0,Sussex_DW.csv,54.0,24,5.2,0.0,G
2020-04-29,Sussex,Delaware,2169,54,72409313764,2020-04-22,38.68974,-75.36253,14.0,Sussex_DW.csv,54.8,9,10.6,0.16,G
