Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-04,Westchester,New York,9,0,99799199999,2020-02-26,42.0166666,-73.9166666,12.0,Westchester_NY.csv,38.8,24,0.0,0.0,I
2020-03-05,Westchester,New York,17,0,99799199999,2020-02-27,42.0166666,-73.9166666,12.0,Westchester_NY.csv,38.9,24,3.8,0.0,I
2020-03-06,Westchester,New York,33,0,99799199999,2020-02-28,42.0166666,-73.9166666,12.0,Westchester_NY.csv,30.8,24,6.7,0.53,G
2020-03-07,Westchester,New York,69,0,99799199999,2020-02-29,42.0166666,-73.9166666,12.0,Westchester_NY.csv,28.4,24,2.5,0.0,G
2020-03-08,Westchester,New York,81,0,99799199999,2020-03-01,42.0166666,-73.9166666,12.0,Westchester_NY.csv,30.1,17,1.7,0.0,G
2020-03-09,Westchester,New York,97,0,99799199999,2020-03-02,42.0166666,-73.9166666,12.0,Westchester_NY.csv,38.6,24,1.4,0.0,G
2020-03-10,Westchester,New York,107,0,99799199999,2020-03-03,42.0166666,-73.9166666,12.0,Westchester_NY.csv,50.9,24,0.8,0.0,I
2020-03-11,Westchester,New York,120,0,99799199999,2020-03-04,42.0166666,-73.9166666,12.0,Westchester_NY.csv,47.3,23,6.6,0.0,I
2020-03-12,Westchester,New York,147,0,99799199999,2020-03-05,42.0166666,-73.9166666,12.0,Westchester_NY.csv,42.3,24,2.2,0.0,G
2020-03-13,Westchester,New York,157,0,99799199999,2020-03-06,42.0166666,-73.9166666,12.0,Westchester_NY.csv,36.4,24,0.4,0.0,I
2020-03-14,Westchester,New York,178,0,99799199999,2020-03-07,42.0166666,-73.9166666,12.0,Westchester_NY.csv,37.4,24,1.6,0.0,G
2020-03-15,Westchester,New York,195,0,99799199999,2020-03-08,42.0166666,-73.9166666,12.0,Westchester_NY.csv,37.6,24,1.1,0.0,G
2020-03-16,Westchester,New York,219,0,99799199999,2020-03-09,42.0166666,-73.9166666,12.0,Westchester_NY.csv,56.2,24,2.3,0.0,I
2020-03-17,Westchester,New York,379,0,99799199999,2020-03-10,42.0166666,-73.9166666,12.0,Westchester_NY.csv,59.6,23,2.1,0.0,I
2020-03-18,Westchester,New York,537,0,99799199999,2020-03-11,42.0166666,-73.9166666,12.0,Westchester_NY.csv,49.5,18,1.4,0.0,G
2020-03-19,Westchester,New York,797,0,99799199999,2020-03-12,42.0166666,-73.9166666,12.0,Westchester_NY.csv,42.0,24,0.7,0.0,G
2020-03-20,Westchester,New York,1091,0,99799199999,2020-03-13,42.0166666,-73.9166666,12.0,Westchester_NY.csv,48.0,15,0.9,0.0,I
2020-03-21,Westchester,New York,1387,0,99799199999,2020-03-14,42.0166666,-73.9166666,12.0,Westchester_NY.csv,45.4,12,2.2,0.6,G
2020-03-22,Westchester,New York,1873,0,99799199999,2020-03-15,42.0166666,-73.9166666,12.0,Westchester_NY.csv,42.6,24,0.7,0.0,G
2020-03-23,Westchester,New York,2894,0,99799199999,2020-03-16,42.0166666,-73.9166666,12.0,Westchester_NY.csv,34.3,24,1.6,0.0,G
2020-03-24,Westchester,New York,3891,6,99799199999,2020-03-17,42.0166666,-73.9166666,12.0,Westchester_NY.csv,39.6,24,0.8,0.0,G
2020-03-25,Westchester,New York,4691,6,99799199999,2020-03-18,42.0166666,-73.9166666,12.0,Westchester_NY.csv,43.4,24,1.1,0.02,G
2020-03-26,Westchester,New York,5944,8,99799199999,2020-03-19,42.0166666,-73.9166666,12.0,Westchester_NY.csv,43.7,24,0.7,0.0,G
2020-03-27,Westchester,New York,7187,10,99799199999,2020-03-20,42.0166666,-73.9166666,12.0,Westchester_NY.csv,50.6,24,1.7,0.44,G
2020-03-28,Westchester,New York,7875,10,99799199999,2020-03-21,42.0166666,-73.9166666,12.0,Westchester_NY.csv,46.3,24,1.7,0.17,G
2020-03-29,Westchester,New York,8519,10,99799199999,2020-03-22,42.0166666,-73.9166666,12.0,Westchester_NY.csv,33.9,24,1.0,0.0,G
2020-03-30,Westchester,New York,9326,19,99799199999,2020-03-23,42.0166666,-73.9166666,12.0,Westchester_NY.csv,33.8,24,0.5,0.0,I
2020-03-31,Westchester,New York,9967,25,99799199999,2020-03-24,42.0166666,-73.9166666,12.0,Westchester_NY.csv,37.1,24,0.2,0.0,I
2020-04-01,Westchester,New York,10683,25,99799199999,2020-03-25,42.0166666,-73.9166666,12.0,Westchester_NY.csv,37.6,24,0.4,0.0,I
2020-04-02,Westchester,New York,11566,67,99799199999,2020-03-26,42.0166666,-73.9166666,12.0,Westchester_NY.csv,41.9,23,1.3,0.0,G
2020-04-03,Westchester,New York,12350,67,99799199999,2020-03-27,42.0166666,-73.9166666,12.0,Westchester_NY.csv,54.3,24,1.2,0.0,I
2020-04-04,Westchester,New York,13080,197,99799199999,2020-03-28,42.0166666,-73.9166666,12.0,Westchester_NY.csv,42.5,23,0.1,0.0,I
2020-04-05,Westchester,New York,13722,197,99799199999,2020-03-29,42.0166666,-73.9166666,12.0,Westchester_NY.csv,44.3,24,0.0,0.14,G
2020-04-06,Westchester,New York,14293,253,99799199999,2020-03-30,42.0166666,-73.9166666,12.0,Westchester_NY.csv,44.3,24,0.5,0.12,G
2020-04-07,Westchester,New York,14804,304,99799199999,2020-03-31,42.0166666,-73.9166666,12.0,Westchester_NY.csv,42.7,24,0.3,0.04,G
2020-04-08,Westchester,New York,15887,343,99799199999,2020-04-01,42.0166666,-73.9166666,12.0,Westchester_NY.csv,43.2,24,0.8,0.02,G
2020-04-09,Westchester,New York,17004,389,99799199999,2020-04-02,42.0166666,-73.9166666,12.0,Westchester_NY.csv,45.3,19,1.9,0.01,G
2020-04-10,Westchester,New York,18077,428,99799199999,2020-04-03,42.0166666,-73.9166666,12.0,Westchester_NY.csv,47.9,22,1.7,0.0,G
2020-04-11,Westchester,New York,18729,505,99799199999,2020-04-04,42.0166666,-73.9166666,12.0,Westchester_NY.csv,51.1,24,0.8,0.0,I
2020-04-12,Westchester,New York,19313,562,99799199999,2020-04-05,42.0166666,-73.9166666,12.0,Westchester_NY.csv,54.9,24,0.4,0.0,I
2020-04-13,Westchester,New York,19785,610,99799199999,2020-04-06,42.0166666,-73.9166666,12.0,Westchester_NY.csv,53.2,24,1.2,0.0,G
2020-04-14,Westchester,New York,20191,654,99799199999,2020-04-07,42.0166666,-73.9166666,12.0,Westchester_NY.csv,54.3,23,1.2,0.0,G
2020-04-15,Westchester,New York,20947,708,99799199999,2020-04-08,42.0166666,-73.9166666,12.0,Westchester_NY.csv,52.2,23,0.3,0.0,I
2020-04-16,Westchester,New York,21828,738,99799199999,2020-04-09,42.0166666,-73.9166666,12.0,Westchester_NY.csv,47.2,17,1.6,0.0,G
2020-04-17,Westchester,New York,22476,738,99799199999,2020-04-10,42.0166666,-73.9166666,12.0,Westchester_NY.csv,42.7,24,6.4,0.0,G
2020-04-18,Westchester,New York,23179,738,99799199999,2020-04-11,42.0166666,-73.9166666,12.0,Westchester_NY.csv,44.1,24,3.8,0.0,I
2020-04-19,Westchester,New York,23803,831,99799199999,2020-04-12,42.0166666,-73.9166666,12.0,Westchester_NY.csv,44.5,24,1.4,0.0,I
2020-04-20,Westchester,New York,24306,867,99799199999,2020-04-13,42.0166666,-73.9166666,12.0,Westchester_NY.csv,56.9,24,1.7,0.0,I
2020-04-21,Westchester,New York,24655,904,99799199999,2020-04-14,42.0166666,-73.9166666,12.0,Westchester_NY.csv,51.0,24,2.8,0.01,G
2020-04-22,Westchester,New York,25275,932,99799199999,2020-04-15,42.0166666,-73.9166666,12.0,Westchester_NY.csv,44.1,24,1.9,0.0,G
2020-04-23,Westchester,New York,25959,962,99799199999,2020-04-16,42.0166666,-73.9166666,12.0,Westchester_NY.csv,39.5,24,2.0,0.0,I
2020-04-24,Westchester,New York,26632,989,99799199999,2020-04-17,42.0166666,-73.9166666,12.0,Westchester_NY.csv,39.3,24,3.0,0.0,G
2020-04-25,Westchester,New York,27230,1022,99799199999,2020-04-18,42.0166666,-73.9166666,12.0,Westchester_NY.csv,37.6,24,0.9,0.0,I
2020-04-26,Westchester,New York,27664,1054,99799199999,2020-04-19,42.0166666,-73.9166666,12.0,Westchester_NY.csv,44.9,24,2.4,0.0,I
2020-04-27,Westchester,New York,28007,1077,99799199999,2020-04-20,42.0166666,-73.9166666,12.0,Westchester_NY.csv,51.0,22,0.9,0.0,G
2020-04-28,Westchester,New York,28245,1096,99799199999,2020-04-21,42.0166666,-73.9166666,12.0,Westchester_NY.csv,39.5,18,1.2,0.0,I
2020-04-29,Westchester,New York,28625,1119,99799199999,2020-04-22,42.0166666,-73.9166666,12.0,Westchester_NY.csv,40.1,15,7.8,0.0,G
2020-04-30,Westchester,New York,28969,1144,99799199999,2020-04-23,42.0166666,-73.9166666,12.0,Westchester_NY.csv,37.5,24,2.1,0.0,G
2020-05-01,Westchester,New York,29231,1165,99799199999,2020-04-24,42.0166666,-73.9166666,12.0,Westchester_NY.csv,43.2,22,0.2,0.0,I
2020-05-02,Westchester,New York,29626,1183,99799199999,2020-04-25,42.0166666,-73.9166666,12.0,Westchester_NY.csv,47.9,24,1.3,0.0,G
2020-05-03,Westchester,New York,29884,1203,99799199999,2020-04-26,42.0166666,-73.9166666,12.0,Westchester_NY.csv,50.1,24,0.4,0.0,I
2020-05-04,Westchester,New York,30097,1220,99799199999,2020-04-27,42.0166666,-73.9166666,12.0,Westchester_NY.csv,41.2,24,0.9,0.02,G
2020-05-05,Westchester,New York,30239,1236,99799199999,2020-04-28,42.0166666,-73.9166666,12.0,Westchester_NY.csv,47.6,24,1.0,0.01,G
2020-05-06,Westchester,New York,30426,1285,99799199999,2020-04-29,42.0166666,-73.9166666,12.0,Westchester_NY.csv,49.6,24,1.0,0.0,G
2020-05-07,Westchester,New York,30709,1305,99799199999,2020-04-30,42.0166666,-73.9166666,12.0,Westchester_NY.csv,49.6,23,0.7,0.0,I
2020-05-08,Westchester,New York,30904,1316,99799199999,2020-05-01,42.0166666,-73.9166666,12.0,Westchester_NY.csv,55.7,24,0.5,1.37,G
2020-05-09,Westchester,New York,31086,1328,99799199999,2020-05-02,42.0166666,-73.9166666,12.0,Westchester_NY.csv,57.0,24,1.2,1.43,G
2020-05-10,Westchester,New York,31293,1341,99799199999,2020-05-03,42.0166666,-73.9166666,12.0,Westchester_NY.csv,64.7,24,1.4,0.0,G
2020-05-11,Westchester,New York,31383,1349,99799199999,2020-05-04,42.0166666,-73.9166666,12.0,Westchester_NY.csv,59.7,24,1.5,0.0,I
2020-05-12,Westchester,New York,31471,1360,99799199999,2020-05-05,42.0166666,-73.9166666,12.0,Westchester_NY.csv,50.7,24,1.7,0.0,I
2020-05-13,Westchester,New York,31610,1368,99799199999,2020-05-06,42.0166666,-73.9166666,12.0,Westchester_NY.csv,47.6,24,0.8,0.0,I
2020-05-14,Westchester,New York,31791,1380,99799199999,2020-05-07,42.0166666,-73.9166666,12.0,Westchester_NY.csv,51.9,24,1.2,0.0,G
2020-05-15,Westchester,New York,31942,1392,99799199999,2020-05-08,42.0166666,-73.9166666,12.0,Westchester_NY.csv,49.2,24,2.0,0.0,I
2020-05-16,Westchester,New York,32096,1398,99799199999,2020-05-09,42.0166666,-73.9166666,12.0,Westchester_NY.csv,38.8,24,4.1,0.48,G
2020-05-17,Westchester,New York,32223,1412,99799199999,2020-05-10,42.0166666,-73.9166666,12.0,Westchester_NY.csv,50.9,15,3.3,0.01,G
2020-05-18,Westchester,New York,32322,1419,99799199999,2020-05-11,42.0166666,-73.9166666,12.0,Westchester_NY.csv,47.3,24,0.7,0.0,G
2020-05-19,Westchester,New York,32401,1424,99799199999,2020-05-12,42.0166666,-73.9166666,12.0,Westchester_NY.csv,47.6,24,2.9,0.0,I
2020-05-20,Westchester,New York,32516,1430,99799199999,2020-05-13,42.0166666,-73.9166666,12.0,Westchester_NY.csv,45.5,22,1.5,0.0,I
