Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-08,Worcester,Massachusetts,1,0,72510094746,2020-03-01,42.2706,-71.8731,304.8,Worcester_MA.csv,20.7,24,10.6,0.0,G
2020-03-09,Worcester,Massachusetts,1,0,72510094746,2020-03-02,42.2706,-71.8731,304.8,Worcester_MA.csv,34.5,24,8.7,0.0,G
2020-03-10,Worcester,Massachusetts,1,0,72510094746,2020-03-03,42.2706,-71.8731,304.8,Worcester_MA.csv,48.6,24,10.4,0.0,G
2020-03-11,Worcester,Massachusetts,2,0,72510094746,2020-03-04,42.2706,-71.8731,304.8,Worcester_MA.csv,43.5,24,16.7,0.11,G
2020-03-12,Worcester,Massachusetts,2,0,72510094746,2020-03-05,42.2706,-71.8731,304.8,Worcester_MA.csv,39.0,24,9.3,0.04,G
2020-03-13,Worcester,Massachusetts,2,0,72510094746,2020-03-06,42.2706,-71.8731,304.8,Worcester_MA.csv,38.5,24,6.6,0.0,G
2020-03-14,Worcester,Massachusetts,2,0,72510094746,2020-03-07,42.2706,-71.8731,304.8,Worcester_MA.csv,33.8,24,14.2,0.01,G
2020-03-15,Worcester,Massachusetts,6,0,72510094746,2020-03-08,42.2706,-71.8731,304.8,Worcester_MA.csv,36.8,24,12.0,0.0,G
2020-03-16,Worcester,Massachusetts,8,0,72510094746,2020-03-09,42.2706,-71.8731,304.8,Worcester_MA.csv,53.3,24,13.9,0.0,G
2020-03-17,Worcester,Massachusetts,8,0,72510094746,2020-03-10,42.2706,-71.8731,304.8,Worcester_MA.csv,57.4,24,13.4,0.0,G
2020-03-18,Worcester,Massachusetts,10,0,72510094746,2020-03-11,42.2706,-71.8731,304.8,Worcester_MA.csv,47.2,24,8.7,0.0,G
2020-03-19,Worcester,Massachusetts,14,0,72510094746,2020-03-12,42.2706,-71.8731,304.8,Worcester_MA.csv,38.2,24,5.4,0.0,G
2020-03-20,Worcester,Massachusetts,19,0,72510094746,2020-03-13,42.2706,-71.8731,304.8,Worcester_MA.csv,44.3,24,11.0,0.4,G
2020-03-21,Worcester,Massachusetts,24,0,72510094746,2020-03-14,42.2706,-71.8731,304.8,Worcester_MA.csv,40.4,24,14.6,0.25,G
2020-03-22,Worcester,Massachusetts,37,0,72510094746,2020-03-15,42.2706,-71.8731,304.8,Worcester_MA.csv,38.3,24,9.8,0.0,G
2020-03-23,Worcester,Massachusetts,42,1,72510094746,2020-03-16,42.2706,-71.8731,304.8,Worcester_MA.csv,29.1,24,6.6,0.0,G
2020-03-24,Worcester,Massachusetts,73,1,72510094746,2020-03-17,42.2706,-71.8731,304.8,Worcester_MA.csv,33.8,24,6.4,0.02,G
2020-03-25,Worcester,Massachusetts,129,3,72510094746,2020-03-18,42.2706,-71.8731,304.8,Worcester_MA.csv,41.8,24,6.9,0.04,G
2020-03-26,Worcester,Massachusetts,166,4,72510094746,2020-03-19,42.2706,-71.8731,304.8,Worcester_MA.csv,37.9,24,7.7,0.38,G
2020-03-27,Worcester,Massachusetts,219,4,72510094746,2020-03-20,42.2706,-71.8731,304.8,Worcester_MA.csv,45.7,24,11.1,0.39,G
2020-03-28,Worcester,Massachusetts,291,6,72510094746,2020-03-21,42.2706,-71.8731,304.8,Worcester_MA.csv,44.0,24,13.3,0.08,G
2020-03-29,Worcester,Massachusetts,337,6,72510094746,2020-03-22,42.2706,-71.8731,304.8,Worcester_MA.csv,29.7,24,6.5,0.0,G
2020-03-30,Worcester,Massachusetts,390,6,72510094746,2020-03-23,42.2706,-71.8731,304.8,Worcester_MA.csv,29.0,24,8.0,0.0,G
2020-03-31,Worcester,Massachusetts,433,8,72510094746,2020-03-24,42.2706,-71.8731,304.8,Worcester_MA.csv,35.8,24,11.0,1.38,G
2020-04-01,Worcester,Massachusetts,563,10,72510094746,2020-03-25,42.2706,-71.8731,304.8,Worcester_MA.csv,35.0,24,6.2,0.04,G
2020-04-02,Worcester,Massachusetts,667,14,72510094746,2020-03-26,42.2706,-71.8731,304.8,Worcester_MA.csv,40.0,24,7.0,0.03,G
2020-04-03,Worcester,Massachusetts,825,15,72510094746,2020-03-27,42.2706,-71.8731,304.8,Worcester_MA.csv,50.3,24,11.7,0.0,G
2020-04-04,Worcester,Massachusetts,915,18,72510094746,2020-03-28,42.2706,-71.8731,304.8,Worcester_MA.csv,44.7,24,4.8,0.0,G
2020-04-05,Worcester,Massachusetts,978,18,72510094746,2020-03-29,42.2706,-71.8731,304.8,Worcester_MA.csv,41.0,24,8.2,0.54,G
2020-04-06,Worcester,Massachusetts,1077,19,72510094746,2020-03-30,42.2706,-71.8731,304.8,Worcester_MA.csv,36.6,24,9.7,0.55,G
2020-04-07,Worcester,Massachusetts,1172,24,72510094746,2020-03-31,42.2706,-71.8731,304.8,Worcester_MA.csv,35.7,24,6.8,0.08,G
2020-04-08,Worcester,Massachusetts,1296,30,72510094746,2020-04-01,42.2706,-71.8731,304.8,Worcester_MA.csv,35.9,24,6.6,0.0,G
2020-04-09,Worcester,Massachusetts,1461,31,72510094746,2020-04-02,42.2706,-71.8731,304.8,Worcester_MA.csv,40.2,24,14.3,0.0,G
2020-04-10,Worcester,Massachusetts,1678,38,72510094746,2020-04-03,42.2706,-71.8731,304.8,Worcester_MA.csv,41.2,24,15.4,0.34,G
2020-04-11,Worcester,Massachusetts,1822,42,72510094746,2020-04-04,42.2706,-71.8731,304.8,Worcester_MA.csv,42.8,24,8.2,0.75,G
2020-04-12,Worcester,Massachusetts,2032,49,72510094746,2020-04-05,42.2706,-71.8731,304.8,Worcester_MA.csv,46.4,24,5.5,0.04,G
2020-04-13,Worcester,Massachusetts,2128,51,72510094746,2020-04-06,42.2706,-71.8731,304.8,Worcester_MA.csv,48.8,24,8.8,0.0,G
2020-04-14,Worcester,Massachusetts,2246,57,72510094746,2020-04-07,42.2706,-71.8731,304.8,Worcester_MA.csv,49.4,24,9.3,0.0,G
2020-04-15,Worcester,Massachusetts,2350,74,72510094746,2020-04-08,42.2706,-71.8731,304.8,Worcester_MA.csv,47.1,24,5.0,0.12,G
2020-04-16,Worcester,Massachusetts,2503,84,72510094746,2020-04-09,42.2706,-71.8731,304.8,Worcester_MA.csv,42.3,24,10.2,0.03,G
2020-04-17,Worcester,Massachusetts,2765,92,72510094746,2020-04-10,42.2706,-71.8731,304.8,Worcester_MA.csv,38.4,24,17.1,0.66,G
2020-04-18,Worcester,Massachusetts,2952,103,72510094746,2020-04-11,42.2706,-71.8731,304.8,Worcester_MA.csv,38.2,24,13.9,0.07,G
2020-04-19,Worcester,Massachusetts,3069,114,72510094746,2020-04-12,42.2706,-71.8731,304.8,Worcester_MA.csv,43.6,24,9.3,0.0,G
2020-04-20,Worcester,Massachusetts,3179,117,72510094746,2020-04-13,42.2706,-71.8731,304.8,Worcester_MA.csv,53.6,24,15.9,0.17,G
2020-04-21,Worcester,Massachusetts,3341,133,72510094746,2020-04-14,42.2706,-71.8731,304.8,Worcester_MA.csv,49.0,24,12.6,1.42,G
2020-04-22,Worcester,Massachusetts,3456,143,72510094746,2020-04-15,42.2706,-71.8731,304.8,Worcester_MA.csv,42.7,24,9.4,0.0,G
2020-04-23,Worcester,Massachusetts,3798,155,72510094746,2020-04-16,42.2706,-71.8731,304.8,Worcester_MA.csv,36.4,24,8.8,0.0,G
2020-04-24,Worcester,Massachusetts,4227,166,72510094746,2020-04-17,42.2706,-71.8731,304.8,Worcester_MA.csv,36.1,24,11.2,0.0,G
2020-04-25,Worcester,Massachusetts,4460,183,72510094746,2020-04-18,42.2706,-71.8731,304.8,Worcester_MA.csv,34.7,24,7.1,0.53,G
2020-04-26,Worcester,Massachusetts,4572,206,72510094746,2020-04-19,42.2706,-71.8731,304.8,Worcester_MA.csv,42.3,24,11.9,0.1,G
