,Latitude,Longitude,Elevation,Temperature,Windspeed,Rain,Growth %
0,42.0,-87.5,202.0,34.6,11.8,0.0,0.9853
1,42.0,-87.5,202.0,48.2,25.6,0.0,0.9873
2,42.0,-87.5,202.0,53.6,26.8,0.0,0.9474
3,42.0,-87.5,202.0,40.4,16.9,0.0,0.7476
4,42.0,-87.5,202.0,37.2,7.2,0.0,0.6565
5,42.0,-87.5,202.0,41.8,12.0,0.0,0.7033
6,42.0,-87.5,202.0,44.0,18.0,0.0,0.7136
7,42.0,-87.5,202.0,36.0,11.6,0.0,0.6634
8,42.0,-87.5,202.0,34.1,14.3,0.0,0.7117
9,42.0,-87.5,202.0,35.9,8.1,0.0,0.7031
10,42.0,-87.5,202.0,38.1,11.8,0.0,0.7107
11,42.0,-87.5,202.0,37.9,9.1,0.0,0.6658
12,42.0,-87.5,202.0,39.6,9.9,0.0,0.5938
13,42.0,-87.5,202.0,46.1,20.8,0.0,0.602
14,42.0,-87.5,202.0,29.2,16.2,0.0,0.6576
15,42.0,-87.5,202.0,30.7,10.9,0.0,0.5823
16,42.0,-87.5,202.0,34.1,8.1,0.0,0.5524
17,42.0,-87.5,202.0,36.4,5.8,0.0,0.5522
18,42.0,-87.5,202.0,40.8,8.9,0.0,0.552
19,42.0,-87.5,202.0,45.7,13.0,0.0,0.5249
20,42.0,-87.5,202.0,38.0,11.9,0.0,0.504
21,42.0,-87.5,202.0,41.9,10.6,0.0,0.437
22,42.0,-87.5,202.0,50.5,24.3,0.0,0.4355
23,42.0,-87.5,202.0,43.1,17.3,0.0,0.4154
24,42.0,-87.5,202.0,37.5,11.3,0.0,0.3941
25,42.0,-87.5,202.0,37.7,13.1,0.0,0.3687
26,42.0,-87.5,202.0,35.1,3.8,0.0,0.3554
27,42.0,-87.5,202.0,43.4,6.6,0.0,0.3538
28,42.0,-87.5,202.0,44.0,11.1,0.0,0.3618
29,42.0,-87.5,202.0,37.9,11.0,0.0,0.3145
30,42.0,-87.5,202.0,41.5,7.4,0.0,0.3055
31,42.0,-87.5,202.0,58.9,10.6,0.0,0.2961
32,42.0,-87.5,202.0,50.9,8.9,0.0,0.2881
33,42.0,-87.5,202.0,44.7,20.7,0.0,0.2853
34,42.0,-87.5,202.0,37.9,15.7,0.0,0.297
35,42.0,-87.5,202.0,45.4,10.3,0.0,0.2895
36,42.0,-87.5,202.0,51.4,13.6,0.0,0.3062
37,42.0,-87.5,202.0,43.4,22.4,0.0,0.3299
38,42.0,-87.5,202.0,35.2,18.8,0.0,0.3187
39,42.0,-87.5,202.0,32.3,10.4,0.0,0.3216
40,42.0,-87.5,202.0,35.6,12.1,0.0,0.3356
41,42.0,-87.5,202.0,37.5,9.8,0.0,0.3185
42,42.0,-87.5,202.0,43.2,16.8,0.0,0.3266
43,42.0,-87.5,202.0,48.9,19.8,0.0,0.3235
44,42.0,-87.5,202.0,48.1,8.4,0.0,0.309
45,42.0,-87.5,202.0,45.0,20.6,0.0,0.3017
46,42.0,-87.5,202.0,41.5,12.6,0.0,0.2924
47,42.0,-87.5,202.0,44.5,10.0,0.0,0.2687
48,42.0,-87.5,202.0,40.5,13.0,0.0,0.2556
49,42.0,-87.5,202.0,41.8,14.2,0.0,0.2361
50,42.0,-87.5,202.0,42.9,16.3,0.0,0.2155
51,42.0,-87.5,202.0,52.5,12.1,0.0,0.1985
52,42.0,-87.5,202.0,55.5,12.7,0.0,0.2349
53,42.0,-87.5,202.0,52.5,12.0,0.0,0.2265
54,42.0,-87.5,202.0,43.1,26.5,0.0,0.2274
55,42.0,-87.5,202.0,48.0,9.6,0.0,0.2236
56,42.0,-87.5,202.0,61.8,15.2,0.0,0.2227
57,42.0,-87.5,202.0,65.3,12.8,0.0,0.2204
58,42.0,-87.5,202.0,43.6,18.1,0.0,0.2191
59,42.0,-87.5,202.0,42.5,12.6,0.0,0.1702
60,42.0,-87.5,202.0,44.1,12.5,0.0,0.1687
0,42.2706,-71.8731,304.8,20.7,10.6,0.0,0.8333
1,42.2706,-71.8731,304.8,34.5,8.7,0.0,0.875
2,42.2706,-71.8731,304.8,48.6,10.4,0.0,0.875
3,42.2706,-71.8731,304.8,43.5,16.7,0.11,0.8
4,42.2706,-71.8731,304.8,39.0,9.3,0.04,0.8571
5,42.2706,-71.8731,304.8,38.5,6.6,0.0,0.8947
6,42.2706,-71.8731,304.8,33.8,14.2,0.01,0.9167
7,42.2706,-71.8731,304.8,36.8,12.0,0.0,0.8378
8,42.2706,-71.8731,304.8,53.3,13.9,0.0,0.8095
9,42.2706,-71.8731,304.8,57.4,13.4,0.0,0.8904
10,42.2706,-71.8731,304.8,47.2,8.7,0.0,0.9225
11,42.2706,-71.8731,304.8,38.2,5.4,0.0,0.9157
12,42.2706,-71.8731,304.8,44.3,11.0,0.4,0.9132
13,42.2706,-71.8731,304.8,40.4,14.6,0.25,0.9175
14,42.2706,-71.8731,304.8,38.3,9.8,0.0,0.8902
15,42.2706,-71.8731,304.8,29.1,6.6,0.0,0.8923
16,42.2706,-71.8731,304.8,33.8,6.4,0.02,0.8314
17,42.2706,-71.8731,304.8,41.8,6.9,0.04,0.7709
18,42.2706,-71.8731,304.8,37.9,7.7,0.38,0.7511
19,42.2706,-71.8731,304.8,45.7,11.1,0.39,0.7345
20,42.2706,-71.8731,304.8,44.0,13.3,0.08,0.682
21,42.2706,-71.8731,304.8,29.7,6.5,0.0,0.6554
22,42.2706,-71.8731,304.8,29.0,8.0,0.0,0.6379
23,42.2706,-71.8731,304.8,35.8,11.0,1.38,0.6305
24,42.2706,-71.8731,304.8,35.0,6.2,0.04,0.5656
25,42.2706,-71.8731,304.8,40.0,7.0,0.03,0.5435
26,42.2706,-71.8731,304.8,50.3,11.7,0.0,0.5083
27,42.2706,-71.8731,304.8,44.7,4.8,0.0,0.4978
28,42.2706,-71.8731,304.8,41.0,8.2,0.54,0.5187
29,42.2706,-71.8731,304.8,36.6,9.7,0.55,0.4939
30,42.2706,-71.8731,304.8,35.7,6.8,0.08,0.4782
31,42.2706,-71.8731,304.8,35.9,6.6,0.0,0.4485
32,42.2706,-71.8731,304.8,40.2,14.3,0.0,0.4163
33,42.2706,-71.8731,304.8,41.2,15.4,0.34,0.3931
34,42.2706,-71.8731,304.8,42.8,8.2,0.75,0.3828
35,42.2706,-71.8731,304.8,46.4,5.5,0.04,0.3379
36,42.2706,-71.8731,304.8,48.8,8.8,0.0,0.3306
37,42.2706,-71.8731,304.8,49.4,9.3,0.0,0.3277
38,42.2706,-71.8731,304.8,47.1,5.0,0.12,0.32
39,42.2706,-71.8731,304.8,42.3,10.2,0.03,0.341
40,42.2706,-71.8731,304.8,38.4,17.1,0.66,0.3459
41,42.2706,-71.8731,304.8,38.2,13.9,0.07,0.3381
42,42.2706,-71.8731,304.8,43.6,9.3,0.0,0.3287
43,42.2706,-71.8731,304.8,53.6,15.9,0.17,0.3299
44,42.2706,-71.8731,304.8,49.0,12.6,1.42,0.3317
45,42.2706,-71.8731,304.8,42.7,9.4,0.0,0.3479
