,Latitude,Longitude,Elevation,Temperature,Windspeed,Rain,Growth %
0,42.0,-87.5,202.0,34.6,11.8,0.0,98.5294
1,42.0,-87.5,202.0,48.2,25.6,0.0,98.7342
2,42.0,-87.5,202.0,53.6,26.8,0.0,94.7368
3,42.0,-87.5,202.0,40.4,16.9,0.0,74.7573
4,42.0,-87.5,202.0,37.2,7.2,0.0,65.6489
5,42.0,-87.5,202.0,41.8,12.0,0.0,70.3297
6,42.0,-87.5,202.0,44.0,18.0,0.0,71.3568
7,42.0,-87.5,202.0,36.0,11.6,0.0,66.3366
8,42.0,-87.5,202.0,34.1,14.3,0.0,71.1679
9,42.0,-87.5,202.0,35.9,8.1,0.0,70.3125
10,42.0,-87.5,202.0,38.1,11.8,0.0,71.0674
11,42.0,-87.5,202.0,37.9,9.1,0.0,66.5816
12,42.0,-87.5,202.0,39.6,9.9,0.0,59.375
13,42.0,-87.5,202.0,46.1,20.8,0.0,60.2
14,42.0,-87.5,202.0,29.2,16.2,0.0,65.7627
15,42.0,-87.5,202.0,30.7,10.9,0.0,58.2317
16,42.0,-87.5,202.0,34.1,8.1,0.0,55.2448
17,42.0,-87.5,202.0,36.4,5.8,0.0,55.2201
18,42.0,-87.5,202.0,40.8,8.9,0.0,55.2
19,42.0,-87.5,202.0,45.7,13.0,0.0,52.492
20,42.0,-87.5,202.0,38.0,11.9,0.0,50.3968
21,42.0,-87.5,202.0,41.9,10.6,0.0,43.7023
22,42.0,-87.5,202.0,50.5,24.3,0.0,43.5456
23,42.0,-87.5,202.0,43.1,17.3,0.0,41.5372
24,42.0,-87.5,202.0,37.5,11.3,0.0,39.4055
25,42.0,-87.5,202.0,37.7,13.1,0.0,36.8687
26,42.0,-87.5,202.0,35.1,3.8,0.0,35.5434
27,42.0,-87.5,202.0,43.4,6.6,0.0,35.3846
28,42.0,-87.5,202.0,44.0,11.1,0.0,36.1754
29,42.0,-87.5,202.0,37.9,11.0,0.0,31.4454
30,42.0,-87.5,202.0,41.5,7.4,0.0,30.5508
31,42.0,-87.5,202.0,58.9,10.6,0.0,29.6137
32,42.0,-87.5,202.0,50.9,8.9,0.0,28.8136
33,42.0,-87.5,202.0,44.7,20.7,0.0,28.5296
34,42.0,-87.5,202.0,37.9,15.7,0.0,29.6981
35,42.0,-87.5,202.0,45.4,10.3,0.0,28.9485
36,42.0,-87.5,202.0,51.4,13.6,0.0,30.6181
37,42.0,-87.5,202.0,43.4,22.4,0.0,32.9909
38,42.0,-87.5,202.0,35.2,18.8,0.0,31.8713
39,42.0,-87.5,202.0,32.3,10.4,0.0,32.1603
40,42.0,-87.5,202.0,35.6,12.1,0.0,33.5605
41,42.0,-87.5,202.0,37.5,9.8,0.0,31.8489
42,42.0,-87.5,202.0,43.2,16.8,0.0,32.6632
43,42.0,-87.5,202.0,48.9,19.8,0.0,32.3456
44,42.0,-87.5,202.0,48.1,8.4,0.0,30.8967
45,42.0,-87.5,202.0,45.0,20.6,0.0,30.1685
46,42.0,-87.5,202.0,41.5,12.6,0.0,29.2406
47,42.0,-87.5,202.0,44.5,10.0,0.0,26.8692
48,42.0,-87.5,202.0,40.5,13.0,0.0,25.5601
49,42.0,-87.5,202.0,41.8,14.2,0.0,23.6145
50,42.0,-87.5,202.0,42.9,16.3,0.0,21.5512
51,42.0,-87.5,202.0,52.5,12.1,0.0,19.8525
52,42.0,-87.5,202.0,55.5,12.7,0.0,23.4915
53,42.0,-87.5,202.0,52.5,12.0,0.0,22.6545
54,42.0,-87.5,202.0,43.1,26.5,0.0,22.7398
55,42.0,-87.5,202.0,48.0,9.6,0.0,22.3642
56,42.0,-87.5,202.0,61.8,15.2,0.0,22.2664
57,42.0,-87.5,202.0,65.3,12.8,0.0,22.0359
58,42.0,-87.5,202.0,43.6,18.1,0.0,21.9059
59,42.0,-87.5,202.0,42.5,12.6,0.0,17.0151
60,42.0,-87.5,202.0,44.1,12.5,0.0,16.8675
0,42.2706,-71.8731,304.8,20.7,10.6,0.0,83.3333
1,42.2706,-71.8731,304.8,34.5,8.7,0.0,87.5
2,42.2706,-71.8731,304.8,48.6,10.4,0.0,87.5
3,42.2706,-71.8731,304.8,43.5,16.7,0.11,80.0
4,42.2706,-71.8731,304.8,39.0,9.3,0.04,85.7143
5,42.2706,-71.8731,304.8,38.5,6.6,0.0,89.4737
6,42.2706,-71.8731,304.8,33.8,14.2,0.01,91.6667
7,42.2706,-71.8731,304.8,36.8,12.0,0.0,83.7838
8,42.2706,-71.8731,304.8,53.3,13.9,0.0,80.9524
9,42.2706,-71.8731,304.8,57.4,13.4,0.0,89.0411
10,42.2706,-71.8731,304.8,47.2,8.7,0.0,92.2481
11,42.2706,-71.8731,304.8,38.2,5.4,0.0,91.5663
12,42.2706,-71.8731,304.8,44.3,11.0,0.4,91.3242
13,42.2706,-71.8731,304.8,40.4,14.6,0.25,91.7526
14,42.2706,-71.8731,304.8,38.3,9.8,0.0,89.0208
15,42.2706,-71.8731,304.8,29.1,6.6,0.0,89.2308
16,42.2706,-71.8731,304.8,33.8,6.4,0.02,83.1409
17,42.2706,-71.8731,304.8,41.8,6.9,0.04,77.087
18,42.2706,-71.8731,304.8,37.9,7.7,0.38,75.1124
19,42.2706,-71.8731,304.8,45.7,11.1,0.39,73.4545
20,42.2706,-71.8731,304.8,44.0,13.3,0.08,68.1967
21,42.2706,-71.8731,304.8,29.7,6.5,0.0,65.5419
22,42.2706,-71.8731,304.8,29.0,8.0,0.0,63.7883
23,42.2706,-71.8731,304.8,35.8,11.0,1.38,63.0546
24,42.2706,-71.8731,304.8,35.0,6.2,0.04,56.5586
25,42.2706,-71.8731,304.8,40.0,7.0,0.03,54.3463
26,42.2706,-71.8731,304.8,50.3,11.7,0.0,50.8343
27,42.2706,-71.8731,304.8,44.7,4.8,0.0,49.7805
28,42.2706,-71.8731,304.8,41.0,8.2,0.54,51.8701
29,42.2706,-71.8731,304.8,36.6,9.7,0.55,49.3891
30,42.2706,-71.8731,304.8,35.7,6.8,0.08,47.8183
31,42.2706,-71.8731,304.8,35.9,6.6,0.0,44.8511
32,42.2706,-71.8731,304.8,40.2,14.3,0.0,41.63
33,42.2706,-71.8731,304.8,41.2,15.4,0.34,39.3128
34,42.2706,-71.8731,304.8,42.8,8.2,0.75,38.2791
35,42.2706,-71.8731,304.8,46.4,5.5,0.04,33.7895
36,42.2706,-71.8731,304.8,48.8,8.8,0.0,33.0607
37,42.2706,-71.8731,304.8,49.4,9.3,0.0,32.7746
38,42.2706,-71.8731,304.8,47.1,5.0,0.12,32.0023
39,42.2706,-71.8731,304.8,42.3,10.2,0.03,34.0969
