"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"99773799999","2020-04-20","47.27","-91.08","198.0","SILVER BAY, MN US","  45.1"," 5","9999.9"," 0"," 998.1"," 5","999.9"," 0","999.9"," 0"," 16.2"," 5"," 20.0","999.9","  47.7","*","  40.8","*"," 0.00","I","999.9","000000"
"99773799999","2020-04-21","47.27","-91.08","198.0","SILVER BAY, MN US","  30.0","24","9999.9"," 0","1011.1","24","999.9"," 0","999.9"," 0","  9.0","24"," 15.9","999.9","  37.2","*","  23.0","*"," 0.00","I","999.9","000000"
"99773799999","2020-04-22","47.27","-91.08","198.0","SILVER BAY, MN US","  33.5","24","9999.9"," 0","1014.0","24","999.9"," 0","999.9"," 0"," 12.1","24"," 19.0","999.9","  35.1","*","  32.2","*"," 0.00","I","999.9","000000"
"99773799999","2020-04-23","47.27","-91.08","198.0","SILVER BAY, MN US","  35.3","24","9999.9"," 0","1011.1","24","999.9"," 0","999.9"," 0"," 12.1","24"," 19.0","999.9","  38.7","*","  32.9","*"," 0.00","I","999.9","000000"
"99773799999","2020-04-24","47.27","-91.08","198.0","SILVER BAY, MN US","  36.1","23","9999.9"," 0","1012.5","23","999.9"," 0","999.9"," 0","  5.2","23","  8.9","999.9","  39.6","*","  34.2","*"," 0.00","I","999.9","000000"
"99773799999","2020-04-25","47.27","-91.08","198.0","SILVER BAY, MN US","  39.7","24","9999.9"," 0","1017.7","24","999.9"," 0","999.9"," 0","  6.2","24","  9.9","999.9","  45.5","*","  35.4","*"," 0.00","I","999.9","000000"
"99773799999","2020-04-26","47.27","-91.08","198.0","SILVER BAY, MN US","  42.0","24","9999.9"," 0","1022.6","24","999.9"," 0","999.9"," 0","  7.8","24"," 12.0","999.9","  44.6","*","  39.9","*"," 0.00","I","999.9","000000"
"99773799999","2020-04-27","47.27","-91.08","198.0","SILVER BAY, MN US","  39.9","24","9999.9"," 0","1015.0","24","999.9"," 0","999.9"," 0","  9.6","24"," 14.0","999.9","  41.9","*","  37.2","*"," 0.00","I","999.9","000000"
"99773799999","2020-04-28","47.27","-91.08","198.0","SILVER BAY, MN US","  39.1","24","9999.9"," 0","1012.4","24","999.9"," 0","999.9"," 0","  7.9","24"," 12.0","999.9","  40.8","*","  37.2","*"," 0.00","I","999.9","000000"
"99773799999","2020-04-29","47.27","-91.08","198.0","SILVER BAY, MN US","  44.9","24","9999.9"," 0","1014.2","23","999.9"," 0","999.9"," 0","  8.3","23"," 15.0","999.9","  53.2","*","  39.7","*"," 0.00","I","999.9","000000"
