Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-01,Alameda,California,1,0,99847699999,2020-02-23,37.811,-122.333,10.0,Alameda_CA.csv,52.2,24,5.7,0.0,I
2020-03-02,Alameda,California,1,0,99847699999,2020-02-24,37.811,-122.333,10.0,Alameda_CA.csv,54.0,24,4.5,0.0,I
2020-03-03,Alameda,California,2,0,99847699999,2020-02-25,37.811,-122.333,10.0,Alameda_CA.csv,56.0,24,2.7,0.0,I
2020-03-04,Alameda,California,2,0,99847699999,2020-02-26,37.811,-122.333,10.0,Alameda_CA.csv,57.1,24,3.8,0.0,I
2020-03-05,Alameda,California,2,0,99847699999,2020-02-27,37.811,-122.333,10.0,Alameda_CA.csv,57.3,24,4.0,0.0,I
2020-03-06,Alameda,California,3,0,99847699999,2020-02-28,37.811,-122.333,10.0,Alameda_CA.csv,57.2,24,5.3,0.0,I
2020-03-07,Alameda,California,3,0,99847699999,2020-02-29,37.811,-122.333,10.0,Alameda_CA.csv,52.8,24,6.8,0.0,I
2020-03-08,Alameda,California,3,0,99847699999,2020-03-01,37.811,-122.333,10.0,Alameda_CA.csv,50.6,23,8.5,0.0,I
2020-03-09,Alameda,California,24,0,99847699999,2020-03-02,37.811,-122.333,10.0,Alameda_CA.csv,57.7,24,14.7,0.0,I
2020-03-10,Alameda,California,25,0,99847699999,2020-03-03,37.811,-122.333,10.0,Alameda_CA.csv,59.6,24,6.0,0.0,I
2020-03-11,Alameda,California,25,0,99847699999,2020-03-04,37.811,-122.333,10.0,Alameda_CA.csv,55.9,24,3.7,0.0,I
2020-03-12,Alameda,California,29,0,99847699999,2020-03-05,37.811,-122.333,10.0,Alameda_CA.csv,55.5,24,6.7,0.0,I
2020-03-13,Alameda,California,29,0,99847699999,2020-03-06,37.811,-122.333,10.0,Alameda_CA.csv,54.0,24,6.6,0.0,I
2020-03-14,Alameda,California,29,0,99847699999,2020-03-07,37.811,-122.333,10.0,Alameda_CA.csv,50.9,24,6.4,0.0,I
2020-03-15,Alameda,California,37,0,99847699999,2020-03-08,37.811,-122.333,10.0,Alameda_CA.csv,50.4,24,4.7,0.0,I
2020-03-16,Alameda,California,40,0,99847699999,2020-03-09,37.811,-122.333,10.0,Alameda_CA.csv,53.7,24,4.5,0.0,I
2020-03-17,Alameda,California,49,0,99847699999,2020-03-10,37.811,-122.333,10.0,Alameda_CA.csv,57.0,24,6.6,0.0,I
2020-03-18,Alameda,California,53,0,99847699999,2020-03-11,37.811,-122.333,10.0,Alameda_CA.csv,58.8,19,4.2,0.0,I
2020-03-19,Alameda,California,57,0,99847699999,2020-03-12,37.811,-122.333,10.0,Alameda_CA.csv,53.2,23,6.0,0.0,I
2020-03-20,Alameda,California,67,0,99847699999,2020-03-13,37.811,-122.333,10.0,Alameda_CA.csv,54.8,20,4.7,0.0,I
2020-03-21,Alameda,California,87,0,99847699999,2020-03-14,37.811,-122.333,10.0,Alameda_CA.csv,50.9,13,7.7,0.0,I
2020-03-22,Alameda,California,127,0,99847699999,2020-03-15,37.811,-122.333,10.0,Alameda_CA.csv,50.7,24,9.1,0.0,I
2020-03-23,Alameda,California,139,1,99847699999,2020-03-16,37.811,-122.333,10.0,Alameda_CA.csv,46.9,24,5.1,0.0,I
2020-03-24,Alameda,California,151,2,99847699999,2020-03-17,37.811,-122.333,10.0,Alameda_CA.csv,49.1,24,4.7,0.0,I
2020-03-25,Alameda,California,156,2,99847699999,2020-03-18,37.811,-122.333,10.0,Alameda_CA.csv,49.8,24,6.2,0.0,I
2020-03-26,Alameda,California,199,4,99847699999,2020-03-19,37.811,-122.333,10.0,Alameda_CA.csv,51.0,23,4.9,0.0,I
2020-03-27,Alameda,California,241,4,99847699999,2020-03-20,37.811,-122.333,10.0,Alameda_CA.csv,52.7,24,4.8,0.0,I
2020-03-28,Alameda,California,277,6,99847699999,2020-03-21,37.811,-122.333,10.0,Alameda_CA.csv,54.0,24,5.8,0.0,I
2020-03-29,Alameda,California,291,6,99847699999,2020-03-22,37.811,-122.333,10.0,Alameda_CA.csv,55.1,24,5.5,0.0,I
2020-03-30,Alameda,California,304,7,99847699999,2020-03-23,37.811,-122.333,10.0,Alameda_CA.csv,53.8,24,7.3,0.0,I
2020-03-31,Alameda,California,334,7,99847699999,2020-03-24,37.811,-122.333,10.0,Alameda_CA.csv,52.4,24,7.6,0.0,I
2020-04-01,Alameda,California,380,8,99847699999,2020-03-25,37.811,-122.333,10.0,Alameda_CA.csv,50.1,24,6.5,0.0,I
2020-04-02,Alameda,California,417,9,99847699999,2020-03-26,37.811,-122.333,10.0,Alameda_CA.csv,48.9,24,8.8,0.0,I
2020-04-03,Alameda,California,464,12,99847699999,2020-03-27,37.811,-122.333,10.0,Alameda_CA.csv,51.0,24,8.6,0.0,I
2020-04-04,Alameda,California,464,12,99847699999,2020-03-28,37.811,-122.333,10.0,Alameda_CA.csv,52.6,24,5.5,0.0,I
2020-04-05,Alameda,California,587,12,99847699999,2020-03-29,37.811,-122.333,10.0,Alameda_CA.csv,53.2,24,5.4,0.0,I
2020-04-06,Alameda,California,609,13,99847699999,2020-03-30,37.811,-122.333,10.0,Alameda_CA.csv,54.5,24,5.7,0.0,I
2020-04-07,Alameda,California,655,15,99847699999,2020-03-31,37.811,-122.333,10.0,Alameda_CA.csv,54.8,24,5.8,0.0,I
2020-04-08,Alameda,California,695,16,99847699999,2020-04-01,37.811,-122.333,10.0,Alameda_CA.csv,53.8,24,8.7,0.0,I
2020-04-09,Alameda,California,734,17,99847699999,2020-04-02,37.811,-122.333,10.0,Alameda_CA.csv,54.0,21,9.7,0.0,I
2020-04-10,Alameda,California,766,20,99847699999,2020-04-03,37.811,-122.333,10.0,Alameda_CA.csv,53.0,24,5.9,0.0,I
2020-04-11,Alameda,California,827,21,99847699999,2020-04-04,37.811,-122.333,10.0,Alameda_CA.csv,52.5,24,9.4,0.0,I
2020-04-12,Alameda,California,864,23,99847699999,2020-04-05,37.811,-122.333,10.0,Alameda_CA.csv,53.1,24,9.2,0.0,I
2020-04-13,Alameda,California,907,23,99847699999,2020-04-06,37.811,-122.333,10.0,Alameda_CA.csv,49.7,24,5.3,0.0,I
2020-04-14,Alameda,California,908,23,99847699999,2020-04-07,37.811,-122.333,10.0,Alameda_CA.csv,49.0,24,4.2,0.0,I
2020-04-15,Alameda,California,983,36,99847699999,2020-04-08,37.811,-122.333,10.0,Alameda_CA.csv,53.8,23,7.0,0.0,I
2020-04-16,Alameda,California,1069,40,99847699999,2020-04-09,37.811,-122.333,10.0,Alameda_CA.csv,55.2,24,5.3,0.0,I
2020-04-17,Alameda,California,1084,40,99847699999,2020-04-10,37.811,-122.333,10.0,Alameda_CA.csv,55.7,24,7.0,0.0,I
