Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-11,Baltimore,Maryland,1,0,99729699999,2020-03-04,39.27,-76.57,10.0,Baltimore_MD.csv,54.0,24,6.0,0.0,I
2020-03-12,Baltimore,Maryland,1,0,99729699999,2020-03-05,39.27,-76.57,10.0,Baltimore_MD.csv,49.4,24,5.5,0.0,I
2020-03-13,Baltimore,Maryland,2,0,99729699999,2020-03-06,39.27,-76.57,10.0,Baltimore_MD.csv,42.2,24,5.0,0.0,I
2020-03-14,Baltimore,Maryland,3,0,99729699999,2020-03-07,39.27,-76.57,10.0,Baltimore_MD.csv,41.9,24,12.3,0.0,I
2020-03-15,Baltimore,Maryland,3,0,99729699999,2020-03-08,39.27,-76.57,10.0,Baltimore_MD.csv,47.4,24,3.7,0.0,I
2020-03-16,Baltimore,Maryland,4,0,99729699999,2020-03-09,39.27,-76.57,10.0,Baltimore_MD.csv,50.0,24,1.9,0.0,I
2020-03-17,Baltimore,Maryland,4,0,99729699999,2020-03-10,39.27,-76.57,10.0,Baltimore_MD.csv,60.3,24,4.6,0.0,I
2020-03-18,Baltimore,Maryland,7,0,99729699999,2020-03-11,39.27,-76.57,10.0,Baltimore_MD.csv,54.5,19,5.2,0.0,I
2020-03-19,Baltimore,Maryland,13,0,99729699999,2020-03-12,39.27,-76.57,10.0,Baltimore_MD.csv,49.6,24,3.2,0.0,I
2020-03-20,Baltimore,Maryland,13,1,99729699999,2020-03-13,39.27,-76.57,10.0,Baltimore_MD.csv,57.7,19,5.9,0.0,I
2020-03-21,Baltimore,Maryland,19,1,99729699999,2020-03-14,39.27,-76.57,10.0,Baltimore_MD.csv,52.6,13,4.4,0.0,I
2020-03-22,Baltimore,Maryland,28,1,99729699999,2020-03-15,39.27,-76.57,10.0,Baltimore_MD.csv,45.0,24,6.0,0.0,I
2020-03-23,Baltimore,Maryland,35,1,99729699999,2020-03-16,39.27,-76.57,10.0,Baltimore_MD.csv,45.2,24,5.7,0.0,I
2020-03-24,Baltimore,Maryland,42,1,99729699999,2020-03-17,39.27,-76.57,10.0,Baltimore_MD.csv,47.9,24,3.8,0.0,I
2020-03-25,Baltimore,Maryland,51,1,99729699999,2020-03-18,39.27,-76.57,10.0,Baltimore_MD.csv,50.4,24,6.0,0.0,I
2020-03-26,Baltimore,Maryland,81,1,99729699999,2020-03-19,39.27,-76.57,10.0,Baltimore_MD.csv,51.7,24,3.5,0.0,I
2020-03-27,Baltimore,Maryland,103,1,99729699999,2020-03-20,39.27,-76.57,10.0,Baltimore_MD.csv,62.2,24,5.2,0.0,I
2020-03-28,Baltimore,Maryland,141,1,99729699999,2020-03-21,39.27,-76.57,10.0,Baltimore_MD.csv,57.2,24,8.8,0.0,I
2020-03-29,Baltimore,Maryland,162,1,99729699999,2020-03-22,39.27,-76.57,10.0,Baltimore_MD.csv,43.6,24,9.4,0.0,I
2020-03-30,Baltimore,Maryland,186,1,99729699999,2020-03-23,39.27,-76.57,10.0,Baltimore_MD.csv,42.8,24,8.2,0.0,I
2020-03-31,Baltimore,Maryland,227,1,99729699999,2020-03-24,39.27,-76.57,10.0,Baltimore_MD.csv,47.4,24,4.3,0.0,I
2020-04-01,Baltimore,Maryland,289,1,99729699999,2020-03-25,39.27,-76.57,10.0,Baltimore_MD.csv,47.1,24,7.6,0.0,I
2020-04-02,Baltimore,Maryland,353,1,99729699999,2020-03-26,39.27,-76.57,10.0,Baltimore_MD.csv,47.9,24,3.6,0.0,I
2020-04-03,Baltimore,Maryland,427,3,99729699999,2020-03-27,39.27,-76.57,10.0,Baltimore_MD.csv,55.3,24,3.0,0.0,I
2020-04-04,Baltimore,Maryland,491,4,99729699999,2020-03-28,39.27,-76.57,10.0,Baltimore_MD.csv,54.2,24,4.2,0.0,I
2020-04-05,Baltimore,Maryland,590,6,99729699999,2020-03-29,39.27,-76.57,10.0,Baltimore_MD.csv,51.0,24,4.5,0.0,I
2020-04-06,Baltimore,Maryland,648,11,99729699999,2020-03-30,39.27,-76.57,10.0,Baltimore_MD.csv,58.4,24,5.3,0.0,I
2020-04-07,Baltimore,Maryland,652,11,99729699999,2020-03-31,39.27,-76.57,10.0,Baltimore_MD.csv,51.0,24,7.8,0.0,I
2020-04-08,Baltimore,Maryland,866,13,99729699999,2020-04-01,39.27,-76.57,10.0,Baltimore_MD.csv,46.2,24,8.8,0.0,I
2020-04-09,Baltimore,Maryland,979,16,99729699999,2020-04-02,39.27,-76.57,10.0,Baltimore_MD.csv,50.6,21,8.5,0.0,I
2020-04-10,Baltimore,Maryland,1072,21,99729699999,2020-04-03,39.27,-76.57,10.0,Baltimore_MD.csv,54.4,24,11.8,0.0,I
2020-04-11,Baltimore,Maryland,1173,26,99729699999,2020-04-04,39.27,-76.57,10.0,Baltimore_MD.csv,52.2,24,7.8,0.0,I
2020-04-12,Baltimore,Maryland,1257,30,99729699999,2020-04-05,39.27,-76.57,10.0,Baltimore_MD.csv,55.8,24,2.8,0.0,I
2020-04-13,Baltimore,Maryland,1361,31,99729699999,2020-04-06,39.27,-76.57,10.0,Baltimore_MD.csv,58.3,22,4.3,0.0,I
2020-04-14,Baltimore,Maryland,1377,41,99729699999,2020-04-07,39.27,-76.57,10.0,Baltimore_MD.csv,58.4,24,2.0,0.0,I
2020-04-15,Baltimore,Maryland,1490,32,99729699999,2020-04-08,39.27,-76.57,10.0,Baltimore_MD.csv,64.7,24,4.2,0.0,I
2020-04-16,Baltimore,Maryland,1522,37,99729699999,2020-04-09,39.27,-76.57,10.0,Baltimore_MD.csv,59.2,24,7.0,0.0,I
2020-04-17,Baltimore,Maryland,1576,44,99729699999,2020-04-10,39.27,-76.57,10.0,Baltimore_MD.csv,47.0,24,10.9,0.0,I
2020-04-18,Baltimore,Maryland,1671,45,99729699999,2020-04-11,39.27,-76.57,10.0,Baltimore_MD.csv,48.5,24,7.2,0.0,I
2020-04-19,Baltimore,Maryland,1739,50,99729699999,2020-04-12,39.27,-76.57,10.0,Baltimore_MD.csv,53.8,24,4.0,0.0,I
2020-04-20,Baltimore,Maryland,1881,50,99729699999,2020-04-13,39.27,-76.57,10.0,Baltimore_MD.csv,63.4,24,6.8,0.0,I
2020-04-21,Baltimore,Maryland,1932,58,99729699999,2020-04-14,39.27,-76.57,10.0,Baltimore_MD.csv,54.6,24,6.6,0.0,I
2020-04-22,Baltimore,Maryland,2021,67,99729699999,2020-04-15,39.27,-76.57,10.0,Baltimore_MD.csv,45.4,24,7.6,0.0,I
