Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-10,Burlington,New Jersey,2,0,99768799999,2020-03-03,40.08,-74.88,9.0,Burlington_NJ.csv,52.5,24,5.7,0.0,I
2020-03-11,Burlington,New Jersey,2,0,99768799999,2020-03-04,40.08,-74.88,9.0,Burlington_NJ.csv,49.3,24,11.2,0.0,I
2020-03-12,Burlington,New Jersey,2,0,99768799999,2020-03-05,40.08,-74.88,9.0,Burlington_NJ.csv,47.5,24,4.4,0.0,I
2020-03-13,Burlington,New Jersey,3,0,99768799999,2020-03-06,40.08,-74.88,9.0,Burlington_NJ.csv,40.5,24,3.5,0.0,I
2020-03-14,Burlington,New Jersey,3,0,99768799999,2020-03-07,40.08,-74.88,9.0,Burlington_NJ.csv,39.4,24,5.7,0.0,I
2020-03-15,Burlington,New Jersey,4,0,99768799999,2020-03-08,40.08,-74.88,9.0,Burlington_NJ.csv,42.7,24,5.8,0.0,I
2020-03-16,Burlington,New Jersey,5,0,99768799999,2020-03-09,40.08,-74.88,9.0,Burlington_NJ.csv,52.9,24,6.9,0.0,I
2020-03-17,Burlington,New Jersey,5,0,99768799999,2020-03-10,40.08,-74.88,9.0,Burlington_NJ.csv,58.9,24,8.6,0.0,I
2020-03-18,Burlington,New Jersey,10,0,99768799999,2020-03-11,40.08,-74.88,9.0,Burlington_NJ.csv,55.3,19,5.5,0.0,I
2020-03-19,Burlington,New Jersey,14,0,99768799999,2020-03-12,40.08,-74.88,9.0,Burlington_NJ.csv,45.6,24,3.6,0.0,I
2020-03-20,Burlington,New Jersey,17,0,99768799999,2020-03-13,40.08,-74.88,9.0,Burlington_NJ.csv,55.4,18,9.4,0.0,I
2020-03-21,Burlington,New Jersey,20,0,99768799999,2020-03-14,40.08,-74.88,9.0,Burlington_NJ.csv,50.8,14,6.1,0.0,I
2020-03-22,Burlington,New Jersey,26,0,99768799999,2020-03-15,40.08,-74.88,9.0,Burlington_NJ.csv,46.9,24,3.4,0.0,I
2020-03-23,Burlington,New Jersey,36,0,99768799999,2020-03-16,40.08,-74.88,9.0,Burlington_NJ.csv,41.8,24,6.4,0.0,I
2020-03-24,Burlington,New Jersey,42,0,99768799999,2020-03-17,40.08,-74.88,9.0,Burlington_NJ.csv,44.8,24,4.8,0.0,I
