Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-09,Cuyahoga,Ohio,3,0,99769299999,2020-03-02,41.53,-81.63,210.0,Cuyahoga_OH.csv,49.1,24,6.4,0.0,I
2020-03-10,Cuyahoga,Ohio,3,0,99769299999,2020-03-03,41.53,-81.63,210.0,Cuyahoga_OH.csv,45.3,24,5.3,0.0,I
2020-03-11,Cuyahoga,Ohio,3,0,99769299999,2020-03-04,41.53,-81.63,210.0,Cuyahoga_OH.csv,38.1,24,10.3,0.0,I
2020-03-12,Cuyahoga,Ohio,3,0,99769299999,2020-03-05,41.53,-81.63,210.0,Cuyahoga_OH.csv,35.2,24,4.5,0.0,I
2020-03-13,Cuyahoga,Ohio,11,0,99769299999,2020-03-06,41.53,-81.63,210.0,Cuyahoga_OH.csv,36.1,24,9.3,0.0,I
2020-03-14,Cuyahoga,Ohio,11,0,99769299999,2020-03-07,41.53,-81.63,210.0,Cuyahoga_OH.csv,30.1,24,13.1,0.0,I
2020-03-15,Cuyahoga,Ohio,14,0,99769299999,2020-03-08,41.53,-81.63,210.0,Cuyahoga_OH.csv,43.6,24,4.9,0.0,I
2020-03-16,Cuyahoga,Ohio,24,0,99769299999,2020-03-09,41.53,-81.63,210.0,Cuyahoga_OH.csv,58.6,24,7.2,0.0,I
2020-03-17,Cuyahoga,Ohio,31,0,99769299999,2020-03-10,41.53,-81.63,210.0,Cuyahoga_OH.csv,50.2,23,6.6,0.0,I
2020-03-18,Cuyahoga,Ohio,38,0,99769299999,2020-03-11,41.53,-81.63,210.0,Cuyahoga_OH.csv,35.2,19,2.5,0.0,I
2020-03-19,Cuyahoga,Ohio,53,0,99769299999,2020-03-12,41.53,-81.63,210.0,Cuyahoga_OH.csv,40.9,23,2.0,0.0,I
