Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-10,Dallas,Texas,2,0,72259903971,2020-03-03,32.68083,-96.86806,200.6,Dallas_TX.csv,63.0,24,4.0,0.0,G
2020-03-11,Dallas,Texas,3,0,72259903971,2020-03-04,32.68083,-96.86806,200.6,Dallas_TX.csv,58.3,24,10.7,0.12,G
2020-03-12,Dallas,Texas,8,0,72259903971,2020-03-05,32.68083,-96.86806,200.6,Dallas_TX.csv,56.1,24,8.0,1.0,G
2020-03-13,Dallas,Texas,9,0,72259903971,2020-03-06,32.68083,-96.86806,200.6,Dallas_TX.csv,56.9,24,7.3,0.02,G
2020-03-14,Dallas,Texas,11,0,72259903971,2020-03-07,32.68083,-96.86806,200.6,Dallas_TX.csv,54.1,24,7.2,0.0,G
2020-03-15,Dallas,Texas,14,0,72259903971,2020-03-08,32.68083,-96.86806,200.6,Dallas_TX.csv,56.2,24,11.1,0.0,G
2020-03-16,Dallas,Texas,14,0,72259903971,2020-03-09,32.68083,-96.86806,200.6,Dallas_TX.csv,65.0,24,12.8,0.01,G
2020-03-17,Dallas,Texas,23,0,72259903971,2020-03-10,32.68083,-96.86806,200.6,Dallas_TX.csv,65.1,24,6.9,0.03,G
2020-03-18,Dallas,Texas,34,0,72259903971,2020-03-11,32.68083,-96.86806,200.6,Dallas_TX.csv,73.0,24,9.5,0.0,G
2020-03-19,Dallas,Texas,56,1,72259903971,2020-03-12,32.68083,-96.86806,200.6,Dallas_TX.csv,74.0,24,11.8,0.0,G
2020-03-20,Dallas,Texas,74,1,72259903971,2020-03-13,32.68083,-96.86806,200.6,Dallas_TX.csv,69.5,24,6.7,0.07,G
2020-03-21,Dallas,Texas,95,1,72259903971,2020-03-14,32.68083,-96.86806,200.6,Dallas_TX.csv,64.7,24,8.7,0.3,G
2020-03-22,Dallas,Texas,132,2,72259903971,2020-03-15,32.68083,-96.86806,200.6,Dallas_TX.csv,54.9,24,8.0,0.02,G
2020-03-23,Dallas,Texas,159,2,72259903971,2020-03-16,32.68083,-96.86806,200.6,Dallas_TX.csv,57.5,24,6.9,0.81,G
2020-03-24,Dallas,Texas,169,5,72259903971,2020-03-17,32.68083,-96.86806,200.6,Dallas_TX.csv,63.3,24,5.7,0.51,G
2020-03-25,Dallas,Texas,169,6,72259903971,2020-03-18,32.68083,-96.86806,200.6,Dallas_TX.csv,70.7,24,10.2,1.47,G
2020-03-26,Dallas,Texas,303,7,72259903971,2020-03-19,32.68083,-96.86806,200.6,Dallas_TX.csv,73.0,24,14.6,0.13,G
2020-03-27,Dallas,Texas,367,7,72259903971,2020-03-20,32.68083,-96.86806,200.6,Dallas_TX.csv,59.5,24,9.5,0.58,G
2020-03-28,Dallas,Texas,439,9,72259903971,2020-03-21,32.68083,-96.86806,200.6,Dallas_TX.csv,48.4,24,7.5,0.23,G
2020-03-29,Dallas,Texas,443,9,72259903971,2020-03-22,32.68083,-96.86806,200.6,Dallas_TX.csv,55.5,24,5.2,0.34,G
2020-03-30,Dallas,Texas,549,11,72259903971,2020-03-23,32.68083,-96.86806,200.6,Dallas_TX.csv,61.9,24,5.1,0.07,G
2020-03-31,Dallas,Texas,631,13,72259903971,2020-03-24,32.68083,-96.86806,200.6,Dallas_TX.csv,73.6,24,9.9,0.0,G
2020-04-01,Dallas,Texas,731,15,72259903971,2020-03-25,32.68083,-96.86806,200.6,Dallas_TX.csv,71.5,24,6.5,0.0,G
2020-04-02,Dallas,Texas,831,17,72259903971,2020-03-26,32.68083,-96.86806,200.6,Dallas_TX.csv,74.7,24,10.6,0.0,G
2020-04-03,Dallas,Texas,921,17,72259903971,2020-03-27,32.68083,-96.86806,200.6,Dallas_TX.csv,75.0,24,13.6,0.0,G
