Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-14,DuPage,Illinois,1,0,99733899999,2020-03-07,42.0,-87.5,202.0,DuPage_IL.csv,34.6,24,11.8,0.0,I
2020-03-15,DuPage,Illinois,1,0,99733899999,2020-03-08,42.0,-87.5,202.0,DuPage_IL.csv,48.2,24,25.6,0.0,I
2020-03-16,DuPage,Illinois,5,0,99733899999,2020-03-09,42.0,-87.5,202.0,DuPage_IL.csv,53.6,24,26.8,0.0,I
2020-03-17,DuPage,Illinois,26,0,99733899999,2020-03-10,42.0,-87.5,202.0,DuPage_IL.csv,40.4,24,16.9,0.0,I
2020-03-18,DuPage,Illinois,45,0,99733899999,2020-03-11,42.0,-87.5,202.0,DuPage_IL.csv,37.2,19,7.2,0.0,I
2020-03-19,DuPage,Illinois,54,0,99733899999,2020-03-12,42.0,-87.5,202.0,DuPage_IL.csv,41.8,24,12.0,0.0,I
2020-03-20,DuPage,Illinois,57,0,99733899999,2020-03-13,42.0,-87.5,202.0,DuPage_IL.csv,44.0,18,18.0,0.0,I
2020-03-21,DuPage,Illinois,68,0,99733899999,2020-03-14,42.0,-87.5,202.0,DuPage_IL.csv,36.0,13,11.6,0.0,I
2020-03-22,DuPage,Illinois,79,0,99733899999,2020-03-15,42.0,-87.5,202.0,DuPage_IL.csv,34.1,24,14.3,0.0,I
2020-03-23,DuPage,Illinois,95,0,99733899999,2020-03-16,42.0,-87.5,202.0,DuPage_IL.csv,35.9,24,8.1,0.0,I
2020-03-24,DuPage,Illinois,103,1,99733899999,2020-03-17,42.0,-87.5,202.0,DuPage_IL.csv,38.1,24,11.8,0.0,I
2020-03-25,DuPage,Illinois,131,1,99733899999,2020-03-18,42.0,-87.5,202.0,DuPage_IL.csv,37.9,24,9.1,0.0,I
2020-03-26,DuPage,Illinois,182,1,99733899999,2020-03-19,42.0,-87.5,202.0,DuPage_IL.csv,39.6,24,9.9,0.0,I
2020-03-27,DuPage,Illinois,199,6,99733899999,2020-03-20,42.0,-87.5,202.0,DuPage_IL.csv,46.1,23,20.8,0.0,I
2020-03-28,DuPage,Illinois,202,6,99733899999,2020-03-21,42.0,-87.5,202.0,DuPage_IL.csv,29.2,24,16.2,0.0,I
2020-03-29,DuPage,Illinois,274,7,99733899999,2020-03-22,42.0,-87.5,202.0,DuPage_IL.csv,30.7,24,10.9,0.0,I
2020-03-30,DuPage,Illinois,320,8,99733899999,2020-03-23,42.0,-87.5,202.0,DuPage_IL.csv,34.1,21,8.1,0.0,I
2020-03-31,DuPage,Illinois,356,10,99733899999,2020-03-24,42.0,-87.5,202.0,DuPage_IL.csv,36.4,24,5.8,0.0,I
2020-04-01,DuPage,Illinois,392,12,99733899999,2020-03-25,42.0,-87.5,202.0,DuPage_IL.csv,40.8,24,8.9,0.0,I
2020-04-02,DuPage,Illinois,448,14,99733899999,2020-03-26,42.0,-87.5,202.0,DuPage_IL.csv,45.7,24,13.0,0.0,I
2020-04-03,DuPage,Illinois,500,16,99733899999,2020-03-27,42.0,-87.5,202.0,DuPage_IL.csv,38.0,24,11.9,0.0,I
2020-04-04,DuPage,Illinois,590,18,99733899999,2020-03-28,42.0,-87.5,202.0,DuPage_IL.csv,41.9,24,10.6,0.0,I
