Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-09,Hudson,New Jersey,1,0,99774399999,2020-03-02,40.65,-74.0666666,72.0,Hudson_NJ.csv,43.2,24,9.4,0.0,I
2020-03-10,Hudson,New Jersey,1,0,99774399999,2020-03-03,40.65,-74.0666666,72.0,Hudson_NJ.csv,51.3,24,12.3,0.0,I
2020-03-11,Hudson,New Jersey,1,0,99774399999,2020-03-04,40.65,-74.0666666,72.0,Hudson_NJ.csv,49.7,24,19.7,0.0,I
2020-03-12,Hudson,New Jersey,1,0,99774399999,2020-03-05,40.65,-74.0666666,72.0,Hudson_NJ.csv,45.5,24,12.0,0.0,I
2020-03-13,Hudson,New Jersey,3,0,99774399999,2020-03-06,40.65,-74.0666666,72.0,Hudson_NJ.csv,41.9,24,11.2,0.0,I
2020-03-14,Hudson,New Jersey,5,0,99774399999,2020-03-07,40.65,-74.0666666,72.0,Hudson_NJ.csv,39.9,24,14.3,0.0,I
2020-03-15,Hudson,New Jersey,10,0,99774399999,2020-03-08,40.65,-74.0666666,72.0,Hudson_NJ.csv,43.4,24,10.2,0.0,I
2020-03-16,Hudson,New Jersey,19,0,99774399999,2020-03-09,40.65,-74.0666666,72.0,Hudson_NJ.csv,55.0,24,12.0,0.0,I
2020-03-17,Hudson,New Jersey,24,0,99774399999,2020-03-10,40.65,-74.0666666,72.0,Hudson_NJ.csv,60.0,24,13.0,0.0,I
2020-03-18,Hudson,New Jersey,34,0,99774399999,2020-03-11,40.65,-74.0666666,72.0,Hudson_NJ.csv,54.0,19,10.7,0.0,I
2020-03-19,Hudson,New Jersey,55,0,99774399999,2020-03-12,40.65,-74.0666666,72.0,Hudson_NJ.csv,45.8,24,7.5,0.0,I
2020-03-20,Hudson,New Jersey,66,0,99774399999,2020-03-13,40.65,-74.0666666,72.0,Hudson_NJ.csv,52.7,19,16.0,0.0,I
2020-03-21,Hudson,New Jersey,97,0,99774399999,2020-03-14,40.65,-74.0666666,72.0,Hudson_NJ.csv,49.0,13,14.9,0.0,I
2020-03-22,Hudson,New Jersey,126,0,99774399999,2020-03-15,40.65,-74.0666666,72.0,Hudson_NJ.csv,46.1,24,8.8,0.0,I
2020-03-23,Hudson,New Jersey,190,0,99774399999,2020-03-16,40.65,-74.0666666,72.0,Hudson_NJ.csv,39.8,24,12.8,0.0,I
2020-03-24,Hudson,New Jersey,234,3,99774399999,2020-03-17,40.65,-74.0666666,72.0,Hudson_NJ.csv,44.3,24,10.9,0.0,I
2020-03-25,Hudson,New Jersey,260,4,99774399999,2020-03-18,40.65,-74.0666666,72.0,Hudson_NJ.csv,46.4,24,10.2,0.0,I
2020-03-26,Hudson,New Jersey,441,4,99774399999,2020-03-19,40.65,-74.0666666,72.0,Hudson_NJ.csv,45.6,24,9.3,0.0,I
2020-03-27,Hudson,New Jersey,594,4,99774399999,2020-03-20,40.65,-74.0666666,72.0,Hudson_NJ.csv,50.4,23,9.4,0.0,I
2020-03-28,Hudson,New Jersey,771,6,99774399999,2020-03-21,40.65,-74.0666666,72.0,Hudson_NJ.csv,52.9,24,14.8,0.0,I
