Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-15,Lehigh,Pennsylvania,1,0,72517014737,2020-03-08,40.64985,-75.44771,118.9,Lehigh_PA.csv,40.7,24,6.5,0.0,G
2020-03-16,Lehigh,Pennsylvania,1,0,72517014737,2020-03-09,40.64985,-75.44771,118.9,Lehigh_PA.csv,49.4,24,5.5,0.0,G
2020-03-17,Lehigh,Pennsylvania,1,0,72517014737,2020-03-10,40.64985,-75.44771,118.9,Lehigh_PA.csv,54.5,24,6.0,0.0,G
2020-03-18,Lehigh,Pennsylvania,1,0,72517014737,2020-03-11,40.64985,-75.44771,118.9,Lehigh_PA.csv,50.7,24,6.0,0.08,G
2020-03-19,Lehigh,Pennsylvania,1,0,72517014737,2020-03-12,40.64985,-75.44771,118.9,Lehigh_PA.csv,45.3,24,4.0,0.0,G
2020-03-20,Lehigh,Pennsylvania,2,0,72517014737,2020-03-13,40.64985,-75.44771,118.9,Lehigh_PA.csv,54.7,24,9.0,0.24,G
2020-03-21,Lehigh,Pennsylvania,13,0,72517014737,2020-03-14,40.64985,-75.44771,118.9,Lehigh_PA.csv,49.5,24,8.8,0.21,G
2020-03-22,Lehigh,Pennsylvania,19,0,72517014737,2020-03-15,40.64985,-75.44771,118.9,Lehigh_PA.csv,47.2,24,5.9,0.0,G
2020-03-23,Lehigh,Pennsylvania,25,0,72517014737,2020-03-16,40.64985,-75.44771,118.9,Lehigh_PA.csv,39.9,24,7.2,0.0,G
2020-03-24,Lehigh,Pennsylvania,27,0,72517014737,2020-03-17,40.64985,-75.44771,118.9,Lehigh_PA.csv,44.6,24,6.0,0.04,G
2020-03-25,Lehigh,Pennsylvania,38,0,72517014737,2020-03-18,40.64985,-75.44771,118.9,Lehigh_PA.csv,46.6,24,3.9,0.01,G
2020-03-26,Lehigh,Pennsylvania,63,1,72517014737,2020-03-19,40.64985,-75.44771,118.9,Lehigh_PA.csv,46.3,24,6.4,0.77,G
2020-03-27,Lehigh,Pennsylvania,93,2,72517014737,2020-03-20,40.64985,-75.44771,118.9,Lehigh_PA.csv,55.6,24,5.1,0.6,G
2020-03-28,Lehigh,Pennsylvania,109,3,72517014737,2020-03-21,40.64985,-75.44771,118.9,Lehigh_PA.csv,52.2,24,9.7,0.0,G
2020-03-29,Lehigh,Pennsylvania,151,3,72517014737,2020-03-22,40.64985,-75.44771,118.9,Lehigh_PA.csv,38.9,24,6.8,0.0,G
