Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-06,Marion,Indiana,1,0,74421494852,2020-02-28,40.48333,-85.68333,263.0,Marion_IN.csv,19.5,24,6.6,99.99, 
2020-03-07,Marion,Indiana,1,0,74421494852,2020-02-29,40.48333,-85.68333,263.0,Marion_IN.csv,19.2,24,6.8,0.0,I
2020-03-08,Marion,Indiana,1,0,74421494852,2020-03-01,40.48333,-85.68333,263.0,Marion_IN.csv,30.5,24,6.0,0.0,I
2020-03-09,Marion,Indiana,1,0,74421494852,2020-03-02,40.48333,-85.68333,263.0,Marion_IN.csv,47.7,24,9.8,0.05,G
2020-03-10,Marion,Indiana,1,0,74421494852,2020-03-03,40.48333,-85.68333,263.0,Marion_IN.csv,43.4,24,7.4,0.05,G
2020-03-11,Marion,Indiana,1,0,74421494852,2020-03-04,40.48333,-85.68333,263.0,Marion_IN.csv,39.7,24,7.8,0.0,G
2020-03-12,Marion,Indiana,2,0,74421494852,2020-03-05,40.48333,-85.68333,263.0,Marion_IN.csv,37.8,24,5.7,0.0,I
2020-03-13,Marion,Indiana,2,0,74421494852,2020-03-06,40.48333,-85.68333,263.0,Marion_IN.csv,35.5,24,12.0,99.99, 
2020-03-14,Marion,Indiana,3,0,74421494852,2020-03-07,40.48333,-85.68333,263.0,Marion_IN.csv,31.3,24,3.6,0.0,I
2020-03-15,Marion,Indiana,6,0,74421494852,2020-03-08,40.48333,-85.68333,263.0,Marion_IN.csv,42.1,24,8.5,99.99, 
2020-03-16,Marion,Indiana,7,1,74421494852,2020-03-09,40.48333,-85.68333,263.0,Marion_IN.csv,52.0,24,11.6,99.99, 
2020-03-17,Marion,Indiana,9,1,74421494852,2020-03-10,40.48333,-85.68333,263.0,Marion_IN.csv,47.3,24,12.0,0.18,G
2020-03-18,Marion,Indiana,11,1,74421494852,2020-03-11,40.48333,-85.68333,263.0,Marion_IN.csv,38.6,24,2.3,0.01,G
2020-03-19,Marion,Indiana,19,1,74421494852,2020-03-12,40.48333,-85.68333,263.0,Marion_IN.csv,46.1,24,3.4,0.0,G
2020-03-20,Marion,Indiana,25,2,74421494852,2020-03-13,40.48333,-85.68333,263.0,Marion_IN.csv,45.2,24,12.2,0.95,G
2020-03-21,Marion,Indiana,46,2,74421494852,2020-03-14,40.48333,-85.68333,263.0,Marion_IN.csv,35.2,24,3.3,0.01,G
2020-03-22,Marion,Indiana,82,3,74421494852,2020-03-15,40.48333,-85.68333,263.0,Marion_IN.csv,34.2,24,7.5,0.12,G
2020-03-23,Marion,Indiana,110,3,74421494852,2020-03-16,40.48333,-85.68333,263.0,Marion_IN.csv,36.4,24,2.1,0.0,G
2020-03-24,Marion,Indiana,161,6,74421494852,2020-03-17,40.48333,-85.68333,263.0,Marion_IN.csv,40.2,24,4.2,0.0,I
2020-03-25,Marion,Indiana,226,6,74421494852,2020-03-18,40.48333,-85.68333,263.0,Marion_IN.csv,37.8,24,4.6,0.38,B
2020-03-26,Marion,Indiana,293,6,74421494852,2020-03-19,40.48333,-85.68333,263.0,Marion_IN.csv,44.3,24,5.8,0.47,C
2020-03-27,Marion,Indiana,484,8,74421494852,2020-03-20,40.48333,-85.68333,263.0,Marion_IN.csv,55.0,24,13.6,0.17,B
2020-03-28,Marion,Indiana,584,10,74421494852,2020-03-21,40.48333,-85.68333,263.0,Marion_IN.csv,30.3,24,8.3,0.0,I
2020-03-29,Marion,Indiana,676,10,74421494852,2020-03-22,40.48333,-85.68333,263.0,Marion_IN.csv,30.7,24,5.5,0.1,A
2020-03-30,Marion,Indiana,804,12,74421494852,2020-03-23,40.48333,-85.68333,263.0,Marion_IN.csv,34.9,24,3.7,0.0,I
