Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-13,Milwaukee,Wisconsin,2,0,99734299999,2020-03-06,43.05,-87.88,188.0,Milwaukee_WI.csv,34.3,19,15.2,0.0,I
2020-03-14,Milwaukee,Wisconsin,6,0,99734299999,2020-03-07,43.05,-87.88,188.0,Milwaukee_WI.csv,35.5,20,8.1,0.0,I
2020-03-15,Milwaukee,Wisconsin,7,0,99734299999,2020-03-08,43.05,-87.88,188.0,Milwaukee_WI.csv,49.0,21,11.6,0.0,I
2020-03-16,Milwaukee,Wisconsin,13,0,99734299999,2020-03-09,43.05,-87.88,188.0,Milwaukee_WI.csv,54.4,18,13.0,0.0,I
2020-03-17,Milwaukee,Wisconsin,24,0,99734299999,2020-03-10,43.05,-87.88,188.0,Milwaukee_WI.csv,33.1,11,10.3,0.0,I
2020-03-18,Milwaukee,Wisconsin,47,0,99734299999,2020-03-11,43.05,-87.88,188.0,Milwaukee_WI.csv,37.4,15,5.6,0.0,I
2020-03-19,Milwaukee,Wisconsin,62,0,99734299999,2020-03-12,43.05,-87.88,188.0,Milwaukee_WI.csv,42.0,12,10.9,0.0,I
2020-03-20,Milwaukee,Wisconsin,95,1,99734299999,2020-03-13,43.05,-87.88,188.0,Milwaukee_WI.csv,42.8,15,13.6,0.0,I
2020-03-21,Milwaukee,Wisconsin,126,2,99734299999,2020-03-14,43.05,-87.88,188.0,Milwaukee_WI.csv,33.9,12,11.9,0.0,I
2020-03-22,Milwaukee,Wisconsin,183,2,99734299999,2020-03-15,43.05,-87.88,188.0,Milwaukee_WI.csv,32.5,11,13.1,0.0,I
2020-03-23,Milwaukee,Wisconsin,206,3,99734299999,2020-03-16,43.05,-87.88,188.0,Milwaukee_WI.csv,36.9,17,8.6,0.0,I
2020-03-24,Milwaukee,Wisconsin,243,3,99734299999,2020-03-17,43.05,-87.88,188.0,Milwaukee_WI.csv,36.9,14,9.8,0.0,I
2020-03-25,Milwaukee,Wisconsin,325,4,99734299999,2020-03-18,43.05,-87.88,188.0,Milwaukee_WI.csv,37.3,15,7.3,0.0,I
2020-03-26,Milwaukee,Wisconsin,393,7,99734299999,2020-03-19,43.05,-87.88,188.0,Milwaukee_WI.csv,38.9,10,11.3,0.0,I
2020-03-27,Milwaukee,Wisconsin,468,9,99734299999,2020-03-20,43.05,-87.88,188.0,Milwaukee_WI.csv,34.8,11,15.4,0.0,I
2020-03-28,Milwaukee,Wisconsin,541,9,99734299999,2020-03-21,43.05,-87.88,188.0,Milwaukee_WI.csv,28.0,13,8.8,0.0,I
2020-03-29,Milwaukee,Wisconsin,565,9,99734299999,2020-03-22,43.05,-87.88,188.0,Milwaukee_WI.csv,31.1,21,10.7,0.0,I
2020-03-30,Milwaukee,Wisconsin,663,10,99734299999,2020-03-23,43.05,-87.88,188.0,Milwaukee_WI.csv,34.0,15,8.8,0.0,I
2020-03-31,Milwaukee,Wisconsin,674,11,99734299999,2020-03-24,43.05,-87.88,188.0,Milwaukee_WI.csv,38.6,22,5.4,0.0,I
2020-04-01,Milwaukee,Wisconsin,780,16,99734299999,2020-03-25,43.05,-87.88,188.0,Milwaukee_WI.csv,38.2,23,6.5,0.0,I
2020-04-02,Milwaukee,Wisconsin,869,18,99734299999,2020-03-26,43.05,-87.88,188.0,Milwaukee_WI.csv,42.5,20,8.3,0.0,I
2020-04-03,Milwaukee,Wisconsin,955,28,99734299999,2020-03-27,43.05,-87.88,188.0,Milwaukee_WI.csv,37.8,11,7.8,0.0,I
2020-04-04,Milwaukee,Wisconsin,1069,29,99734299999,2020-03-28,43.05,-87.88,188.0,Milwaukee_WI.csv,38.9,10,10.3,0.0,I
2020-04-05,Milwaukee,Wisconsin,1148,39,99734299999,2020-03-29,43.05,-87.88,188.0,Milwaukee_WI.csv,44.2,10,16.0,0.0,I
2020-04-06,Milwaukee,Wisconsin,1256,45,99734299999,2020-03-30,43.05,-87.88,188.0,Milwaukee_WI.csv,41.8,13,10.8,0.0,I
2020-04-07,Milwaukee,Wisconsin,1323,49,99734299999,2020-03-31,43.05,-87.88,188.0,Milwaukee_WI.csv,36.5,11,15.6,0.0,I
