Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-09,Monmouth,New Jersey,2,0,99728999999,2020-03-02,40.47,-74.0,10.0,Monmouth_NJ.csv,43.5,24,10.3,0.0,I
2020-03-10,Monmouth,New Jersey,2,0,99728999999,2020-03-03,40.47,-74.0,10.0,Monmouth_NJ.csv,49.8,24,11.3,0.0,I
2020-03-11,Monmouth,New Jersey,4,0,99728999999,2020-03-04,40.47,-74.0,10.0,Monmouth_NJ.csv,47.6,24,18.3,0.0,I
2020-03-12,Monmouth,New Jersey,5,0,99728999999,2020-03-05,40.47,-74.0,10.0,Monmouth_NJ.csv,44.4,24,10.0,0.0,I
2020-03-13,Monmouth,New Jersey,7,0,99728999999,2020-03-06,40.47,-74.0,10.0,Monmouth_NJ.csv,41.7,24,9.1,0.0,I
2020-03-14,Monmouth,New Jersey,8,1,99728999999,2020-03-07,40.47,-74.0,10.0,Monmouth_NJ.csv,39.9,24,13.1,0.0,I
2020-03-15,Monmouth,New Jersey,11,1,99728999999,2020-03-08,40.47,-74.0,10.0,Monmouth_NJ.csv,42.4,24,11.7,0.0,I
2020-03-16,Monmouth,New Jersey,14,1,99728999999,2020-03-09,40.47,-74.0,10.0,Monmouth_NJ.csv,51.9,24,10.9,0.0,I
2020-03-17,Monmouth,New Jersey,22,1,99728999999,2020-03-10,40.47,-74.0,10.0,Monmouth_NJ.csv,57.1,24,14.5,0.0,I
2020-03-18,Monmouth,New Jersey,32,1,99728999999,2020-03-11,40.47,-74.0,10.0,Monmouth_NJ.csv,51.5,19,10.6,0.0,I
2020-03-19,Monmouth,New Jersey,43,1,99728999999,2020-03-12,40.47,-74.0,10.0,Monmouth_NJ.csv,44.3,24,6.3,0.0,I
2020-03-20,Monmouth,New Jersey,53,1,99728999999,2020-03-13,40.47,-74.0,10.0,Monmouth_NJ.csv,50.1,19,12.7,0.0,I
2020-03-21,Monmouth,New Jersey,92,2,99728999999,2020-03-14,40.47,-74.0,10.0,Monmouth_NJ.csv,48.6,13,10.0,0.0,I
2020-03-22,Monmouth,New Jersey,158,2,99728999999,2020-03-15,40.47,-74.0,10.0,Monmouth_NJ.csv,46.2,24,8.0,0.0,I
2020-03-23,Monmouth,New Jersey,238,2,99728999999,2020-03-16,40.47,-74.0,10.0,Monmouth_NJ.csv,39.8,24,10.8,0.0,I
2020-03-24,Monmouth,New Jersey,288,4,99728999999,2020-03-17,40.47,-74.0,10.0,Monmouth_NJ.csv,43.8,24,7.6,0.0,I
2020-03-25,Monmouth,New Jersey,313,6,99728999999,2020-03-18,40.47,-74.0,10.0,Monmouth_NJ.csv,46.0,24,9.9,0.0,I
2020-03-26,Monmouth,New Jersey,501,7,99728999999,2020-03-19,40.47,-74.0,10.0,Monmouth_NJ.csv,45.7,24,7.7,0.0,I
2020-03-27,Monmouth,New Jersey,634,10,99728999999,2020-03-20,40.47,-74.0,10.0,Monmouth_NJ.csv,51.5,24,8.1,0.0,I
2020-03-28,Monmouth,New Jersey,781,10,99728999999,2020-03-21,40.47,-74.0,10.0,Monmouth_NJ.csv,50.9,24,12.0,0.0,I
2020-03-29,Monmouth,New Jersey,870,10,99728999999,2020-03-22,40.47,-74.0,10.0,Monmouth_NJ.csv,39.4,24,10.8,0.0,I
2020-03-30,Monmouth,New Jersey,1030,15,99728999999,2020-03-23,40.47,-74.0,10.0,Monmouth_NJ.csv,39.4,24,17.4,0.0,I
2020-03-31,Monmouth,New Jersey,1140,21,99728999999,2020-03-24,40.47,-74.0,10.0,Monmouth_NJ.csv,43.1,24,10.2,0.0,I
2020-04-01,Monmouth,New Jersey,1301,24,99728999999,2020-03-25,40.47,-74.0,10.0,Monmouth_NJ.csv,43.7,24,12.5,0.0,I
2020-04-02,Monmouth,New Jersey,1458,38,99728999999,2020-03-26,40.47,-74.0,10.0,Monmouth_NJ.csv,43.5,24,8.4,0.0,I
2020-04-03,Monmouth,New Jersey,1743,48,99728999999,2020-03-27,40.47,-74.0,10.0,Monmouth_NJ.csv,52.6,24,8.5,0.0,I
2020-04-04,Monmouth,New Jersey,2065,54,99728999999,2020-03-28,40.47,-74.0,10.0,Monmouth_NJ.csv,49.0,24,7.3,0.0,I
