Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-11,Monroe,New York,1,0,99800999999,2020-03-04,43.25,-77.5833333,83.0,Monroe_NY.csv,40.9,23,15.6,0.0,I
2020-03-12,Monroe,New York,1,0,99800999999,2020-03-05,43.25,-77.5833333,83.0,Monroe_NY.csv,35.8,24,9.3,0.0,I
2020-03-13,Monroe,New York,1,0,99800999999,2020-03-06,43.25,-77.5833333,83.0,Monroe_NY.csv,34.9,23,10.6,0.0,I
2020-03-14,Monroe,New York,2,0,99800999999,2020-03-07,43.25,-77.5833333,83.0,Monroe_NY.csv,29.6,24,15.4,0.0,I
2020-03-15,Monroe,New York,2,0,99800999999,2020-03-08,43.25,-77.5833333,83.0,Monroe_NY.csv,41.3,24,8.6,0.0,I
2020-03-16,Monroe,New York,10,0,99800999999,2020-03-09,43.25,-77.5833333,83.0,Monroe_NY.csv,57.2,24,11.1,0.0,I
2020-03-17,Monroe,New York,11,0,99800999999,2020-03-10,43.25,-77.5833333,83.0,Monroe_NY.csv,54.8,24,13.3,0.0,I
2020-03-18,Monroe,New York,14,0,99800999999,2020-03-11,43.25,-77.5833333,83.0,Monroe_NY.csv,34.2,19,12.9,0.0,I
2020-03-19,Monroe,New York,28,0,99800999999,2020-03-12,43.25,-77.5833333,83.0,Monroe_NY.csv,36.0,24,6.0,0.0,I
2020-03-20,Monroe,New York,32,0,99800999999,2020-03-13,43.25,-77.5833333,83.0,Monroe_NY.csv,47.1,18,17.6,0.0,I
2020-03-21,Monroe,New York,42,0,99800999999,2020-03-14,43.25,-77.5833333,83.0,Monroe_NY.csv,37.8,15,14.2,0.0,I
2020-03-22,Monroe,New York,57,0,99800999999,2020-03-15,43.25,-77.5833333,83.0,Monroe_NY.csv,32.8,24,9.9,0.0,I
2020-03-23,Monroe,New York,76,0,99800999999,2020-03-16,43.25,-77.5833333,83.0,Monroe_NY.csv,31.8,24,8.8,0.0,I
2020-03-24,Monroe,New York,96,0,99800999999,2020-03-17,43.25,-77.5833333,83.0,Monroe_NY.csv,43.8,24,10.8,0.0,I
2020-03-25,Monroe,New York,118,0,99800999999,2020-03-18,43.25,-77.5833333,83.0,Monroe_NY.csv,37.0,24,8.7,0.0,I
2020-03-26,Monroe,New York,139,3,99800999999,2020-03-19,43.25,-77.5833333,83.0,Monroe_NY.csv,39.7,24,7.9,0.0,I
2020-03-27,Monroe,New York,160,4,99800999999,2020-03-20,43.25,-77.5833333,83.0,Monroe_NY.csv,56.2,23,13.5,0.0,I
2020-03-28,Monroe,New York,202,5,99800999999,2020-03-21,43.25,-77.5833333,83.0,Monroe_NY.csv,29.1,24,12.7,0.0,I
2020-03-29,Monroe,New York,219,6,99800999999,2020-03-22,43.25,-77.5833333,83.0,Monroe_NY.csv,27.6,24,9.7,0.0,I
2020-03-30,Monroe,New York,242,6,99800999999,2020-03-23,43.25,-77.5833333,83.0,Monroe_NY.csv,35.9,24,11.5,0.0,I
2020-03-31,Monroe,New York,300,9,99800999999,2020-03-24,43.25,-77.5833333,83.0,Monroe_NY.csv,37.2,24,7.1,0.0,I
2020-04-01,Monroe,New York,349,9,99800999999,2020-03-25,43.25,-77.5833333,83.0,Monroe_NY.csv,38.7,24,8.5,0.0,I
2020-04-02,Monroe,New York,420,10,99800999999,2020-03-26,43.25,-77.5833333,83.0,Monroe_NY.csv,50.5,23,10.9,0.0,I
2020-04-03,Monroe,New York,464,14,99800999999,2020-03-27,43.25,-77.5833333,83.0,Monroe_NY.csv,40.1,24,7.8,0.0,I
2020-04-04,Monroe,New York,512,17,99800999999,2020-03-28,43.25,-77.5833333,83.0,Monroe_NY.csv,41.9,24,9.2,0.0,I
2020-04-05,Monroe,New York,548,19,99800999999,2020-03-29,43.25,-77.5833333,83.0,Monroe_NY.csv,51.6,24,12.5,0.0,I
2020-04-06,Monroe,New York,574,23,99800999999,2020-03-30,43.25,-77.5833333,83.0,Monroe_NY.csv,50.2,24,12.7,0.0,I
2020-04-07,Monroe,New York,596,31,99800999999,2020-03-31,43.25,-77.5833333,83.0,Monroe_NY.csv,40.7,24,8.6,0.0,I
2020-04-08,Monroe,New York,651,27,99800999999,2020-04-01,43.25,-77.5833333,83.0,Monroe_NY.csv,39.5,24,9.0,0.0,I
2020-04-09,Monroe,New York,698,31,99800999999,2020-04-02,43.25,-77.5833333,83.0,Monroe_NY.csv,42.0,20,8.1,0.0,I
2020-04-10,Monroe,New York,742,35,99800999999,2020-04-03,43.25,-77.5833333,83.0,Monroe_NY.csv,42.9,24,14.6,0.0,I
2020-04-11,Monroe,New York,767,42,99800999999,2020-04-04,43.25,-77.5833333,83.0,Monroe_NY.csv,42.0,24,5.0,0.0,I
2020-04-12,Monroe,New York,798,42,99800999999,2020-04-05,43.25,-77.5833333,83.0,Monroe_NY.csv,45.6,24,7.3,0.0,I
2020-04-13,Monroe,New York,823,43,99800999999,2020-04-06,43.25,-77.5833333,83.0,Monroe_NY.csv,41.1,23,7.1,0.0,I
2020-04-14,Monroe,New York,850,47,99800999999,2020-04-07,43.25,-77.5833333,83.0,Monroe_NY.csv,47.8,24,5.5,0.0,I
2020-04-15,Monroe,New York,884,48,99800999999,2020-04-08,43.25,-77.5833333,83.0,Monroe_NY.csv,43.3,23,4.5,0.0,I
2020-04-16,Monroe,New York,932,49,99800999999,2020-04-09,43.25,-77.5833333,83.0,Monroe_NY.csv,45.1,24,13.4,0.0,I
2020-04-17,Monroe,New York,975,49,99800999999,2020-04-10,43.25,-77.5833333,83.0,Monroe_NY.csv,39.2,24,21.0,0.0,I
2020-04-18,Monroe,New York,1008,49,99800999999,2020-04-11,43.25,-77.5833333,83.0,Monroe_NY.csv,39.0,24,13.7,0.0,I
2020-04-19,Monroe,New York,1032,61,99800999999,2020-04-12,43.25,-77.5833333,83.0,Monroe_NY.csv,49.2,24,9.4,0.0,I
2020-04-20,Monroe,New York,1054,66,99800999999,2020-04-13,43.25,-77.5833333,83.0,Monroe_NY.csv,59.0,24,14.2,0.0,I
2020-04-21,Monroe,New York,1070,69,99800999999,2020-04-14,43.25,-77.5833333,83.0,Monroe_NY.csv,41.3,24,13.2,0.0,I
2020-04-22,Monroe,New York,1112,72,99800999999,2020-04-15,43.25,-77.5833333,83.0,Monroe_NY.csv,36.7,24,10.6,0.0,I
2020-04-23,Monroe,New York,1152,77,99800999999,2020-04-16,43.25,-77.5833333,83.0,Monroe_NY.csv,33.7,24,9.6,0.0,I
2020-04-24,Monroe,New York,1199,78,99800999999,2020-04-17,43.25,-77.5833333,83.0,Monroe_NY.csv,36.4,24,9.0,0.0,I
2020-04-25,Monroe,New York,1285,82,99800999999,2020-04-18,43.25,-77.5833333,83.0,Monroe_NY.csv,38.3,24,9.5,0.0,I
2020-04-26,Monroe,New York,1316,85,99800999999,2020-04-19,43.25,-77.5833333,83.0,Monroe_NY.csv,46.5,24,13.2,0.0,I
2020-04-27,Monroe,New York,1331,89,99800999999,2020-04-20,43.25,-77.5833333,83.0,Monroe_NY.csv,37.7,24,13.5,0.0,I
2020-04-28,Monroe,New York,1371,91,99800999999,2020-04-21,43.25,-77.5833333,83.0,Monroe_NY.csv,40.5,24,16.9,0.0,I
2020-04-29,Monroe,New York,1404,93,99800999999,2020-04-22,43.25,-77.5833333,83.0,Monroe_NY.csv,34.9,24,21.8,0.0,I
2020-04-30,Monroe,New York,1441,93,99800999999,2020-04-23,43.25,-77.5833333,83.0,Monroe_NY.csv,36.5,24,10.5,0.0,I
2020-05-01,Monroe,New York,1478,95,99800999999,2020-04-24,43.25,-77.5833333,83.0,Monroe_NY.csv,41.3,23,11.4,0.0,I
2020-05-02,Monroe,New York,1534,96,99800999999,2020-04-25,43.25,-77.5833333,83.0,Monroe_NY.csv,41.6,24,4.6,0.0,I
2020-05-03,Monroe,New York,1566,96,99800999999,2020-04-26,43.25,-77.5833333,83.0,Monroe_NY.csv,43.0,24,12.5,0.0,I
2020-05-04,Monroe,New York,1595,97,99800999999,2020-04-27,43.25,-77.5833333,83.0,Monroe_NY.csv,44.1,24,8.9,0.0,I
2020-05-05,Monroe,New York,1624,101,99800999999,2020-04-28,43.25,-77.5833333,83.0,Monroe_NY.csv,44.0,24,7.0,0.0,I
2020-05-06,Monroe,New York,1655,130,99800999999,2020-04-29,43.25,-77.5833333,83.0,Monroe_NY.csv,53.0,24,15.1,0.0,I
2020-05-07,Monroe,New York,1689,135,99800999999,2020-04-30,43.25,-77.5833333,83.0,Monroe_NY.csv,56.0,24,13.4,0.0,I
2020-05-08,Monroe,New York,1736,136,99800999999,2020-05-01,43.25,-77.5833333,83.0,Monroe_NY.csv,50.3,24,8.3,0.0,I
2020-05-09,Monroe,New York,1776,139,99800999999,2020-05-02,43.25,-77.5833333,83.0,Monroe_NY.csv,53.1,24,7.8,0.0,I
2020-05-10,Monroe,New York,1822,143,99800999999,2020-05-03,43.25,-77.5833333,83.0,Monroe_NY.csv,57.8,24,8.0,0.0,I
2020-05-11,Monroe,New York,1851,149,99800999999,2020-05-04,43.25,-77.5833333,83.0,Monroe_NY.csv,49.1,24,12.6,0.0,I
2020-05-12,Monroe,New York,1891,151,99800999999,2020-05-05,43.25,-77.5833333,83.0,Monroe_NY.csv,40.7,24,10.5,0.0,I
2020-05-13,Monroe,New York,1960,152,99800999999,2020-05-06,43.25,-77.5833333,83.0,Monroe_NY.csv,42.5,24,4.6,0.0,I
2020-05-14,Monroe,New York,2020,154,99800999999,2020-05-07,43.25,-77.5833333,83.0,Monroe_NY.csv,48.4,22,8.8,0.0,I
2020-05-15,Monroe,New York,2092,156,99800999999,2020-05-08,43.25,-77.5833333,83.0,Monroe_NY.csv,40.2,24,10.8,0.0,I
2020-05-16,Monroe,New York,2193,165,99800999999,2020-05-09,43.25,-77.5833333,83.0,Monroe_NY.csv,35.4,24,19.2,0.0,I
2020-05-17,Monroe,New York,2259,168,99800999999,2020-05-10,43.25,-77.5833333,83.0,Monroe_NY.csv,41.2,24,8.9,0.0,I
2020-05-18,Monroe,New York,2304,170,99800999999,2020-05-11,43.25,-77.5833333,83.0,Monroe_NY.csv,41.5,24,9.4,0.0,I
2020-05-19,Monroe,New York,2377,172,99800999999,2020-05-12,43.25,-77.5833333,83.0,Monroe_NY.csv,39.9,24,13.9,0.0,I
2020-05-20,Monroe,New York,2466,174,99800999999,2020-05-13,43.25,-77.5833333,83.0,Monroe_NY.csv,40.5,22,7.1,0.0,I
