Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-05,Nassau,New York,1,0,99728099999,2020-02-27,40.8,-73.77,10.0,Nassau_NY.csv,41.4,24,16.0,0.0,I
2020-03-06,Nassau,New York,4,0,99728099999,2020-02-28,40.8,-73.77,10.0,Nassau_NY.csv,33.5,24,19.5,0.0,I
2020-03-07,Nassau,New York,4,0,99728099999,2020-02-29,40.8,-73.77,10.0,Nassau_NY.csv,32.6,24,14.6,0.0,I
2020-03-08,Nassau,New York,5,0,99728099999,2020-03-01,40.8,-73.77,10.0,Nassau_NY.csv,30.9,24,14.2,0.0,I
2020-03-09,Nassau,New York,17,0,99728099999,2020-03-02,40.8,-73.77,10.0,Nassau_NY.csv,41.9,24,9.5,0.0,I
2020-03-10,Nassau,New York,19,0,99728099999,2020-03-03,40.8,-73.77,10.0,Nassau_NY.csv,49.1,24,9.3,0.0,I
2020-03-11,Nassau,New York,28,0,99728099999,2020-03-04,40.8,-73.77,10.0,Nassau_NY.csv,48.4,24,16.4,0.0,I
2020-03-12,Nassau,New York,41,0,99728099999,2020-03-05,40.8,-73.77,10.0,Nassau_NY.csv,44.0,24,10.3,0.0,I
2020-03-13,Nassau,New York,51,0,99728099999,2020-03-06,40.8,-73.77,10.0,Nassau_NY.csv,40.5,24,7.3,0.0,I
2020-03-14,Nassau,New York,79,0,99728099999,2020-03-07,40.8,-73.77,10.0,Nassau_NY.csv,38.8,24,15.9,0.0,I
2020-03-15,Nassau,New York,98,0,99728099999,2020-03-08,40.8,-73.77,10.0,Nassau_NY.csv,42.7,24,9.2,0.0,I
2020-03-16,Nassau,New York,109,0,99728099999,2020-03-09,40.8,-73.77,10.0,Nassau_NY.csv,53.3,24,11.2,0.0,I
2020-03-17,Nassau,New York,131,2,99728099999,2020-03-10,40.8,-73.77,10.0,Nassau_NY.csv,56.0,24,11.5,0.0,I
2020-03-18,Nassau,New York,183,2,99728099999,2020-03-11,40.8,-73.77,10.0,Nassau_NY.csv,51.2,19,8.0,0.0,I
2020-03-19,Nassau,New York,382,3,99728099999,2020-03-12,40.8,-73.77,10.0,Nassau_NY.csv,44.2,24,3.3,0.0,I
2020-03-20,Nassau,New York,754,4,99728099999,2020-03-13,40.8,-73.77,10.0,Nassau_NY.csv,50.1,19,9.2,0.0,I
2020-03-21,Nassau,New York,1234,7,99728099999,2020-03-14,40.8,-73.77,10.0,Nassau_NY.csv,46.6,13,11.8,0.0,I
2020-03-22,Nassau,New York,1900,7,99728099999,2020-03-15,40.8,-73.77,10.0,Nassau_NY.csv,45.1,24,8.3,0.0,I
2020-03-23,Nassau,New York,2442,9,99728099999,2020-03-16,40.8,-73.77,10.0,Nassau_NY.csv,38.4,24,8.4,0.0,I
2020-03-24,Nassau,New York,2869,9,99728099999,2020-03-17,40.8,-73.77,10.0,Nassau_NY.csv,43.0,24,4.9,0.0,I
2020-03-25,Nassau,New York,3285,17,99728099999,2020-03-18,40.8,-73.77,10.0,Nassau_NY.csv,46.3,24,8.1,0.0,I
2020-03-26,Nassau,New York,3914,19,99728099999,2020-03-19,40.8,-73.77,10.0,Nassau_NY.csv,44.3,24,5.3,0.0,I
2020-03-27,Nassau,New York,4657,27,99728099999,2020-03-20,40.8,-73.77,10.0,Nassau_NY.csv,51.6,24,6.3,0.0,I
2020-03-28,Nassau,New York,5537,35,99728099999,2020-03-21,40.8,-73.77,10.0,Nassau_NY.csv,51.1,24,13.4,0.0,I
2020-03-29,Nassau,New York,6445,39,99728099999,2020-03-22,40.8,-73.77,10.0,Nassau_NY.csv,38.5,24,8.6,0.0,I
2020-03-30,Nassau,New York,7344,48,99728099999,2020-03-23,40.8,-73.77,10.0,Nassau_NY.csv,37.2,24,5.9,0.0,I
2020-03-31,Nassau,New York,8544,63,99728099999,2020-03-24,40.8,-73.77,10.0,Nassau_NY.csv,41.4,24,10.3,0.0,I
