Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-13,Ocean,New Jersey,1,0,99800299999,2020-03-06,39.5333333,-74.45,12.0,Ocean_NJ.csv,40.9,24,4.2,0.0,I
2020-03-14,Ocean,New Jersey,1,0,99800299999,2020-03-07,39.5333333,-74.45,12.0,Ocean_NJ.csv,39.3,24,6.3,0.46,G
2020-03-15,Ocean,New Jersey,2,0,99800299999,2020-03-08,39.5333333,-74.45,12.0,Ocean_NJ.csv,41.9,24,4.6,0.0,G
2020-03-16,Ocean,New Jersey,3,0,99800299999,2020-03-09,39.5333333,-74.45,12.0,Ocean_NJ.csv,52.9,24,6.5,0.0,I
2020-03-17,Ocean,New Jersey,4,0,99800299999,2020-03-10,39.5333333,-74.45,12.0,Ocean_NJ.csv,56.2,24,10.6,0.0,I
2020-03-18,Ocean,New Jersey,16,0,99800299999,2020-03-11,39.5333333,-74.45,12.0,Ocean_NJ.csv,54.8,18,6.9,0.0,G
2020-03-19,Ocean,New Jersey,33,0,99800299999,2020-03-12,39.5333333,-74.45,12.0,Ocean_NJ.csv,44.1,24,4.6,0.0,I
2020-03-20,Ocean,New Jersey,49,0,99800299999,2020-03-13,39.5333333,-74.45,12.0,Ocean_NJ.csv,56.6,15,8.0,0.0,I
2020-03-21,Ocean,New Jersey,62,0,99800299999,2020-03-14,39.5333333,-74.45,12.0,Ocean_NJ.csv,53.4,12,4.7,0.0,I
2020-03-22,Ocean,New Jersey,102,0,99800299999,2020-03-15,39.5333333,-74.45,12.0,Ocean_NJ.csv,45.4,24,5.2,0.01,G
2020-03-23,Ocean,New Jersey,144,0,99800299999,2020-03-16,39.5333333,-74.45,12.0,Ocean_NJ.csv,38.9,23,6.8,0.0,G
2020-03-24,Ocean,New Jersey,180,1,99800299999,2020-03-17,39.5333333,-74.45,12.0,Ocean_NJ.csv,48.9,24,7.2,0.0,I
2020-03-25,Ocean,New Jersey,222,5,99800299999,2020-03-18,39.5333333,-74.45,12.0,Ocean_NJ.csv,48.2,24,5.4,0.01,G
2020-03-26,Ocean,New Jersey,389,5,99800299999,2020-03-19,39.5333333,-74.45,12.0,Ocean_NJ.csv,49.9,24,5.2,0.0,G
2020-03-27,Ocean,New Jersey,484,8,99800299999,2020-03-20,39.5333333,-74.45,12.0,Ocean_NJ.csv,60.0,24,7.8,0.0,I
2020-03-28,Ocean,New Jersey,624,9,99800299999,2020-03-21,39.5333333,-74.45,12.0,Ocean_NJ.csv,57.8,24,6.4,0.0,I
2020-03-29,Ocean,New Jersey,759,9,99800299999,2020-03-22,39.5333333,-74.45,12.0,Ocean_NJ.csv,38.6,24,7.3,0.0,I
2020-03-30,Ocean,New Jersey,874,12,99800299999,2020-03-23,39.5333333,-74.45,12.0,Ocean_NJ.csv,44.0,24,14.2,0.02,G
2020-03-31,Ocean,New Jersey,1022,18,99800299999,2020-03-24,39.5333333,-74.45,12.0,Ocean_NJ.csv,43.1,24,5.0,0.0,G
2020-04-01,Ocean,New Jersey,1209,23,99800299999,2020-03-25,39.5333333,-74.45,12.0,Ocean_NJ.csv,44.3,24,11.3,0.0,G
2020-04-02,Ocean,New Jersey,1371,38,99800299999,2020-03-26,39.5333333,-74.45,12.0,Ocean_NJ.csv,44.2,24,5.1,0.0,I
2020-04-03,Ocean,New Jersey,1685,45,99800299999,2020-03-27,39.5333333,-74.45,12.0,Ocean_NJ.csv,53.1,24,4.6,0.0,G
2020-04-04,Ocean,New Jersey,2003,56,99800299999,2020-03-28,39.5333333,-74.45,12.0,Ocean_NJ.csv,49.7,24,5.2,0.0,I
2020-04-05,Ocean,New Jersey,2177,62,99800299999,2020-03-29,39.5333333,-74.45,12.0,Ocean_NJ.csv,50.2,24,4.2,0.76,G
2020-04-06,Ocean,New Jersey,2374,71,99800299999,2020-03-30,39.5333333,-74.45,12.0,Ocean_NJ.csv,47.9,24,3.8,0.0,G
2020-04-07,Ocean,New Jersey,2641,85,99800299999,2020-03-31,39.5333333,-74.45,12.0,Ocean_NJ.csv,44.6,24,7.9,0.0,I
2020-04-08,Ocean,New Jersey,2856,101,99800299999,2020-04-01,39.5333333,-74.45,12.0,Ocean_NJ.csv,43.5,24,9.6,0.05,G
2020-04-09,Ocean,New Jersey,3093,119,99800299999,2020-04-02,39.5333333,-74.45,12.0,Ocean_NJ.csv,44.5,19,6.2,0.0,G
2020-04-10,Ocean,New Jersey,3269,121,99800299999,2020-04-03,39.5333333,-74.45,12.0,Ocean_NJ.csv,51.5,20,8.0,0.0,G
2020-04-11,Ocean,New Jersey,3403,132,99800299999,2020-04-04,39.5333333,-74.45,12.0,Ocean_NJ.csv,49.2,24,6.2,0.0,I
2020-04-12,Ocean,New Jersey,3554,138,99800299999,2020-04-05,39.5333333,-74.45,12.0,Ocean_NJ.csv,49.7,23,3.9,0.0,I
2020-04-13,Ocean,New Jersey,3593,141,99800299999,2020-04-06,39.5333333,-74.45,12.0,Ocean_NJ.csv,53.6,23,5.7,0.0,G
2020-04-14,Ocean,New Jersey,3833,149,99800299999,2020-04-07,39.5333333,-74.45,12.0,Ocean_NJ.csv,50.1,23,4.2,0.0,I
2020-04-15,Ocean,New Jersey,4016,166,99800299999,2020-04-08,39.5333333,-74.45,12.0,Ocean_NJ.csv,57.1,23,5.2,0.0,G
2020-04-16,Ocean,New Jersey,4272,185,99800299999,2020-04-09,39.5333333,-74.45,12.0,Ocean_NJ.csv,56.5,17,8.7,0.25,G
2020-04-17,Ocean,New Jersey,4424,201,99800299999,2020-04-10,39.5333333,-74.45,12.0,Ocean_NJ.csv,46.7,24,10.3,0.0,G
2020-04-18,Ocean,New Jersey,4548,212,99800299999,2020-04-11,39.5333333,-74.45,12.0,Ocean_NJ.csv,46.3,24,7.8,0.0,G
2020-04-19,Ocean,New Jersey,4648,217,99800299999,2020-04-12,39.5333333,-74.45,12.0,Ocean_NJ.csv,49.1,24,6.3,0.0,G
2020-04-20,Ocean,New Jersey,4868,222,99800299999,2020-04-13,39.5333333,-74.45,12.0,Ocean_NJ.csv,58.5,24,15.6,0.05,G
2020-04-21,Ocean,New Jersey,5036,253,99800299999,2020-04-14,39.5333333,-74.45,12.0,Ocean_NJ.csv,53.2,24,6.0,0.0,G
2020-04-22,Ocean,New Jersey,5234,270,99800299999,2020-04-15,39.5333333,-74.45,12.0,Ocean_NJ.csv,45.8,24,4.6,0.01,G
2020-04-23,Ocean,New Jersey,5444,286,99800299999,2020-04-16,39.5333333,-74.45,12.0,Ocean_NJ.csv,44.5,24,6.4,0.0,G
2020-04-24,Ocean,New Jersey,5612,301,99800299999,2020-04-17,39.5333333,-74.45,12.0,Ocean_NJ.csv,41.0,23,5.2,0.0,G
2020-04-25,Ocean,New Jersey,5811,317,99800299999,2020-04-18,39.5333333,-74.45,12.0,Ocean_NJ.csv,47.9,24,4.9,0.0,G
2020-04-26,Ocean,New Jersey,5962,322,99800299999,2020-04-19,39.5333333,-74.45,12.0,Ocean_NJ.csv,45.0,24,7.4,0.08,G
2020-04-27,Ocean,New Jersey,6024,330,99800299999,2020-04-20,39.5333333,-74.45,12.0,Ocean_NJ.csv,51.9,21,6.7,0.0,G
2020-04-28,Ocean,New Jersey,6151,342,99800299999,2020-04-21,39.5333333,-74.45,12.0,Ocean_NJ.csv,48.2,18,7.0,0.0,G
2020-04-29,Ocean,New Jersey,6253,367,99800299999,2020-04-22,39.5333333,-74.45,12.0,Ocean_NJ.csv,45.5,14,8.5,0.0,I
2020-04-30,Ocean,New Jersey,6375,397,99800299999,2020-04-23,39.5333333,-74.45,12.0,Ocean_NJ.csv,43.4,23,5.3,0.0,I
2020-05-01,Ocean,New Jersey,6505,420,99800299999,2020-04-24,39.5333333,-74.45,12.0,Ocean_NJ.csv,49.4,22,6.8,0.32,G
2020-05-02,Ocean,New Jersey,6692,426,99800299999,2020-04-25,39.5333333,-74.45,12.0,Ocean_NJ.csv,50.6,23,4.4,1.01,G
2020-05-03,Ocean,New Jersey,6871,440,99800299999,2020-04-26,39.5333333,-74.45,12.0,Ocean_NJ.csv,50.2,24,9.5,0.04,G
2020-05-04,Ocean,New Jersey,6974,447,99800299999,2020-04-27,39.5333333,-74.45,12.0,Ocean_NJ.csv,46.1,23,4.4,0.0,G
2020-05-05,Ocean,New Jersey,7060,469,99800299999,2020-04-28,39.5333333,-74.45,12.0,Ocean_NJ.csv,50.4,24,4.4,0.0,I
2020-05-06,Ocean,New Jersey,7125,483,99800299999,2020-04-29,39.5333333,-74.45,12.0,Ocean_NJ.csv,52.0,24,7.7,0.0,I
2020-05-07,Ocean,New Jersey,7209,500,99800299999,2020-04-30,39.5333333,-74.45,12.0,Ocean_NJ.csv,57.7,24,12.1,0.0,I
2020-05-08,Ocean,New Jersey,7277,516,99800299999,2020-05-01,39.5333333,-74.45,12.0,Ocean_NJ.csv,59.8,24,5.4,0.39,G
2020-05-09,Ocean,New Jersey,7366,522,99800299999,2020-05-02,39.5333333,-74.45,12.0,Ocean_NJ.csv,62.1,24,5.2,0.0,G
2020-05-10,Ocean,New Jersey,7462,540,99800299999,2020-05-03,39.5333333,-74.45,12.0,Ocean_NJ.csv,63.3,24,6.3,0.0,I
2020-05-11,Ocean,New Jersey,7569,547,99800299999,2020-05-04,39.5333333,-74.45,12.0,Ocean_NJ.csv,65.6,24,5.2,0.17,G
2020-05-12,Ocean,New Jersey,7633,562,99800299999,2020-05-05,39.5333333,-74.45,12.0,Ocean_NJ.csv,54.1,24,3.9,0.29,G
2020-05-13,Ocean,New Jersey,7688,571,99800299999,2020-05-06,39.5333333,-74.45,12.0,Ocean_NJ.csv,50.8,24,5.7,0.0,G
2020-05-14,Ocean,New Jersey,7742,595,99800299999,2020-05-07,39.5333333,-74.45,12.0,Ocean_NJ.csv,52.2,24,5.0,0.0,I
2020-05-15,Ocean,New Jersey,7829,610,99800299999,2020-05-08,39.5333333,-74.45,12.0,Ocean_NJ.csv,53.2,24,7.0,0.13,G
2020-05-16,Ocean,New Jersey,7878,617,99800299999,2020-05-09,39.5333333,-74.45,12.0,Ocean_NJ.csv,43.5,24,8.5,0.0,G
2020-05-17,Ocean,New Jersey,7913,626,99800299999,2020-05-10,39.5333333,-74.45,12.0,Ocean_NJ.csv,55.5,15,9.8,0.01,G
2020-05-18,Ocean,New Jersey,7994,633,99800299999,2020-05-11,39.5333333,-74.45,12.0,Ocean_NJ.csv,55.1,24,7.4,0.0,G
2020-05-19,Ocean,New Jersey,8067,643,99800299999,2020-05-12,39.5333333,-74.45,12.0,Ocean_NJ.csv,51.6,24,7.2,0.0,I
2020-05-20,Ocean,New Jersey,8165,656,99800299999,2020-05-13,39.5333333,-74.45,12.0,Ocean_NJ.csv,49.7,22,4.1,0.0,I
