Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-12,Orange,New York,1,0,72501504789,2020-03-05,41.50917,-74.265,111.3,Orange_NY.csv,40.6,24,5.6,0.03,G
2020-03-13,Orange,New York,3,0,72501504789,2020-03-06,41.50917,-74.265,111.3,Orange_NY.csv,34.2,24,3.1,0.0,G
2020-03-14,Orange,New York,6,0,72501504789,2020-03-07,41.50917,-74.265,111.3,Orange_NY.csv,37.3,24,8.8,0.01,G
2020-03-15,Orange,New York,6,0,72501504789,2020-03-08,41.50917,-74.265,111.3,Orange_NY.csv,38.9,24,6.4,0.0,G
2020-03-16,Orange,New York,11,0,72501504789,2020-03-09,41.50917,-74.265,111.3,Orange_NY.csv,50.6,24,9.2,0.0,G
2020-03-17,Orange,New York,15,0,72501504789,2020-03-10,41.50917,-74.265,111.3,Orange_NY.csv,55.5,24,9.3,0.0,G
2020-03-18,Orange,New York,32,0,72501504789,2020-03-11,41.50917,-74.265,111.3,Orange_NY.csv,46.4,24,6.8,0.02,G
2020-03-19,Orange,New York,51,0,72501504789,2020-03-12,41.50917,-74.265,111.3,Orange_NY.csv,38.7,24,2.5,0.0,G
2020-03-20,Orange,New York,84,0,72501504789,2020-03-13,41.50917,-74.265,111.3,Orange_NY.csv,49.3,24,6.8,0.32,G
2020-03-21,Orange,New York,163,0,72501504789,2020-03-14,41.50917,-74.265,111.3,Orange_NY.csv,43.1,24,8.9,0.08,G
2020-03-22,Orange,New York,247,0,72501504789,2020-03-15,41.50917,-74.265,111.3,Orange_NY.csv,42.1,24,4.7,0.0,G
2020-03-23,Orange,New York,389,0,72501504789,2020-03-16,41.50917,-74.265,111.3,Orange_NY.csv,33.6,24,6.3,0.0,G
2020-03-24,Orange,New York,498,0,72501504789,2020-03-17,41.50917,-74.265,111.3,Orange_NY.csv,39.1,24,4.2,0.09,G
2020-03-25,Orange,New York,638,0,72501504789,2020-03-18,41.50917,-74.265,111.3,Orange_NY.csv,41.7,24,3.9,0.0,I
2020-03-26,Orange,New York,751,2,72501504789,2020-03-19,41.50917,-74.265,111.3,Orange_NY.csv,41.4,24,5.1,0.62,G
2020-03-27,Orange,New York,910,3,72501504789,2020-03-20,41.50917,-74.265,111.3,Orange_NY.csv,50.4,24,5.7,0.08,G
2020-03-28,Orange,New York,1101,3,72501504789,2020-03-21,41.50917,-74.265,111.3,Orange_NY.csv,45.9,24,9.2,0.01,G
2020-03-29,Orange,New York,1247,3,72501504789,2020-03-22,41.50917,-74.265,111.3,Orange_NY.csv,32.8,24,6.6,0.0,G
2020-03-30,Orange,New York,1435,3,72501504789,2020-03-23,41.50917,-74.265,111.3,Orange_NY.csv,32.6,24,6.2,0.03,G
2020-03-31,Orange,New York,1560,3,72501504789,2020-03-24,41.50917,-74.265,111.3,Orange_NY.csv,37.5,24,4.1,0.68,G
2020-04-01,Orange,New York,1756,25,72501504789,2020-03-25,41.50917,-74.265,111.3,Orange_NY.csv,35.9,24,5.6,0.0,G
2020-04-02,Orange,New York,2048,30,72501504789,2020-03-26,41.50917,-74.265,111.3,Orange_NY.csv,40.7,24,3.5,0.0,G
2020-04-03,Orange,New York,2397,30,72501504789,2020-03-27,41.50917,-74.265,111.3,Orange_NY.csv,52.8,24,6.0,0.0,G
2020-04-04,Orange,New York,2741,51,72501504789,2020-03-28,41.50917,-74.265,111.3,Orange_NY.csv,39.2,24,3.5,0.0,G
2020-04-05,Orange,New York,3102,51,72501504789,2020-03-29,41.50917,-74.265,111.3,Orange_NY.csv,43.4,24,6.5,0.57,G
2020-04-06,Orange,New York,3397,47,72501504789,2020-03-30,41.50917,-74.265,111.3,Orange_NY.csv,44.1,24,4.1,0.14,G
2020-04-07,Orange,New York,3599,76,72501504789,2020-03-31,41.50917,-74.265,111.3,Orange_NY.csv,42.1,24,4.8,0.31,G
2020-04-08,Orange,New York,3865,68,72501504789,2020-04-01,41.50917,-74.265,111.3,Orange_NY.csv,42.8,24,6.0,0.07,G
2020-04-09,Orange,New York,4090,79,72501504789,2020-04-02,41.50917,-74.265,111.3,Orange_NY.csv,44.5,24,11.7,0.0,G
2020-04-10,Orange,New York,4532,91,72501504789,2020-04-03,41.50917,-74.265,111.3,Orange_NY.csv,47.3,24,10.4,0.01,G
2020-04-11,Orange,New York,4847,99,72501504789,2020-04-04,41.50917,-74.265,111.3,Orange_NY.csv,51.8,24,7.7,0.04,G
2020-04-12,Orange,New York,5027,112,72501504789,2020-04-05,41.50917,-74.265,111.3,Orange_NY.csv,55.1,24,2.8,0.0,G
2020-04-13,Orange,New York,5182,122,72501504789,2020-04-06,41.50917,-74.265,111.3,Orange_NY.csv,52.7,24,4.6,0.0,G
2020-04-14,Orange,New York,5578,129,72501504789,2020-04-07,41.50917,-74.265,111.3,Orange_NY.csv,51.9,24,4.5,0.0,G
2020-04-15,Orange,New York,5716,135,72501504789,2020-04-08,41.50917,-74.265,111.3,Orange_NY.csv,51.3,24,4.7,0.11,G
2020-04-16,Orange,New York,5888,144,72501504789,2020-04-09,41.50917,-74.265,111.3,Orange_NY.csv,44.4,24,6.7,0.02,G
2020-04-17,Orange,New York,6084,144,72501504789,2020-04-10,41.50917,-74.265,111.3,Orange_NY.csv,40.6,24,13.4,0.26,G
2020-04-18,Orange,New York,6281,144,72501504789,2020-04-11,41.50917,-74.265,111.3,Orange_NY.csv,42.5,24,8.9,0.0,G
2020-04-19,Orange,New York,6394,165,72501504789,2020-04-12,41.50917,-74.265,111.3,Orange_NY.csv,43.3,24,4.9,0.0,G
2020-04-20,Orange,New York,6497,169,72501504789,2020-04-13,41.50917,-74.265,111.3,Orange_NY.csv,57.6,24,9.2,0.3,G
2020-04-21,Orange,New York,6576,181,72501504789,2020-04-14,41.50917,-74.265,111.3,Orange_NY.csv,48.7,24,7.0,0.59,G
2020-04-22,Orange,New York,6705,183,72501504789,2020-04-15,41.50917,-74.265,111.3,Orange_NY.csv,43.2,24,7.1,0.0,G
2020-04-23,Orange,New York,6816,190,72501504789,2020-04-16,41.50917,-74.265,111.3,Orange_NY.csv,38.8,24,8.7,0.0,G
2020-04-24,Orange,New York,7170,194,72501504789,2020-04-17,41.50917,-74.265,111.3,Orange_NY.csv,36.0,24,7.5,0.0,G
