Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-15,Plymouth,Massachusetts,3,0,72506454769,2020-03-08,41.90972,-70.72944,45.4,Plymouth_MA.csv,38.7,24,7.8,0.04,G
2020-03-16,Plymouth,Massachusetts,5,0,72506454769,2020-03-09,41.90972,-70.72944,45.4,Plymouth_MA.csv,51.1,24,8.0,0.0,G
2020-03-17,Plymouth,Massachusetts,5,0,72506454769,2020-03-10,41.90972,-70.72944,45.4,Plymouth_MA.csv,52.8,24,8.6,0.0,G
2020-03-18,Plymouth,Massachusetts,5,0,72506454769,2020-03-11,41.90972,-70.72944,45.4,Plymouth_MA.csv,49.1,24,8.2,0.0,G
2020-03-19,Plymouth,Massachusetts,5,0,72506454769,2020-03-12,41.90972,-70.72944,45.4,Plymouth_MA.csv,39.8,24,2.8,0.0,G
2020-03-20,Plymouth,Massachusetts,11,0,72506454769,2020-03-13,41.90972,-70.72944,45.4,Plymouth_MA.csv,48.3,24,9.7,0.03,G
2020-03-21,Plymouth,Massachusetts,20,0,72506454769,2020-03-14,41.90972,-70.72944,45.4,Plymouth_MA.csv,46.2,24,12.4,0.16,G
2020-03-22,Plymouth,Massachusetts,25,0,72506454769,2020-03-15,41.90972,-70.72944,45.4,Plymouth_MA.csv,40.9,24,7.2,0.0,G
2020-03-23,Plymouth,Massachusetts,32,0,72506454769,2020-03-16,41.90972,-70.72944,45.4,Plymouth_MA.csv,31.3,24,7.1,0.0,G
2020-03-24,Plymouth,Massachusetts,64,0,72506454769,2020-03-17,41.90972,-70.72944,45.4,Plymouth_MA.csv,36.2,24,4.0,0.01,G
2020-03-25,Plymouth,Massachusetts,101,0,72506454769,2020-03-18,41.90972,-70.72944,45.4,Plymouth_MA.csv,41.4,24,4.4,0.16,G
2020-03-26,Plymouth,Massachusetts,138,0,72506454769,2020-03-19,41.90972,-70.72944,45.4,Plymouth_MA.csv,42.0,24,6.9,0.16,G
2020-03-27,Plymouth,Massachusetts,187,0,72506454769,2020-03-20,41.90972,-70.72944,45.4,Plymouth_MA.csv,47.8,24,8.3,0.56,G
2020-03-28,Plymouth,Massachusetts,272,0,72506454769,2020-03-21,41.90972,-70.72944,45.4,Plymouth_MA.csv,47.7,24,9.9,0.01,G
2020-03-29,Plymouth,Massachusetts,325,0,72506454769,2020-03-22,41.90972,-70.72944,45.4,Plymouth_MA.csv,30.9,24,8.2,0.0,G
2020-03-30,Plymouth,Massachusetts,380,0,72506454769,2020-03-23,41.90972,-70.72944,45.4,Plymouth_MA.csv,31.9,24,6.3,0.0,G
2020-03-31,Plymouth,Massachusetts,459,2,72506454769,2020-03-24,41.90972,-70.72944,45.4,Plymouth_MA.csv,42.1,24,10.3,1.43,G
2020-04-01,Plymouth,Massachusetts,561,5,72506454769,2020-03-25,41.90972,-70.72944,45.4,Plymouth_MA.csv,40.2,24,6.8,0.14,G
2020-04-02,Plymouth,Massachusetts,621,6,72506454769,2020-03-26,41.90972,-70.72944,45.4,Plymouth_MA.csv,41.0,24,12.0,0.05,G
2020-04-03,Plymouth,Massachusetts,745,7,72506454769,2020-03-27,41.90972,-70.72944,45.4,Plymouth_MA.csv,50.3,24,7.9,0.0,G
2020-04-04,Plymouth,Massachusetts,898,8,72506454769,2020-03-28,41.90972,-70.72944,45.4,Plymouth_MA.csv,40.8,24,2.8,0.0,G
2020-04-05,Plymouth,Massachusetts,963,10,72506454769,2020-03-29,41.90972,-70.72944,45.4,Plymouth_MA.csv,42.8,24,9.1,0.32,G
2020-04-06,Plymouth,Massachusetts,1067,14,72506454769,2020-03-30,41.90972,-70.72944,45.4,Plymouth_MA.csv,41.2,24,12.8,0.55,G
2020-04-07,Plymouth,Massachusetts,1194,25,72506454769,2020-03-31,41.90972,-70.72944,45.4,Plymouth_MA.csv,37.7,24,10.9,0.11,G
2020-04-08,Plymouth,Massachusetts,1327,32,72506454769,2020-04-01,41.90972,-70.72944,45.4,Plymouth_MA.csv,35.7,24,8.5,0.02,G
2020-04-09,Plymouth,Massachusetts,1507,38,72506454769,2020-04-02,41.90972,-70.72944,45.4,Plymouth_MA.csv,41.4,24,12.1,0.11,G
2020-04-10,Plymouth,Massachusetts,1677,46,72506454769,2020-04-03,41.90972,-70.72944,45.4,Plymouth_MA.csv,42.7,24,18.6,0.85,G
2020-04-11,Plymouth,Massachusetts,1809,50,72506454769,2020-04-04,41.90972,-70.72944,45.4,Plymouth_MA.csv,41.1,24,14.8,0.78,G
2020-04-12,Plymouth,Massachusetts,2024,54,72506454769,2020-04-05,41.90972,-70.72944,45.4,Plymouth_MA.csv,41.7,24,2.8,0.01,G
2020-04-13,Plymouth,Massachusetts,2141,65,72506454769,2020-04-06,41.90972,-70.72944,45.4,Plymouth_MA.csv,46.9,24,6.5,0.0,G
2020-04-14,Plymouth,Massachusetts,2207,76,72506454769,2020-04-07,41.90972,-70.72944,45.4,Plymouth_MA.csv,48.4,24,4.7,0.0,G
2020-04-15,Plymouth,Massachusetts,2308,88,72506454769,2020-04-08,41.90972,-70.72944,45.4,Plymouth_MA.csv,45.4,24,4.6,0.05,G
2020-04-16,Plymouth,Massachusetts,2466,92,72506454769,2020-04-09,41.90972,-70.72944,45.4,Plymouth_MA.csv,43.1,24,6.5,0.01,G
2020-04-17,Plymouth,Massachusetts,2577,104,72506454769,2020-04-10,41.90972,-70.72944,45.4,Plymouth_MA.csv,42.2,24,14.6,0.81,G
2020-04-18,Plymouth,Massachusetts,2688,121,72506454769,2020-04-11,41.90972,-70.72944,45.4,Plymouth_MA.csv,42.8,24,11.2,0.06,G
2020-04-19,Plymouth,Massachusetts,2832,130,72506454769,2020-04-12,41.90972,-70.72944,45.4,Plymouth_MA.csv,43.1,24,6.1,0.0,G
2020-04-20,Plymouth,Massachusetts,2976,134,72506454769,2020-04-13,41.90972,-70.72944,45.4,Plymouth_MA.csv,55.6,24,13.0,0.19,G
2020-04-21,Plymouth,Massachusetts,3043,141,72506454769,2020-04-14,41.90972,-70.72944,45.4,Plymouth_MA.csv,52.4,24,9.0,1.0,G
2020-04-22,Plymouth,Massachusetts,3253,157,72506454769,2020-04-15,41.90972,-70.72944,45.4,Plymouth_MA.csv,45.3,24,5.6,0.24,G
2020-04-23,Plymouth,Massachusetts,3529,176,72506454769,2020-04-16,41.90972,-70.72944,45.4,Plymouth_MA.csv,37.6,24,4.9,0.02,G
2020-04-24,Plymouth,Massachusetts,4160,197,72506454769,2020-04-17,41.90972,-70.72944,45.4,Plymouth_MA.csv,40.3,24,10.1,0.0,G
2020-04-25,Plymouth,Massachusetts,4380,212,72506454769,2020-04-18,41.90972,-70.72944,45.4,Plymouth_MA.csv,38.0,24,7.7,0.66,G
2020-04-26,Plymouth,Massachusetts,4495,230,72506454769,2020-04-19,41.90972,-70.72944,45.4,Plymouth_MA.csv,43.5,24,9.5,0.1,G
2020-04-27,Plymouth,Massachusetts,4607,240,72506454769,2020-04-20,41.90972,-70.72944,45.4,Plymouth_MA.csv,46.9,24,8.0,0.0,G
2020-04-28,Plymouth,Massachusetts,4744,256,72506454769,2020-04-21,41.90972,-70.72944,45.4,Plymouth_MA.csv,38.6,24,5.9,0.0,G
2020-04-29,Plymouth,Massachusetts,4871,273,72506454769,2020-04-22,41.90972,-70.72944,45.4,Plymouth_MA.csv,39.0,24,13.4,0.26,G
2020-04-30,Plymouth,Massachusetts,5083,285,72506454769,2020-04-23,41.90972,-70.72944,45.4,Plymouth_MA.csv,41.7,24,9.6,0.0,G
2020-05-01,Plymouth,Massachusetts,5259,301,72506454769,2020-04-24,41.90972,-70.72944,45.4,Plymouth_MA.csv,42.5,24,8.3,0.32,G
2020-05-02,Plymouth,Massachusetts,5409,312,72506454769,2020-04-25,41.90972,-70.72944,45.4,Plymouth_MA.csv,46.1,24,4.3,0.26,G
2020-05-03,Plymouth,Massachusetts,5507,323,72506454769,2020-04-26,41.90972,-70.72944,45.4,Plymouth_MA.csv,44.3,24,6.8,0.0,G
2020-05-04,Plymouth,Massachusetts,5602,333,72506454769,2020-04-27,41.90972,-70.72944,45.4,Plymouth_MA.csv,41.9,24,19.5,0.8,G
2020-05-05,Plymouth,Massachusetts,5736,341,72506454769,2020-04-28,41.90972,-70.72944,45.4,Plymouth_MA.csv,40.5,24,11.2,0.57,G
2020-05-06,Plymouth,Massachusetts,5899,357,72506454769,2020-04-29,41.90972,-70.72944,45.4,Plymouth_MA.csv,43.9,24,4.8,0.08,G
2020-05-07,Plymouth,Massachusetts,6081,364,72506454769,2020-04-30,41.90972,-70.72944,45.4,Plymouth_MA.csv,47.2,24,6.8,0.0,G
2020-05-08,Plymouth,Massachusetts,6194,375,72506454769,2020-05-01,41.90972,-70.72944,45.4,Plymouth_MA.csv,56.1,24,8.6,0.78,G
2020-05-09,Plymouth,Massachusetts,6311,384,72506454769,2020-05-02,41.90972,-70.72944,45.4,Plymouth_MA.csv,56.8,24,9.1,0.55,G
2020-05-10,Plymouth,Massachusetts,6382,393,72506454769,2020-05-03,41.90972,-70.72944,45.4,Plymouth_MA.csv,57.4,24,6.2,0.13,G
2020-05-11,Plymouth,Massachusetts,6457,408,72506454769,2020-05-04,41.90972,-70.72944,45.4,Plymouth_MA.csv,58.7,24,5.8,0.06,G
2020-05-12,Plymouth,Massachusetts,6507,409,72506454769,2020-05-05,41.90972,-70.72944,45.4,Plymouth_MA.csv,51.1,24,9.6,0.0,I
2020-05-13,Plymouth,Massachusetts,6592,424,72506454769,2020-05-06,41.90972,-70.72944,45.4,Plymouth_MA.csv,44.8,24,4.0,0.0,G
2020-05-14,Plymouth,Massachusetts,6774,435,72506454769,2020-05-07,41.90972,-70.72944,45.4,Plymouth_MA.csv,48.4,24,5.0,0.14,G
2020-05-15,Plymouth,Massachusetts,6875,444,72506454769,2020-05-08,41.90972,-70.72944,45.4,Plymouth_MA.csv,50.1,24,8.6,0.02,G
2020-05-16,Plymouth,Massachusetts,6987,455,72506454769,2020-05-09,41.90972,-70.72944,45.4,Plymouth_MA.csv,41.9,24,13.3,0.42,G
2020-05-17,Plymouth,Massachusetts,7064,460,72506454769,2020-05-10,41.90972,-70.72944,45.4,Plymouth_MA.csv,45.1,24,13.9,0.22,G
2020-05-18,Plymouth,Massachusetts,7139,464,72506454769,2020-05-11,41.90972,-70.72944,45.4,Plymouth_MA.csv,51.4,24,8.4,0.0,G
2020-05-19,Plymouth,Massachusetts,7198,470,72506454769,2020-05-12,41.90972,-70.72944,45.4,Plymouth_MA.csv,49.0,24,10.8,0.01,G
2020-05-20,Plymouth,Massachusetts,7280,481,72506454769,2020-05-13,41.90972,-70.72944,45.4,Plymouth_MA.csv,48.5,24,10.2,0.0,G
2020-05-21,Plymouth,Massachusetts,7366,487,72506454769,2020-05-14,41.90972,-70.72944,45.4,Plymouth_MA.csv,53.1,24,6.4,0.0,G
2020-05-22,Plymouth,Massachusetts,7424,492,72506454769,2020-05-15,41.90972,-70.72944,45.4,Plymouth_MA.csv,60.0,24,6.1,0.08,G
