Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-25,Providence,Rhode Island,37,0,99727899999,2020-03-18,41.8,-71.4,10.0,Providence_RI.csv,44.4,24,6.0,0.0,I
2020-03-26,Providence,Rhode Island,42,0,99727899999,2020-03-19,41.8,-71.4,10.0,Providence_RI.csv,43.2,24,8.6,0.0,I
2020-03-27,Providence,Rhode Island,42,0,99727899999,2020-03-20,41.8,-71.4,10.0,Providence_RI.csv,47.6,22,7.6,0.0,I
2020-03-28,Providence,Rhode Island,42,0,99727899999,2020-03-21,41.8,-71.4,10.0,Providence_RI.csv,50.1,24,10.3,0.0,I
2020-03-29,Providence,Rhode Island,148,0,99727899999,2020-03-22,41.8,-71.4,10.0,Providence_RI.csv,35.0,23,7.8,0.0,I
2020-03-30,Providence,Rhode Island,214,0,99727899999,2020-03-23,41.8,-71.4,10.0,Providence_RI.csv,33.0,23,6.1,0.0,I
2020-03-31,Providence,Rhode Island,305,0,99727899999,2020-03-24,41.8,-71.4,10.0,Providence_RI.csv,41.6,24,10.7,0.0,I
2020-04-01,Providence,Rhode Island,391,3,99727899999,2020-03-25,41.8,-71.4,10.0,Providence_RI.csv,41.4,21,6.2,0.0,I
2020-04-02,Providence,Rhode Island,418,3,99727899999,2020-03-26,41.8,-71.4,10.0,Providence_RI.csv,42.8,24,9.1,0.0,I
2020-04-03,Providence,Rhode Island,418,7,99727899999,2020-03-27,41.8,-71.4,10.0,Providence_RI.csv,52.3,22,8.1,0.0,I
2020-04-04,Providence,Rhode Island,491,7,99727899999,2020-03-28,41.8,-71.4,10.0,Providence_RI.csv,47.4,23,4.6,0.0,I
2020-04-05,Providence,Rhode Island,538,7,99727899999,2020-03-29,41.8,-71.4,10.0,Providence_RI.csv,44.5,24,7.8,0.0,I
2020-04-06,Providence,Rhode Island,538,7,99727899999,2020-03-30,41.8,-71.4,10.0,Providence_RI.csv,42.0,24,11.8,0.0,I
2020-04-07,Providence,Rhode Island,715,17,99727899999,2020-03-31,41.8,-71.4,10.0,Providence_RI.csv,40.1,22,7.7,0.0,I
2020-04-08,Providence,Rhode Island,832,20,99727899999,2020-04-01,41.8,-71.4,10.0,Providence_RI.csv,38.3,24,4.9,0.0,I
2020-04-09,Providence,Rhode Island,957,20,99727899999,2020-04-02,41.8,-71.4,10.0,Providence_RI.csv,44.9,22,11.3,0.0,I
2020-04-10,Providence,Rhode Island,957,20,99727899999,2020-04-03,41.8,-71.4,10.0,Providence_RI.csv,44.1,23,13.0,0.0,I
2020-04-11,Providence,Rhode Island,1278,20,99727899999,2020-04-04,41.8,-71.4,10.0,Providence_RI.csv,44.3,23,10.2,0.0,I
2020-04-12,Providence,Rhode Island,1278,20,99727899999,2020-04-05,41.8,-71.4,10.0,Providence_RI.csv,44.2,22,7.6,0.0,I
2020-04-13,Providence,Rhode Island,1278,20,99727899999,2020-04-06,41.8,-71.4,10.0,Providence_RI.csv,49.9,22,6.1,0.0,I
2020-04-14,Providence,Rhode Island,1957,20,99727899999,2020-04-07,41.8,-71.4,10.0,Providence_RI.csv,54.1,23,7.0,0.0,I
2020-04-15,Providence,Rhode Island,1957,20,99727899999,2020-04-08,41.8,-71.4,10.0,Providence_RI.csv,50.5,21,5.2,0.0,I
2020-04-16,Providence,Rhode Island,2401,20,99727899999,2020-04-09,41.8,-71.4,10.0,Providence_RI.csv,46.3,23,8.5,0.0,I
2020-04-17,Providence,Rhode Island,2703,20,99727899999,2020-04-10,41.8,-71.4,10.0,Providence_RI.csv,44.2,24,12.5,0.0,I
2020-04-18,Providence,Rhode Island,3014,20,99727899999,2020-04-11,41.8,-71.4,10.0,Providence_RI.csv,43.5,24,11.8,0.0,I
2020-04-19,Providence,Rhode Island,3292,20,99727899999,2020-04-12,41.8,-71.4,10.0,Providence_RI.csv,44.8,22,6.5,0.0,I
2020-04-20,Providence,Rhode Island,3491,20,99727899999,2020-04-13,41.8,-71.4,10.0,Providence_RI.csv,53.6,23,14.7,0.0,I
2020-04-21,Providence,Rhode Island,3727,20,99727899999,2020-04-14,41.8,-71.4,10.0,Providence_RI.csv,54.2,23,10.0,0.0,I
2020-04-22,Providence,Rhode Island,3727,20,99727899999,2020-04-15,41.8,-71.4,10.0,Providence_RI.csv,48.8,24,7.5,0.0,I
2020-04-23,Providence,Rhode Island,3727,20,99727899999,2020-04-16,41.8,-71.4,10.0,Providence_RI.csv,43.1,23,7.7,0.0,I
2020-04-24,Providence,Rhode Island,4603,20,99727899999,2020-04-17,41.8,-71.4,10.0,Providence_RI.csv,42.1,23,9.0,0.0,I
2020-04-25,Providence,Rhode Island,4916,111,99727899999,2020-04-18,41.8,-71.4,10.0,Providence_RI.csv,38.5,24,9.0,0.0,I
2020-04-26,Providence,Rhode Island,5266,107,99727899999,2020-04-19,41.8,-71.4,10.0,Providence_RI.csv,46.3,23,8.8,0.0,I
