Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-02-25,Salt Lake,Utah,1,0,72572024127,2020-02-18,40.7781,-111.9694,1287.8,SaltLake_UT.csv,30.8,24,5.9,0.0,G
2020-02-26,Salt Lake,Utah,1,0,72572024127,2020-02-19,40.7781,-111.9694,1287.8,SaltLake_UT.csv,29.5,24,4.5,0.0,G
2020-02-27,Salt Lake,Utah,1,0,72572024127,2020-02-20,40.7781,-111.9694,1287.8,SaltLake_UT.csv,28.8,24,4.7,0.0,G
2020-02-28,Salt Lake,Utah,1,0,72572024127,2020-02-21,40.7781,-111.9694,1287.8,SaltLake_UT.csv,30.4,24,3.3,0.0,G
2020-02-29,Salt Lake,Utah,1,0,72572024127,2020-02-22,40.7781,-111.9694,1287.8,SaltLake_UT.csv,34.3,24,3.5,0.0,G
2020-03-01,Salt Lake,Utah,1,0,72572024127,2020-02-23,40.7781,-111.9694,1287.8,SaltLake_UT.csv,37.3,24,2.4,0.0,G
2020-03-02,Salt Lake,Utah,1,0,72572024127,2020-02-24,40.7781,-111.9694,1287.8,SaltLake_UT.csv,39.3,24,8.3,0.0,G
2020-03-03,Salt Lake,Utah,1,0,72572024127,2020-02-25,40.7781,-111.9694,1287.8,SaltLake_UT.csv,32.1,24,6.5,0.0,G
2020-03-04,Salt Lake,Utah,1,0,72572024127,2020-02-26,40.7781,-111.9694,1287.8,SaltLake_UT.csv,33.1,24,5.7,0.0,G
2020-03-05,Salt Lake,Utah,1,0,72572024127,2020-02-27,40.7781,-111.9694,1287.8,SaltLake_UT.csv,38.4,24,3.2,0.0,G
2020-03-06,Salt Lake,Utah,1,0,72572024127,2020-02-28,40.7781,-111.9694,1287.8,SaltLake_UT.csv,41.9,24,5.7,0.0,G
2020-03-07,Salt Lake,Utah,1,0,72572024127,2020-02-29,40.7781,-111.9694,1287.8,SaltLake_UT.csv,50.0,24,9.7,0.0,G
2020-03-08,Salt Lake,Utah,1,0,72572024127,2020-03-01,40.7781,-111.9694,1287.8,SaltLake_UT.csv,39.5,24,8.7,0.0,G
2020-03-09,Salt Lake,Utah,1,0,72572024127,2020-03-02,40.7781,-111.9694,1287.8,SaltLake_UT.csv,33.9,24,3.7,0.23,G
2020-03-10,Salt Lake,Utah,1,0,72572024127,2020-03-03,40.7781,-111.9694,1287.8,SaltLake_UT.csv,37.2,24,5.3,0.0,G
2020-03-11,Salt Lake,Utah,2,0,72572024127,2020-03-04,40.7781,-111.9694,1287.8,SaltLake_UT.csv,41.4,24,6.5,0.0,G
2020-03-12,Salt Lake,Utah,4,0,72572024127,2020-03-05,40.7781,-111.9694,1287.8,SaltLake_UT.csv,49.8,24,7.8,0.0,G
2020-03-13,Salt Lake,Utah,4,0,72572024127,2020-03-06,40.7781,-111.9694,1287.8,SaltLake_UT.csv,56.7,24,12.1,0.0,G
2020-03-14,Salt Lake,Utah,15,0,72572024127,2020-03-07,40.7781,-111.9694,1287.8,SaltLake_UT.csv,56.9,24,10.8,0.0,G
2020-03-15,Salt Lake,Utah,15,0,72572024127,2020-03-08,40.7781,-111.9694,1287.8,SaltLake_UT.csv,51.2,24,9.7,0.03,G
2020-03-16,Salt Lake,Utah,20,0,72572024127,2020-03-09,40.7781,-111.9694,1287.8,SaltLake_UT.csv,48.0,24,8.3,0.02,G
2020-03-17,Salt Lake,Utah,23,0,72572024127,2020-03-10,40.7781,-111.9694,1287.8,SaltLake_UT.csv,47.1,24,4.5,0.0,G
2020-03-18,Salt Lake,Utah,24,0,72572024127,2020-03-11,40.7781,-111.9694,1287.8,SaltLake_UT.csv,48.3,24,5.1,0.0,G
