Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-15,San Bernardino,California,1,0,99999923122,2020-03-08,34.09528,-117.23472,353.3,SanBernardino_CA.csv,57.7,23,4.3,0.0,I
2020-03-16,San Bernardino,California,2,0,99999923122,2020-03-09,34.09528,-117.23472,353.3,SanBernardino_CA.csv,57.9,23,2.8,0.0,I
2020-03-17,San Bernardino,California,3,0,99999923122,2020-03-10,34.09528,-117.23472,353.3,SanBernardino_CA.csv,60.9,23,3.0,99.99, 
2020-03-18,San Bernardino,California,5,0,99999923122,2020-03-11,34.09528,-117.23472,353.3,SanBernardino_CA.csv,61.1,23,3.7,99.99, 
2020-03-19,San Bernardino,California,5,0,99999923122,2020-03-12,34.09528,-117.23472,353.3,SanBernardino_CA.csv,58.5,24,4.9,99.99, 
2020-03-20,San Bernardino,California,9,0,99999923122,2020-03-13,34.09528,-117.23472,353.3,SanBernardino_CA.csv,53.7,22,2.2,99.99, 
2020-03-21,San Bernardino,California,9,0,99999923122,2020-03-14,34.09528,-117.23472,353.3,SanBernardino_CA.csv,56.0,23,2.1,99.99, 
2020-03-22,San Bernardino,California,17,0,99999923122,2020-03-15,34.09528,-117.23472,353.3,SanBernardino_CA.csv,56.9,23,3.3,99.99, 
2020-03-23,San Bernardino,California,17,0,99999923122,2020-03-16,34.09528,-117.23472,353.3,SanBernardino_CA.csv,57.0,21,3.8,0.0,I
2020-03-24,San Bernardino,California,38,1,99999923122,2020-03-17,34.09528,-117.23472,353.3,SanBernardino_CA.csv,53.6,23,4.0,99.99, 
2020-03-25,San Bernardino,California,54,2,99999923122,2020-03-18,34.09528,-117.23472,353.3,SanBernardino_CA.csv,49.2,22,3.0,0.0,I
2020-03-26,San Bernardino,California,55,3,99999923122,2020-03-19,34.09528,-117.23472,353.3,SanBernardino_CA.csv,52.0,23,4.2,99.99, 
2020-03-27,San Bernardino,California,64,3,99999923122,2020-03-20,34.09528,-117.23472,353.3,SanBernardino_CA.csv,53.5,22,0.9,99.99, 
2020-03-28,San Bernardino,California,64,3,99999923122,2020-03-21,34.09528,-117.23472,353.3,SanBernardino_CA.csv,56.3,23,1.7,0.0,I
2020-03-29,San Bernardino,California,111,3,99999923122,2020-03-22,34.09528,-117.23472,353.3,SanBernardino_CA.csv,58.6,22,3.2,0.0,I
2020-03-30,San Bernardino,California,111,3,99999923122,2020-03-23,34.09528,-117.23472,353.3,SanBernardino_CA.csv,57.8,22,3.1,99.99, 
2020-03-31,San Bernardino,California,183,6,99999923122,2020-03-24,34.09528,-117.23472,353.3,SanBernardino_CA.csv,56.5,22,2.6,99.99, 
2020-04-01,San Bernardino,California,254,6,99999923122,2020-03-25,34.09528,-117.23472,353.3,SanBernardino_CA.csv,56.4,22,4.3,0.0,I
2020-04-02,San Bernardino,California,304,8,99999923122,2020-03-26,34.09528,-117.23472,353.3,SanBernardino_CA.csv,52.9,22,4.7,0.0,I
2020-04-03,San Bernardino,California,353,13,99999923122,2020-03-27,34.09528,-117.23472,353.3,SanBernardino_CA.csv,52.8,21,5.5,99.99, 
2020-04-04,San Bernardino,California,353,13,99999923122,2020-03-28,34.09528,-117.23472,353.3,SanBernardino_CA.csv,53.8,23,2.9,0.0,I
2020-04-05,San Bernardino,California,372,13,99999923122,2020-03-29,34.09528,-117.23472,353.3,SanBernardino_CA.csv,55.1,20,2.8,0.0,I
2020-04-06,San Bernardino,California,530,16,99999923122,2020-03-30,34.09528,-117.23472,353.3,SanBernardino_CA.csv,58.0,22,2.8,0.0,I
2020-04-07,San Bernardino,California,547,17,99999923122,2020-03-31,34.09528,-117.23472,353.3,SanBernardino_CA.csv,63.0,21,1.3,0.0,I
2020-04-08,San Bernardino,California,641,20,99999923122,2020-04-01,34.09528,-117.23472,353.3,SanBernardino_CA.csv,65.4,14,1.8,0.0,I
2020-04-09,San Bernardino,California,729,24,99999923122,2020-04-02,34.09528,-117.23472,353.3,SanBernardino_CA.csv,62.3,23,3.0,0.0,I
2020-04-10,San Bernardino,California,810,25,99999923122,2020-04-03,34.09528,-117.23472,353.3,SanBernardino_CA.csv,61.4,21,5.9,0.0,I
2020-04-11,San Bernardino,California,810,25,99999923122,2020-04-04,34.09528,-117.23472,353.3,SanBernardino_CA.csv,60.3,23,3.2,0.0,I
2020-04-12,San Bernardino,California,887,31,99999923122,2020-04-05,34.09528,-117.23472,353.3,SanBernardino_CA.csv,59.0,23,4.5,99.99, 
2020-04-13,San Bernardino,California,977,31,99999923122,2020-04-06,34.09528,-117.23472,353.3,SanBernardino_CA.csv,55.2,23,6.5,99.99, 
2020-04-14,San Bernardino,California,977,31,99999923122,2020-04-07,34.09528,-117.23472,353.3,SanBernardino_CA.csv,54.9,23,0.5,99.99, 
2020-04-15,San Bernardino,California,996,39,99999923122,2020-04-08,34.09528,-117.23472,353.3,SanBernardino_CA.csv,52.7,20,3.8,99.99, 
2020-04-16,San Bernardino,California,1032,47,99999923122,2020-04-09,34.09528,-117.23472,353.3,SanBernardino_CA.csv,49.9,19,3.2,99.99, 
2020-04-17,San Bernardino,California,1096,55,99999923122,2020-04-10,34.09528,-117.23472,353.3,SanBernardino_CA.csv,51.2,21,1.3,99.99, 
2020-04-18,San Bernardino,California,1219,57,99999923122,2020-04-11,34.09528,-117.23472,353.3,SanBernardino_CA.csv,56.1,24,0.8,0.0,I
2020-04-19,San Bernardino,California,1286,57,99999923122,2020-04-12,34.09528,-117.23472,353.3,SanBernardino_CA.csv,58.3,23,3.4,99.99, 
2020-04-20,San Bernardino,California,1406,60,99999923122,2020-04-13,34.09528,-117.23472,353.3,SanBernardino_CA.csv,56.4,22,2.7,99.99, 
2020-04-21,San Bernardino,California,1489,67,99999923122,2020-04-14,34.09528,-117.23472,353.3,SanBernardino_CA.csv,61.1,22,3.6,0.0,I
