Virus Date,County,State,Total Cases,Deaths,Station ID,Weather Date,Latitude,Longitude,Elevation,(file)name,Temperature,Temp. Attributes,Windspeed,Rain,Rain Attributes
2020-03-16,Somerset,New Jersey,4,0,72224754785,2020-03-09,40.62405,-74.66905,32.0,Somerset_NJ.csv,48.1,24,2.0,0.0,G
2020-03-17,Somerset,New Jersey,6,0,72224754785,2020-03-10,40.62405,-74.66905,32.0,Somerset_NJ.csv,51.7,24,3.0,0.0,G
2020-03-18,Somerset,New Jersey,15,0,72224754785,2020-03-11,40.62405,-74.66905,32.0,Somerset_NJ.csv,52.3,24,4.3,0.03,G
2020-03-19,Somerset,New Jersey,20,0,72224754785,2020-03-12,40.62405,-74.66905,32.0,Somerset_NJ.csv,42.1,24,1.8,0.0,G
2020-03-20,Somerset,New Jersey,27,0,72224754785,2020-03-13,40.62405,-74.66905,32.0,Somerset_NJ.csv,55.4,24,4.7,0.19,G
2020-03-21,Somerset,New Jersey,34,0,72224754785,2020-03-14,40.62405,-74.66905,32.0,Somerset_NJ.csv,50.1,24,6.7,0.02,G
2020-03-22,Somerset,New Jersey,51,1,72224754785,2020-03-15,40.62405,-74.66905,32.0,Somerset_NJ.csv,48.0,24,4.8,0.0,G
2020-03-23,Somerset,New Jersey,67,2,72224754785,2020-03-16,40.62405,-74.66905,32.0,Somerset_NJ.csv,40.1,24,5.7,0.0,G
2020-03-24,Somerset,New Jersey,102,2,72224754785,2020-03-17,40.62405,-74.66905,32.0,Somerset_NJ.csv,44.6,24,2.6,0.12,G
2020-03-25,Somerset,New Jersey,117,3,72224754785,2020-03-18,40.62405,-74.66905,32.0,Somerset_NJ.csv,43.5,24,2.6,0.12,G
2020-03-26,Somerset,New Jersey,179,4,72224754785,2020-03-19,40.62405,-74.66905,32.0,Somerset_NJ.csv,45.9,24,2.6,0.87,G
2020-03-27,Somerset,New Jersey,222,7,72224754785,2020-03-20,40.62405,-74.66905,32.0,Somerset_NJ.csv,56.1,24,2.3,0.01,G
